number,old_definition,translation,definition,example_sentences,part_of_speech,collocations
244,不佳、低劣。[例]一個人動作緩慢並不表示他的腦筋很差勁。,Inferior; of poor quality or lacking excellence.,指品質或表現不佳、低劣。,他的業績差勁，經理對他的表現非常失望。 / 我最近的考試成績差勁，必須加倍努力才能及格。 / 我對於這次的工作表現感到十分差勁，明天會向主管提出改進計劃。 / 這家餐廳的服務實在差勁，我等了很久才有人來點餐。 / 原本以為這部電影會很好看，結果卻差勁到讓我想中途離場。 / 我的運動表現差勁，讓隊伍在比賽中失去了很多機會。 / 今日的天氣差勁，暴雨讓所有的戶外活動都無法進行。 / 在比賽中，他的表現差勁，讓他感到非常挫敗。 / 這次的旅行安排差勁，讓我們不得不臨時改變計劃。 / 雖然我努力練習，但最近的音樂表現依然差勁，讓我感到沮喪。 / 他的公開演講差勁，聽眾們都感到無聊和失望。,vs-adj,差勁的表現 / 差勁的成績 / 差勁的服務 / 差勁的品質 / 差勁的結果 / 真是差勁 / 非常差勁 / 表現差勁 / 服務差勁 / 狀態差勁
243,錯誤、過失。[例]酒醉開車，很容易出差錯。,An error or mistake.,錯誤或過失。,在這次考試中，他因為小差錯而失去了很多分數。 / 老師提醒學生，在寫作業時要仔細檢查，以免出現差錯。 / 我們必須仔細檢查這份報告，以避免任何可能的差錯。 / 他承認自己的差錯，並表示會改正。 / 由於計算差錯，這個預測的結果並不準確。 / 當臨時接到任務時，必須檢查所有資料，避免差錯。 / 在會議上，有人提到了一個重要的數據差錯，讓大家都感到驚訝。 / 她發現了之前資料中的一個差錯，立刻聯繫了相關負責人。 / 我們的團隊正在努力糾正之前的差錯，以確保項目的順利進行。 / 這次培訓強調了如何識別和糾正工作中的差錯，提高工作效率。 / 在駕駛時，任何小差錯都有可能造成嚴重的後果，因此必須保持警覺。,n,一個差錯 / 小差錯 / 大差錯 / 極大的差錯 / 承認差錯 / 糾正差錯 / 避免差錯 / 防止差錯 / 意外的差錯 / 造成差錯
210,器物或建築上彩色的圖案。[例]這家工廠製造的陶瓷有各式各樣的彩繪，相當精美別緻。,Colorful painting or patterns on objects or buildings.,器物或建築上繪製的彩色圖案。,這座寺廟的牆上有美麗的彩繪，描繪著傳統的故事。 / 學校舉辦了彩繪比賽，鼓勵學生表現他們的創意。 / 漁村的房子外牆上彩繪著各種海洋生物，讓整個村莊充滿了活力。 / 這本書的封面有一幅精美的彩繪，吸引了很多小朋友的目光。 / 在藝術展覽上，觀眾可以欣賞到不少知名藝術家的彩繪作品。 / 許多遊客專程前來欣賞這座城堡的古老彩繪，感受歷史的魅力。 / 他們的餐廳牆上彩繪著美食的圖案，讓人一看就想品嚐。 / 在社區中心，居民們一起參與彩繪活動，增進了彼此的感情。 / 這座教堂的彩繪玻璃窗，讓陽光透過時，整個空間充滿了神秘的光輝。 / 從前的宮殿內部，保留了許多華麗的彩繪，讓人驚嘆於其工藝之精湛。 / 一幅色彩斑斕的彩繪，展現了當地的文化背景，讓遊客們更加了解這個地方。,n,一幅彩繪 / 彩繪作品 / 彩繪風格 / 精美的彩繪 / 彩繪藝術 / 彩繪壁畫 / 彩繪陶瓷 / 優美的彩繪 / 彩繪房屋 / 介紹彩繪
219,羞愧。[例]他在發現自己做錯事後，感到十分慚愧後悔。,To feel deep shame and regret; often associated with a sense of guilt for wrongdoing.,羞恥而感到不安。,看著同學們的辛勤努力，他心中感到慚愧，覺得自己應該更加努力。 / 在聽到朋友對他無條件支持的回應後，他感到無比慚愧，發誓不再辜負這份情誼。 / 當她回想起自己曾經對父母的冷漠，內心慚愧，決定改善和他們之間的關係。 / 在公開場合發表錯誤言論後，他感到慚愧不已，立刻向大家道歉。 / 每當回想起自己曾經的輕率行為，她會感到深深慚愧，並努力改正自己。 / 現在，回想起過去對同事的不尊重，他常常感到慚愧，並希望能重新建立良好的關係。 / 在看到年輕一代對知識的渴望和追求後，她感到慚愧，意識到自己仍需不斷學習。 / 當老師讚揚其他學生的表現時，他心中感到慚愧，因為知道自己還沒有達到應有的標準。 / 在意識到自己對環境問題的漠視後，他感到慚愧，決定參加志願者活動來做出改變。 / 每當聽到朋友分享他們的成功故事，她都會感到慚愧，激勵自己更加努力追求目標。 / 隨著年齡的增長，他對於曾經的不成熟行為感到慚愧，並努力成為一個更負責任的人。,vs-i,感到慚愧 / 心中慚愧 / 十分慚愧 / 感到無比慚愧 / 我感到慚愧 / 讓人慚愧 / 因為慚愧 / 對不起，感到慚愧 / 內心慚愧 / 感到慚愧和後悔
219,僥倖、難得。常用作自謙之詞。[例]本人不才，竟能獲獎，真是慚愧！慚愧！,To feel ashamed and repentant; a state of deep remorse for one's shortcomings or misdeeds.,感到自己不如他人，因而產生內疚或羞愧的心情。通常用來表達自己得到不應有的好處或榮譽。,她在會議上勇於承認自己的錯誤，讓所有人都對她的坦誠感到慚愧。 / 每當我回想起自己的不如意，心中便湧現出一陣慚愧。 / 看到朋友們的努力，我常常感到慚愧，覺得自己應該更加努力。 / 這次考試我沒有好好準備，成績出乎意料地低，讓我感到非常慚愧。 / 當他聽到受助孩子們對未來的期待時，心中感到無比慚愧，因為自己曾經的抱怨顯得如此微不足道。 / 在志工活動中，我看到其他人全心投入，讓我感到慚愧，自己平常的付出遠遠不及他們。 / 當她得知自己的失言對同事造成困擾時，立刻表達了她的慚愧，並希望能夠彌補過錯。 / 每當我聽到那首讓人感動的歌曲，便會想起自己的過去，內心湧現出深深的慚愧。 / 看到年輕一代為社會付出的熱情與努力，我不禁感到慚愧，覺得自己應該更加積極行動。 / 當他發現自己在團隊中沒有盡到應有的責任，心中充滿了慚愧，決心改變自己。 / 在回顧自己的成就時，我時常感到慚愧，因為沒有付出足夠的努力去實現更多的可能性。,vs-adj,我感到慚愧 / 感到慚愧的時候 / 讓我覺得慚愧 / 心中慚愧不已 / 感受到慚愧 / 說出慚愧的話 / 有些慚愧的心情 / 這讓我慚愧 / 讓她慚愧的事情 / 慚愧的表情
216,才能與智慧。[例]他憑著聰明才智，順利度過許多難關。,Intellect and wisdom; referring to a person's talent and intelligence.,才能與智慧的總稱。,他的才智讓他在商業競爭中始終保持優勢。 / 在面對困難時，她運用自己的才智找到有效的解決方案。 / 對於這個複雜的問題，他的才智和經驗都是不可或缺的資源。 / 學校鼓勵學生發揮自己的才智，參加各種創意比賽。 / 無論是在學業上還是工作中，才智都能幫助個人突破瓶頸。 / 他憑著出色的才智，成功地設計出一款革命性的產品。 / 在團隊合作中，發揮每個人的才智能夠提升整體效能。 / 這位科學家的才智使他在研究領域中成為眾人仰望的學者。 / 為了應對快速變化的市場，企業需要吸引具有高超才智的人才。 / 她的才智不僅體現在學術上，也在於對人際關係的洞察力。 / 這個計畫的成功離不開團隊所有成員的才智與努力。,n,聰明才智 / 出色的才智 / 優秀的才智 / 驚人的才智 / 重要的才智 / 發揮才智 / 幫助才智 / 集中才智 / 高超的才智 / 年輕的才智
214,接受。[例]他的改革理念獲上司認同，所以一提出就被採納。,"To accept or adopt; to recognize and incorporate a proposal, suggestion, or opinion.",接受他人的意見或提議，並予以採取。,市政府的新交通方案獲得了民眾的支持，並被迅速採納。 / 經過會議討論，團隊的提案最終被決定採納。 / 如果能夠採納專家的建議，問題應該能夠更快解決。 / 這項新課程的設計得到了教師的好評，校方也考慮採納。 / 你的意見如果能被側重採納，會讓計畫更完善。 / 為了提高工作效率，公司的新管理策略已經被採納。 / 在這次學術研討會上，許多學者的觀點被廣泛採納以促進研究討論。 / 這個環保計畫經過評估後，獲得了專家的認可並被採納。 / 如果學校能採納學生的建議，將會改善校園環境。 / 經過詳細的市場調查，企業的新產品設計被採納以滿足消費者需求。 / 跨國公司的多元文化政策受到員工的廣泛支持，因此迅速被採納。,va-t,方案採納 / 意見採納 / 建議採納 / 政策採納 / 提案採納 / 觀點採納 / 策略採納 / 理論採納 / 方向採納 / 需求採納
213,採購、買辦。[例]學會所需的文具用品，一向由總務負責採買。,"To procure or purchase goods, usually in a larger quantity or for a specific requirement.",指的是為了某個機構或需要而進行的採購和購買行為。,這個月的採買清單上有好多新產品。 / 公司的採買部門正在尋找更好的供應商。 / 為了節省成本，組織決定從網上採買辦公用品。 / 餐廳每週都要進行採買，以確保食材的新鮮度。 / 採買過程中，我們需要嚴格檢查商品的品質。 / 在節慶來臨之前，市政府會進行大規模的採買，以滿足民眾需求。 / 學校的採買計劃包括購買更多的圖書和教學設備。 / 為了配合公司的擴展，採買團隊正在加快設備的採買步伐。 / 每次會議後，負責人都會檢討本次採買的效果和效率。 / 各部門如果有需求，應提前向採買部門提出申請。 / 計畫中的採買將會考慮環保材料，以響應可持續發展的理念。,va-t/N,總務採買 / 預算採買 / 需要採買 / 設備採買 / 用品採買 / 餐具採買 / 材料採買 / 需求採買 / 供應商採買 / 合同採買
213,學校或團體中負責採購事宜者。尤指買菜的人而言。[例]本校餐廳一向由採買負責採購廚房所需物品。,"A person responsible for procurement in a school or organization, especially one who buys groceries.",負責學校或團體的採購事宜，特別是買菜的人。,學校的採買負責人每天都會檢查需要補充的物品。 / 每個星期，採買人都會根據學生的需求，制定採買清單。 / 為了提高效率，採買專員開始使用電子系統來管理庫存。 / 採買團隊在選擇供應商時，會特別注意品質和價格的平衡。 / 這個月的採買任務包括購買新鮮水果、蔬菜和肉類。 / 為了節省預算，採買人需要謹慎挑選每一項物品。 / 本校的採買流程經過優化，從下單到收貨都變得更加高效。 / 在節假日前，採買人特別注意提前準備，以避免物品缺貨。 / 採買清單上列出了所有需要的物品，採買負責人將逐一檢查。 / 為了提高食品安全，採買團隊會定期檢查供應商的相關證照。 / 最近，採買專員發現市場上的價格波動很大，他們需要調整計畫來應對。,n,採買清單 / 採買負責人 / 採買專員報告 / 採買人 / 採買任務 / 採買物品的預算 / 定期採買新鮮蔬菜 / 配合採買的需求 / 做好採買計畫 / 確認採買的來源
211,採取蒐集。[例]那個生物學家專門研究昆蟲，時常到山中採集標本。,"To collect or gather, especially in reference to obtaining samples or specimens.",採取和蒐集某種物品或材料。,這位科學家在雨林中採集植物標本，以進行後續的研究。 / 學生們在老師的指導下，學習如何採集水樣以檢測水質。 / 生態學者採集昆蟲樣本，以了解生態系統的多樣性。 / 在這次野外考察中，研究團隊成功採集到十種新發現的蘑菇。 / 通過採集環境資料，科學家能夠更好地分析氣候變化的影響。 / 這項研究需要定期採集土壤樣本，以評估農業活動對環境的影響。 / 學術會議上，專家們討論了如何有效採集不同地區的老樹數據。 / 為了了解海洋生態，海洋學家在深海中採集了各種海洋生物樣本。 / 這個項目計畫定期採集空氣樣本，以監測都市的空氣污染程度。 / 在這次考古發掘中，考古學家採集了大量文物，以研究古代文明。 / 這位醫生專門採集患者的血液樣本，以進行疾病的早期篩檢。,va-t,採集數據 / 採集樣本 / 採集資料 / 採集資訊 / 安全採集 / 定期採集 / 如何採集 / 自然採集 / 生態採集 / 採集方法
228,使用某種語言或口音說話。[例]操北方口音,To speak or express oneself in a specific language or accent.,使用某種語言或口音說話。,我外公的德國口音很重，說話的時候總是操著一口流利的德語。 / 在學校的語言課上，學生們練習操英文，力求發音更加標準。 / 他每天都跟朋友聊天，以便能更自然地操西班牙語。 / 老師希望我們能夠操一口流利的法語，這樣才能在考試中取得好成績。 / 我姐姐在夏令營中結識了很多外國朋友，讓她有機會操不同的語言。 / 在國際交流中，操著各種語言的人們，更容易彼此理解。 / 她的日本口音每次發音都讓人感覺到操著一種獨特的韻味。 / 我最近報名了一個語言學習班，想要操好意大利語，享受美食時不再有障礙。 / 每當我聽到他流利地操韓語時，都感到非常佩服，真的很想學習他的技巧。 / 在語言交換活動中，大家都會努力操各自的母語，互相幫助提升語言能力。 / 他回到家鄉後，發現自己不知不覺中又操起了當地的方言。,va-i,操普通話 / 操英語 / 操方言 / 操標準語言 / 操南方口音 / 操北方口音 / 操不同口音 / 操流利中文 / 操標準發音 / 操日語
228,掌握。[例]穩操勝算,To have control or mastery over something.,掌握某種技能或局勢，表示對其有充分的了解和控制。,他在這次比賽中的表現非常好，已經穩操勝算了。 / 她最近努力學習投資理財，希望能夠穩操未來的財務自由。 / 只要我們掌握了關鍵技術，就能穩操行業競爭的主動權。 / 他對這個項目的風險管理十分了解，因此能夠穩操勝算。 / 若能將市場動向穩操於手，公司的收益將大幅提升。 / 在這次演講中，他充分掌握了主題，展示了卓越的表達能力。 / 對於這場選舉，候選人已經穩操著選民的情感，很有機會獲得勝利。  / 這位科學家對新技術的研究進展迅速，穩操著學術界的前沿。  / 在這次項目中，團隊成員的協作讓整個計劃穩操於穩定的進行中。  / 如果能夠穩操市場的趨勢，我們的產品將更容易受到歡迎。  / 他在遊戲中的策略運用得當，讓他穩操了最終的勝利。,vp-i,操控局勢 / 操縱局面 / 正確操作 / 操作系統 / 熟練操作 / 充分掌握 / 牢牢掌握 / 完全控制 / 精準操縱 / 有效操作
228,從事。[例]重操舊業,To engage in or carry out (an activity or profession).,從事某種工作或活動。,他每天都要操心家庭的開支問題，讓他感到很疲倦。 / 雖然工作忙碌，但她仍然抽空操練游泳，以提高自己的技術。 / 這位老師常常操心學生的學習狀況，希望每個人都能進步。 / 在假期，他打算操辦一個派對，邀請朋友們一起慶祝。 / 他們在操縱飛機之前，必須先了解所有的安全規範。 / 銷售團隊需要定期操練推銷技巧，以提升業績。 / 他經常操心公司的未來發展，為此加班到很晚。 / 舉辦婚禮的過程中，他們需要操辦許多細節，確保一切順利。 / 她在操練吉他的時候，常常發現新的技巧，讓她感到興奮。 / 他每天都要操縱這台機器，確保生產線的順利運作。 / 最近她開始操練瑜伽，以減輕生活帶來的壓力。,va-t,重操舊業 / 操心事務 / 操作手冊 / 操縱市場 / 操練技能 / 操辦婚禮 / 銷售操控 / 努力操練 / 教導操縱 / 熟練操作
228,訓練、鍛鍊。[例]操兵演練、軍事操演,"To train or drill, especially in a military context.",訓練和鍛鍊某種技能或行為，通常是在特定的情境下進行。,在早上的體能操練中，隊員們努力提升自己的體力和耐力。 / 這次的軍事操演讓士兵們熟悉了各種緊急應變的技巧。 / 我們在操場上進行的團隊協作訓練，讓大家的默契更加提升。 / 老師要求學生們進行口語操練，以提高他們的語言表達能力。 / 她參加了舞蹈操練，希望能在下一次表演中展現更好的技術。 / 為了準備比賽，運動員們每天都會進行嚴格的技巧操練。 / 最近的軍事操演中，士兵們模擬了真實戰鬥的情境，以提高作戰能力。 / 每週的音樂操練，讓樂團成員之間的配合變得更加默契和流暢。 / 在這次的游泳技能操練中，教練特別強調了動作的標準和安全。 / 透過定期的瑜伽操練，她成功地改善了自己的柔韌性和心理平衡。 / 學校組織的戶外生存操練，讓學生們學會了如何應對各種突發狀況。,va-t,操練 / 操演 / 操作 / 操縱 / 體能操練 / 精密操控 / 特種操演 / 交替操練 / 基礎操練 / 嚴格操練
228,持、拿。[例]操刀,To hold or grasp.,持有或拿著某物。,他每天都要操練兩個小時，才能在比賽中取得好成績。 / 操場上，小朋友們歡笑著追逐，享受著快樂的童年時光。 / 他常常操心孩子的教育問題，想要給他們最好的未來。 / 在工廠裡，工人們需要學習正確的操控機器，以確保生產的安全。 / 我們必須仔細閱讀操作手冊，才能正確地使用這台新設備。 / 他每天都要操練兩個小時，才能在比賽中取得好成績。 / 操場上，小朋友們歡笑著追逐，享受著快樂的童年時光。 / 父母常常操心孩子的健康，希望他們能遠離疾病。 / 在瑜伽課上，老師指導大家正確的操姿，以避免受傷。 / 他們在音樂教室裡操練樂器，夢想有一天能在舞臺上演出。 / 我們需要定期操檢設備，以確保其正常運行和安全性。,va-t,操縱 / 操控 / 操作 / 操心 / 操刀 / 操練 / 操場 / 操刀手 / 操作的系統 / 操作手冊
228,品格、德行。[例]節操、操守、操行,Moral character or integrity; Refers to one's principles and ethical behavior.,品格和德行的具體表現。,他的節操受到許多人的敬重，因為他始終堅持自己的原則。 / 在這個物質主義盛行的時代，能堅守節操的人越來越少。 / 學校鼓勵學生們培養良好的操行，以樹立良好的榜樣。 / 即使面對巨大的誘惑，他也沒有動搖自己的節操，令人敬佩。 / 國家的公僕有責任恪守操守，以維護人民的信任。 / 雖然他的處境非常困難，但他仍然堅持保持潔身自好，沒有放棄自己的節操。 / 在職場上，保持操守和誠信是獲得同事尊重的重要因素。 / 他的言行一致，始終如一，讓人對他的操行產生高度信任。 / 對於藝術家來說，保持創作的節操能讓作品更加真摯動人。 / 在歷史上，許多名人以其高尚的節操流傳後世，成為人們崇敬的對象。 / 他們的團體以推廣道德操守為宗旨，希望能夠影響更多人堅守信念。,n,節操 / 操守 / 操行 / 道德操守 / 高尚的節操 / 品行不端 / 無可挑剔的操行 / 忠誠的操行 / 恪守操守 / 清白的操行
228,一種鍛鍊筋骨的運動。[例]體操、早操、健美操,"A type of exercise that involves physical training and skill development, such as gymnastics, morning exercises, and aerobics.",一種鍛鍊筋骨的運動。,學校每天早上安排學生進行早操，以提高他們的身體健康。 / 體操比賽中，運動員們展現了驚人的力量與柔韌性。 / 健美操課程不僅能幫助減肥，還能增加生活的樂趣。 / 隨著科技進步，越來越多的人選擇在家裡做瑜伽操來鍛鍊身體。 / 每到周末，社區健身房會舉辦團體健身操，吸引許多人參加。 / 參加競技體操需要長時間的訓練，這樣才能在比賽中表現出色。 / 每天早操後，學生們都感到精神焕发，準備好迎接新的一天。 / 體操訓練中，教練強調正確的動作能有效避免受傷。 / 許多老年人選擇晨操，這不僅能增強體質，還能促進社交。 / 健美操的熱身環節非常重要，可以幫助身體逐漸適應運動強度。 / 在寒假期間，學校還特別安排了體操訓練營，讓學生可以提升技巧。,va-i/N,早操 / 健美操 / 體操 / 健身操 / 競技體操 / 體操比賽 / 健美操表演 / 每天早操 / 音樂健美操 / 持續操練
