number,old_definition,word,definition,translation,example_sentences,part_of_speech,collocations,problematic_words
10,,按鈕,用來啟動或停止機器功能的一種開關。,"A button; a switch used to open, close, or select the functional targets of a machine.",他按了一下電風扇上的按鈕，風速馬上變得快了起來。 / 當遊戲開始時，玩家必須按下開始的按鈕才能進入遊戲平台。 / 這台洗衣機的按鈕設計得很簡單，每個按鈕都有明確的功能說明。 / 這家工廠的機器設備很複雜，按錯一個按鈕可能會造成很大的損失，所以員工都很小心。 / 使用者只要按下螢幕主畫面的按鈕，就能迅速返回主頁。 / 請按下按鈕以啟動設備。,N,一個按鈕 / 一顆按鈕 / 緊急按鈕 / 按下按鈕 / 觸碰按鈕 / 隱藏按鈕,"主, 風速, 主畫"
11,,暗殺,乘人不備時，秘密地進行的殺害行為。,To assassinate; to kill someone unexpectedly and treacherously.,在這個國家，暗殺事件經常發生，讓人民無時無刻不活在恐懼當中。 / 他策劃了一場危險的暗殺行動，目的是要推翻專制的獨裁者。 / 這名殺手專門執行高價委託的暗殺任務。 / 電影中的女主角在這次的暗殺行動中展現了冷靜和勇氣。 / 那群黑社會小弟想暗殺另一個地區的老大不成，於是全數投靠他。 / 那群黑社會小弟想暗殺另一個地區的老大不成，於是全數投靠他。,Va-t,企圖暗殺 / 謀劃暗殺 / 暗殺事件 / 暗殺行動 / 暗殺目標 / 暗殺計劃,"謀劃, 價, 備, 全數"
12,,安危,指人所處的安全或危險的狀況。,A dangerous situation or state of danger.,面對嚴重的自然災害，大部分人第一時間最關心的就是自己和家人的安危。 / 她的工作需要隨時注意自身的安危，尤其是一個人值夜班的時候。 / 這個地區十分動盪不安，如果一定要去旅遊，應該時時刻刻注意自己的安危，以免遭遇搶劫或綁架。 / 他一方面想冒險，一方面又擔心自己的安危，讓他感到矛盾。 / 這位醫生不顧個人安危，也要前往戰爭地區幫助當地居民。 / 他不顧安危，勇敢地衝進火海中救人。,N,不顧安危 / 生命安危 / 自身安危 / 個人安危 / 擔心安危 / 家庭安危,"時時刻刻, 值夜班, 衝進"
13,,安穩,安全且穩定，沒有危險或不安的狀況。,Safe and stable; secure and steady.,這個小孩在媽媽的懷抱中睡得非常安穩，完全沒有哭鬧。 / 為了能夠安穩入睡，我把窗戶關好，隔絕外面的噪音。 / 我希望未來的生活能夠更加安穩，不再有太多的起伏和麻煩。 / 這家公司的員工福利很好，讓大家在這裡工作感到既安穩又安心。 / 要是每個孩子都能在安穩的環境中成長，他們未來一定能夠長成勇敢堅強的大人。 / 經過多年的努力，他終於過上了生活安穩的日子。,Vs-adj,睡得（不）安穩 / 平靜安穩 / 生活安穩 / 日子安穩 / 感到安穩,"既, 睡, 哭鬧"
14,,安置,將物品放置在某個地方或做出相應的安排。,To place or arrange something in a designated position or situation.,書架上的書籍要按照主題安置好，這樣比較不會弄亂。 / 在新實驗室裡，所有的設備都已經安置妥當。 / 醫院會協助難民，將他們安置在安全的住所。 / 他將妻兒安置於老家之後，就獨自前往城市尋找工作機會。 / 這些無名的作品被安置在倉庫的角落，逐漸被遺忘。 / 我們需要妥善安置這些危險物品，以確保使用者的安全。,Va-t,安置於 / 安置在 / 安置妥當 / 安置物品 / 妥善安置 / 人道安置,妻兒
15,,安裝,將設備或裝置放置並連接，使其可以正常運作。,To install or set up a device or system.,這個房子需要安裝新的空調系統，要不然夏天會很難熬。 / 我們打算在廚房裡安裝一個新的洗碗機，這樣可以節省很多時間。 / 我幫我的朋友在天花板上安裝了一排燈，現在他的客廳變得明亮多了。 / 在這個辦公室裡，我們需要安裝更多的插座，以便使用更多的電器。 / 公司最近安裝了新的網路設備，提高了整體的上網速度，工作更有效率。 / 我們需要在安裝過程中確保所有的連接都正確無誤。,Va-t,安裝設備 / 安裝軟體 / 進行安裝 / 完成安裝 / 在安裝過程中 / 安裝工具,"無誤, 洗碗, 難熬, 空調, 插座"
16,,暗自,在心裡秘密地、私下進行，沒有讓別人知道。,In secret; privately; covertly.,他在考試前，早已暗自準備了好幾個月，難怪考得那麼好。 / 主管要他們部門檢討今年的業績，她暗自慶幸這問題跟她無關。 / 聽到朋友的讚美，他心中暗自得意。 / 他暗自觀察著周圍的人，想了解他們的秘密。 / 看到以前的同學都發展得很好，他心中暗自感慨。 / 他在心裡暗自慶幸，自己沒有跟隨別人的錯誤選擇。,Adv,暗自慶幸 / 暗自懷疑 / 暗自檢討 / 暗自感慨 / 暗自得意 / 暗自思索,早已
17,,骯髒,指不乾淨、有污垢的狀態。,Dirty; filthy; unclean.,這個公園很久沒有人打掃，地面非常骯髒，滿是垃圾。 / 他總是沒時間洗車，所以車子看起來骯髒得不得了。 / 昨天的狂風暴雨把街道弄得很骯髒，路面上到處都是泥巴。 / 如果不及時清理，廚房很快就會變得很油膩骯髒，影響做飯的心情。 / 這件白色襯衫因為出現黃斑，看起來有一點骯髒，得送去洗衣店乾洗。 / 這條街道骯髒不堪，行人心生厭惡。,Vs-adj,骯髒不堪 / 骯髒的街道 / 骯髒的衣服 / 骯髒的環境 / 骯髒的手 / 骯髒的水,"污垢, 弄得, 乾, 洗衣"
18,,熬,用小火慢慢煮東西。,To simmer or stew over low heat.,媽媽在廚房裡熬了一鍋美味的雞湯。 / 我昨天晚上熬了幾個小時的中藥，想要治療感冒。 / 這道湯品需要熬兩個小時，才能讓味道更濃郁。 / 我打算把這些新鮮的食材熬成一鍋湯。 / 在寒冷的夜晚，熬一碗熱湯喝下，讓人感到非常舒服。 / 我今天熬了一鍋美味的雞湯。,Va-t,熬湯 / 熬粥 / 熬藥 / 熬煮 / 熬製 / 熬菜,"熱湯, 雞湯"
18,,熬,忍受艱難的情況，勉強維持下去，通常需要耐心和毅力。,To endure or persevere through hardship or discomfort.,為了這次的考試，我熬了好幾個夜晚，真希望能考得好。 / 她受傷後忍著痛繼續工作，差一點熬不下去。 / 在外地工作，常常需要熬得住寂寞。 / 我知道再怎麼辛苦也要熬下去，才能看到希望。 / 即使生活再苦，他也會堅持熬過去，因為他不想放棄。 / 我昨晚熬夜學習，今天早上非常疲倦。,Va-i,熬夜 / 熬過去 / 熬成 / 熬下去 / 熬出頭 / 熬湯,"得, 熬過, 昨晚"
19,,傲慢,一種態度，顯得驕傲且不尊重他人，常會讓別人感到不快。,Arrogant; having a proud and disrespectful attitude.,他總是用傲慢的語氣和別人交談，讓人感到不舒服。 / 在會議上，他的傲慢態度使團隊氣氛變得緊張。 / 傲慢的領導者常常忽視下屬的意見，這樣會影響團隊的士氣。 / 我討厭那些傲慢無禮的人，因為他們總是看不起別人。 / 他對待同事的傲慢姿態，讓不得已得跟他一起工作的人都感到氣憤和無奈。 / 他的傲慢的態度讓同事們都感到不舒服。,Vs-adj,傲慢的態度 / 傲慢的行為 / 表現傲慢 / 過於傲慢 / 對（人）傲慢 / 傲慢無禮,"無禮, 士氣, 禮"
20,,奧祕 / 奧秘,難以理解的事情或現象，通常需要特別的知識才能懂,"A deep and profound mystery or secret, often difficult to understand or explain.",這本書的奧秘隱藏在每一章的結尾。 / 科學家一直在破解宇宙的奧秘，現代物理學的體系就是這樣形成的。 / 這個表演中深藏的奧秘讓到場欣賞的觀眾震撼不已。 / 大自然的奧秘常常讓人感到敬畏。 / 每次旅行所看到的風景都讓我體會到生活的奧秘。 / 探索世界的奧祕是每個人都應該追求的目標。,N,一個奧祕 / 世界的奧祕 / 神奇的奧祕 / 探索奧祕 / 生活的奧祕 / 心靈奧秘,深藏
21,,懊惱,心中感到後悔和不快，因為做了錯誤的事情或是遭遇不如意的情況。,To feel remorseful and melancholic due to regret or guilt.,他因為忘記今天要考試而感到懊惱。 / 對於自己做出的錯誤選擇，她總是懊惱不已。 / 這次國際談判的失誤讓身為外交人員的他懊惱了一整天。 / 在回家的路上，他對自己的失言感到非常懊惱。 / 我常常懊惱自己為什麼當初沒有學好英語。 / 她因為失敗而感到懊惱，心裡不停自責。,Vs-adj,懊惱不已 / 感到懊惱 / 令（人）懊惱 / 懊惱後悔 / 懊惱自己 / 懊惱情緒,"自責, 失言, 失誤"
22,,霸道,性格粗暴，行為不講道理，喜歡強迫別人，缺乏尊重。,Arrogant and unreasonable; acting in a domineering and overbearing manner.,如果一個人對待他人總是太霸道，朋友會漸漸疏遠他。 / 她在家裡非常霸道，總是想控制兄弟姊妹的行為。 / 我家鄰居非常霸道，常常霸佔公共停車位，如果有人不小心停了那個位子，還會被他恐嚇。 / 許多人對於政府徵收土地的霸道行為提出抗議，要求回歸民主法治。 / 在電影中，壞人經常使用霸道的手段來達成自己的目的，好人總是拿他們一點辦法也沒有，這種情節讓人看了很力。 / 他的霸道行為使同事們感到十分不安。,Vs-adj,霸道行為 / 表現霸道 / 過於霸道 / 十分霸道 / 霸道的手段 / 霸道態度,"霸佔, 力, 停車位, 姊妹"
23,,八卦,（新詞）討論別人的秘密或私事。,"To gossip, gossip or nosy.",聽說他們最近分手了，在公司裡已經傳開了這個八卦。 / 我真的不喜歡聽別人八卦，覺得很浪費時間。 / 八卦報紙的頭條常常是名人的感情生活。 / 他每天中午都要說一些同事的八卦，好像沒有更重要的事情可以做。 / 他們倆的感情狀況一直是大家八卦的話題，總有人在討論。 / 他今天在咖啡廳聽八卦，聽說了很多有趣的故事。,N / Va-i / Vs-adj,八卦報紙 / 喜歡八卦 / 聽八卦 / 說八卦 / 很八卦 / 八卦小組,"私, 倆"
23,,八卦,一種由八個基本符號組成的系統，這些符號代表八種自然現象，通常用來解釋事物變化和人際關係。,"The eight symbols in the ""I Ching."" Traditionally attributed to Fuxi, each hexagram consists of three lines, which can be either broken (yin) or unbroken (yang), forming eight distinct combinations that represent changes in natural phenomena and human affairs. The eight hexagrams are Qian, Dui, Li, Zhen, Xun, Kan, Gen, and Kun.",這本書介紹了八卦的基本概念和歷史。 / 他用八卦圖來解釋自然的變化。 / 在中國傳統文化中，八卦被用來預測事件的發展。 / 許多風水大師會根據八卦的理論來選擇好的建築位置。 / 透過學習八卦，我們可以理解古代人如何建構宇宙的法則。 / 根據八卦的理論，我們可以分析這個事件的背後原因。,N,研究八卦 / 傳統八卦 / 八卦原理 / 根據八卦 / 八卦圖 / 學習八卦,
24,,疤痕,傷口癒合後留下的痕跡。,A scar; a mark left after a wound has healed.,他在運動時不小心跌倒，膝蓋上留下了一道疤痕。 / 醫生告訴她，這疤痕會隨著時間變淡。 / 她的臉上有一道明顯的疤痕，是一次意外造成的。 / 即使身上有疤痕，這也是我生命中不可或缺的一部分。 / 有些人會選擇做手術來改善面積過大的疤痕。 / 他的手腕上留下了一道疤痕，提醒著他那次意外的經歷。,N,一道疤痕 / 身上的疤痕 / 疤痕顏色 / 疤痕變淡 / 留下疤痕 / 疤痕治療,癒合
25,,罷休,停止或中止某種行為或狀態。,To stop or cease; to give up or call it off.,他對這件事情絕不會罷休，一定要找到真相。 / 如果你希望成功，就不能在遇到困難時便罷休。 / 記者們堵在公關公司門口，他們宣稱直到醜聞主角出面說明，他們才會罷休。 / 他發誓要為朋友報仇，絕不罷休。 / 這件事牽涉到太多人的利益，他們絕對不會輕易罷休。 / 他對於這件事情絕不罷休，直到找到真相為止。,Va-i,絕不罷休 / 永不罷休 / 不輕易罷休 / 不肯罷休 / 難以罷休 / 心不罷休,"永, 絕不"
26,,巴掌,手的掌部，通常指的是「打耳光」。,"The palm of the hand, usually referring to slapping.",他不小心說錯話，結果被他的對象狠狠甩了一個巴掌。 / 老闆的臉色突然變得很難看，仿佛被人打了一個巴掌似的。 / 她的臉只有巴掌大，看起來非常年輕。 / 他的謊言被戳穿後，他的臉頰紅得像被打了一個巴掌一樣。 / 他對她冷淡的態度，讓她突然感覺到像一個冰冷的巴掌打在臉上，讓她瞬間清醒過來。 / 他用力打了自己一個巴掌，對自己的粗心大意十分惱怒。,N,打巴掌 / 甩巴掌 / 拍巴掌 / 巴掌大 / 一個巴掌 / 捏巴掌,"戳穿, 難看, 仿佛, 掌"
27,,白白,沒有得到任何收穫，表示浪費了時間或努力。,In vain; for no reason or without justification; unjustly or unnecessarily.,父母讓她去補習，但她卻不斷翹課，白白浪費了龐大的補習費。 / 我們努力工作就是希望能有所收穫，不能只是白白付出。 / 我白白等了他兩個小時，他最後竟然告訴我他不能來。 / 那個計畫白白浪費了大家三個月的時間，最後卻沒有通過。 / 他不聽前輩的勸告，最終白白遭受了損失。 / 如果不努力學習，我們就會白白失去機會。,Adv,白白浪費 / 白白付出 / 白白犧牲 / 白白失去機會 / 白白等待 / 白白努力,補習費
28,,白癡 / 白痴,指智力低下或缺乏常識的人,A fool; an idiot; a person lacking intelligence or common sense.,我真是個白癡，居然把手機放在冰箱裡。 / 別叫他去參加比賽，他的表現讓人覺得像個白癡。 / 叫別人「白癡」是非常沒有禮貌的行為，千萬不要這麼做。 / 她看我已經生氣了，卻還笑著說我像個白癡。 / 有些人太過自信，做出的決定反而讓自己看起來像白癡。 / 叫別人「白癡」是非常沒有禮貌的行為，千萬不要這麼做。,N,一個白癡 / 被當成白癡 / 變成白癡 / 像個白癡 / 叫（人）白癡 / 太陽白癡,"太過, 智"
28,,白癡 / 白痴,行為愚蠢或缺乏思考。,Extremely foolish or lacking intelligence.,他總是做出一些很白癡事情，讓人不知如何反應。 / 你這樣問實在有點白癡大家都已經知道答案了。 / 這麼簡單的問題都答錯，真是太白癡吧！ / 我今天真白癡竟然用交通卡去取錢。 / 他講了一個白癡笑話，但大家還是忍不住笑了。 / 他講了一個白癡笑話，但大家還是忍不住笑了。,Vs-adj,很白癡 / 太白癡了 / 真白癡 / 白癡笑話 / 有點白癡 / 白癡行為,"忍不住, 知, 答錯"
29,,擺放,將物品安排、放置在某個地方的行為。,To arrange or set an item in a specific position or location.,她把花瓶小心翼翼地擺放在桌子的中央。 / 這幅畫應該擺放在沙發上方的牆壁上。 / 他喜歡在家裡擺放一些綠色植物，讓空間感覺更舒適。 / 她在櫃子上擺放了幾本她最愛的小說。 / 擺放藝術品時要考慮到光線和空間的搭配。 / 我把書擺放在書架上，讓房間看起來整齊一些。,Va-t,把（東西）擺放在 / 隨意擺放 / 擺放整齊 / 正確擺放 / 擺放位置 / 擺放箱子,花瓶
30,,白費,付出了努力或心力卻沒有見到任何效果或成果。,To expend effort without obtaining results.,他一定不會接受你的好意，你就不要再白費力氣了。 / 開會時我提出了很多好點子，希望這些心血不會白費。 / 為了這個項目我努力了好幾個星期，但最終公司卻沒有採納我的建議，我的苦心都白費了。 / 她的支持讓我倍感溫暖，我希望我的付出沒有白費，能夠回報她的關心。 / 他學中文花了很長的時間，朋友總是鼓勵他，努力不會白費，最終一定會說得很好。 / 你為他花了那麼多心血，結果卻白費了。,Vp-t,白費心思 / 白費時間 / 白費力氣 / 白費心血 / 白費苦心 / 白費感情,
31,,擺設,將物品按一定的順序或方式放置，通常用於裝飾或展示,To furnish or decorate; to set or place items in an organized manner.,他在婚禮的入口擺設了玫瑰花海，讓整個場地看起來浪漫又溫馨。 / 他們的家裡擺設著一些精美的藝術品，好像一個美術館似的。 / 這部電影擺設的場景都非常真實，讓觀眾彷彿進入民國初年。 / 我的書桌上擺設著幾本我的最愛的書籍，加上簡單的盆栽，讓空間更有趣。 / 在博物館裡，我看到擺設了許多珍貴的文物，讓我對歷史更加了解。 / 客廳裡擺設著各種精美的擺設藝術品，讓空間顯得格外典雅。,Va-t,擺設著 / 擺設了 / 擺設藝術品 / 擺設文物 / 擺設書籍 / 擺設花瓶,"花瓶, 典雅, 玫瑰花, 民國, 初年, 盆栽"
31,,擺設,陳列、擺放的物品。,Display items; arranged objects for decoration or aesthetic purposes.,這間咖啡廳的擺設讓人感到很放鬆，適合聊天和聚會。 / 這個房間的擺設不錯，如果再加一點綠色植物會更好。 / 她在新家裡的擺設上花了很多心思，處處都很用心。 / 我在二手市場看到一個藝術擺設品，決定買回家裝飾我的房間。 / 這棟商場裡的大型擺設品，影響了逃生動線，難怪消防檢查一直過不了。 / 這間房間的擺設品都非常有藝術感，讓空間看起來更加溫馨。,N,擺設品 / 房間擺設 / 擺設與佈置 / 風格擺設 / 改變擺設 / 假日擺設,"感, 型, 了"
32,,板,「板」通常是由木頭、竹子、金屬或塑膠製成，用來拍、敲、打的工具。,"A tool typically made of wood, bamboo, metal, or plastic, used for tapping, striking, or hitting.",在古代，犯錯的人常常會被打一板。 / 你聽過「竹板快書」嗎？這是一項中國傳統技藝。表演者一邊打著竹板，一邊說有趣的話。 / 1. 拍電影換場景時都需要有人敲板。 / 這件事已經討論了很久，終於拍板決定。 / 他總是想靠別人升官，但沒有人想成為他的跳板。 / 這件事已經討論了很久，終於決定下來了。 / 她在課堂上用木板教孩子們畫畫。 / 小朋友們用彩色的紙板做出了漂亮的手工。,N,打板 / 打（數量）大板 / 打竹板 / 拍板 / 跳板 / 畫板,"打板, 拍板, 竹板, 跳板, 敲板, 1, 紙板, 畫板"
32,,板,在音樂中，指音符或樂曲的速度與節奏特徵。,Musical beat or rhythm.,我喜歡在運動時聽慢板音樂，這樣可以讓我放鬆心情。 / 老師教我們如何用節拍器來計算歌曲的板數。 / 這首歌的快板部分讓所有人都想跟著跳舞。 / 這位作曲家的作品常常使用變化的快板，讓音樂風格更有趣。 / 聽到那段慢板曲調，我感覺像是回到了童年。 / 我喜歡在運動時聽慢板音樂，這樣可以讓我放鬆心情。,N,快板 / 慢板 / 中板 / 速板 / 板眼 / 急板,"板數, 作曲, 節拍, 器, 音符, 曲調, 速板板, 板慢"
32,,板,表情或面容不變化，顯得嚴肅、冷漠或不高興的樣子。,To stretch tightly or to have a stiff and rigid appearance.,他聽到那個不好的消息後，臉色馬上板了起來。 / 在會議上，她一直板著臉，非常嚴肅。 / 孩子們在課堂上大吵大鬧，老師板起臉告訴他們要安靜。 / 在嚴肅的場合，大家都板著面孔，沒有人說話。 / 他成天板著臉，不知道誰得罪他了？ / 他的父母對他的成績板起臉色，顯得很失望。,Va-t,板著臉 / 板起臉 / 板著臉色 / 板著嚴肅的神情 / 板著面孔 / 板著嘴巴,
33,,斑,雜色的點或花紋。,A mark or pattern of differing colors or spots.,在陽光下，這隻魚的身上閃耀著金色的斑紋。 / 那隻失踪的貓身上有特別的黑色斑點，讓人一眼就能認出來。 / 他的身上出現了一些紅斑，不知道是不是過敏？ / 才不到四十歲，他的頭髮已經有點斑白，可能是工作壓力太大。 / 皮膚上出現白斑的話一定要去給醫生檢查，不要亂擦藥。 / 她的臉上有一些可愛的雀斑。,N,黑斑 / 雀斑 / 白斑 / 斑點 / 斑白 / 彩斑,"白斑斑點, 踪, 彩斑, 的話, 斑點, 白斑, 黑斑雀, 紅斑, 雀, 斑白, 斑紋, 失, 認"
34,,般,某種樣子或種類,A category or type; various kinds.,我們的友誼就像兄弟般，不會輕易改變。 / 生活中有許多煩惱，萬般無奈，我們只好努力面對。 / 他的才華這般優秀，難怪大家都對他另眼相看。 / 這裡的風景像夢境般美麗，讓人不禁感嘆大自然的奧秘。 / 即使遇到萬般困難，我們也應該保持樂觀的心態。 / 她的心情在這般壓力下變得格外沈重。,N,這般 / 如此這般 / 那般 / 百般 / 萬般 / 像（名詞）般,"相, 百般"
35,,頒布 / 頒佈,頒布 / 頒佈是指官方或權威機構正式公布法律、命令或規定，讓民眾遵守。,"To issue or proclaim officially, usually referring to laws, regulations, or policies.",該國頒布的新貿易政策引起了國際間的廣泛關注。 / 會議上，總統頒布了新的經濟計畫，期望促進該國的經濟發展。政府正式頒布了新的環保法規，要求企業減少二氧化碳排放量。 / 新的交通法規已經頒布，開車不守規則的人將會罰得更多。 / 由於傳染病的擴散，市政府緊急頒布了社交限制措施。 / 政府頒布了一項新政策，以促進環境保護。 / 學校頒布了新的考試規則，要求學生必須提前報名參加考試。,Va-t,頒布法律 / 頒布政策 / 頒布命令 / 正式頒布 / 政府頒布 / 頒布計畫,"守, 排放, 市政府"
36,,頒發 / 頒,把某種獎勵或物品給予某人，通常是因為他們的成就或表現。,"To grant or distribute formally, especially in the context of awarding or issuing something.",校方每年都會頒發獎學金給表現優秀的學生。 / 老師決定頒發給努力學習的學生一本書作為獎勵。 / 在畢業典禮上，校長會親自頒發畢業證書給每位學生。 / 希望明年的創新大會能夠頒發更多的獎項來鼓勵年輕人創業。 / 這次頒發的藝術獎項受到眾人矚目，因為得主竟然是一個不到十八歲的少女。 / 校長在畢業典禮上正式頒發獎學金給優秀的學生。,Va-t,頒發獎項 / 頒發證書頒發獎品 / 頒發獎學金 / 正式頒發 / 頒發榮譽 / 頒發信件,校方
