number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
1310,,急於,Eager or anxious to do something; having a strong desire to act quickly.,急於指的是迫切希望或急切想要做某件事，通常帶有強烈的想要達成某個目標的心情。,她急於找到答案，於是沉迷於研究那些學術文章。 / 面對即將來臨的考試，他急於複習所有的內容，以免忘記重點。 / 老闆急於提升業績，因此要求團隊加班處理客戶的需求。 / 在父母的期待下，他感到急於證明自己的能力。 / 她急於與朋友分享這個好消息，幾乎是立即發了訊息。 / 他急於表現自己的才能，卻常常忽略了團隊合作的重要性。 / 因為工作壓力大，主管急於尋找解決方案，以減輕團隊的負擔。 / 在產品發布之前，技術團隊急於修正所有的錯誤，以確保品質。 / 她急於了解這個新興市場的動態，以便能夠迅速作出商業決策。 / 由於對未來的不安，他急於制定計劃，希望能夠掌控自己的生活。 / 他急於適應新的環境，以免在競爭激烈的職場中落後。,adv,急於成功 / 急於學習 / 急於得到 / 急於解決 / 急於進步 / 急於表現 / 急於適應 / 急於瞭解 / 急於改變 / 急於回應
1311,拿東西給別人。[例]他因為受傷無法承擔家計的事件一經報導，社會各界紛紛給予援助。,給予,To give or provide something to someone.,把東西拿給別人，通常帶有幫助或支持的意思。,當學生面臨學業壓力時，老師應該給予適當的指導和支持。 / 為了幫助偏鄉的孩子更好地學習，社會各界都給予了他們很多實質性的幫助。 / 在困難的時期，朋友的關心和支持對我來說是一個重要的情感來源，讓我感受到被給予的溫暖。 / 這次的志願者活動，所有參與的人都給予了敬老院老人們無私的愛和關懷。 / 在面對環境問題時，專家們給予政府的建議受到重視，希望能夠改善當前的危機。 / 許多企業在疫情期間給予員工靈活的工作安排，以減輕他們的壓力。 / 家長在孩子的成長過程中，應該給予他們足夠的愛與支持，幫助他們建立自信心。 / 在這次選舉中，候選人透過各種渠道獲得了選民的信任和支持，展現出被給予的期望。 / 文化交流活動中，外國友人給予我們對本地習俗的認可，讓我們感受到跨文化的理解。 / 在團隊合作中，成員之間如果能夠給予彼此更多的鼓勵，會使整個工作氛圍更加積極。 / 政府對於提升公共交通系統的計劃，給予了市民更多的便利和選擇，提升了生活品質。,va-t,給予支持 / 給予幫助 / 給予鼓勵 / 給予關心 / 給予資源 / 給予建議 / 給予認可 / 給予信任 / 給予關愛 / 給予期望
1312,由於、根據。如：「基於以上理由，敬請據以改正有關之內容。」清．徐珂《清稗類鈔．盜賊類．鬍匪》：「東三省乃始成為鬍匪世界。推其原始，實以軍械精良之故。軍械之精良，則基於日俄戰役。」,基於,Based on; referring to the foundation or reasons for something.,由於某種原因或依據某種標準。,基於他們的學術研究，我們對這個問題有了更深入的了解。 / 公司基於市場調查的結果，決定調整產品的價格策略。 / 基於安全考量，政府發布了新的旅行警告。 / 基於環保原則，許多企業開始採用可再生資源。 / 他們的決策基於過去五年的數據分析。 / 基於法律的要求，所有企業必須提交年度報告。 / 基於專家的建議，我們選擇了這個最佳方案。 / 基於歷史的背景，我們需要重新評估這個事件的影響。 / 基於消費者的需求，該品牌推出了新系列的產品。 / 基於團隊的合作精神，我們成功地完成了這個挑戰。 / 基於科學實驗的結果，研究人員發現了新的療法。,prep,基於事實 / 基於理由 / 基於數據 / 基於經驗 / 基於原則 / 基於法律 / 基於觀察 / 基於歷史 / 基於需求 / 基於研究
1313,原指眾生信受佛法的時機和因緣。後泛指機會和因緣。[例]由於種種機緣，我們才能相遇又相知。,機緣,Opportune circumstances or conditions; originally referred to the timing and causes for beings to accept and believe in Buddhism.,原本指眾生信受佛法的時機和因緣，後來引申為機會和因緣。,在這次比賽中，他抓住了難得的機緣，得到了獎學金。 / 生命中的每一次機緣都可能改變我們的未來，因此要好好珍惜。 / 他因為一個偶然的機緣，認識了自己的導師，讓他的人生道路有了很大轉變。 / 雖然錯過了最初的機緣，但她仍然努力不懈，尋找新的可能性。 / 這次交流活動讓學生們感受到不同文化之間的機緣與碰撞，十分精彩。 / 機緣的把握能決定一個人的成功與否，因此我們應該時時刻刻做好準備。 / 在求職過程中，他遇到了一次機緣，這讓他的職業生涯步入了新階段。 / 機緣往往藏在日常生活的每個角落，只要我們用心去發現，便能找到它。 / 即使面對困難，我們也不要放棄，因為轉機和機緣往往就在不經意之間。 / 這部電影講述了一段因機緣而起的愛情故事，深深打動了觀眾的心。 / 過去的經歷讓她明白，珍惜當下的機緣，才能迎接更加美好的明天。,n,一次機緣 / 特殊的機緣 / 遇到機緣 / 創造機緣 / 失去機緣 / 天賜的機緣 / 機緣的把握 / 把握機緣 / 握住機緣 / 眼前的機緣
1314,急促焦躁。[例]眼看就要遲到了，卻仍塞在車陣當中，令她不免急躁起來。,急躁,Impatient and irritable; characterized by a sense of urgency and restlessness.,心情焦急而煩躁，通常因為想要迅速完成某件事情。,她發現進度無法如預期時，心中不禁感到急躁。 / 面對連續的失敗，他的急躁情緒讓他無法冷靜思考。 / 朋友建議她放慢腳步，不要那麼急躁，讓事情自然發展。 / 在忙碌的工作環境中，急躁的同事會影響整體的團隊氛圍。 / 她對於即將到來的考試感到壓力，嘴裡不斷重複著「不要急躁」。 / 我急躁地等待著消息，心裡不斷焦慮不安。 / 看到兒子做功課慢吞吞的，她忍不住出言催促，感到十分急躁。 / 在交通高峰期間，堵車的情況讓他越發急躁，心情愈加煩躁。 / 老師提醒學生，急躁只會使事情變得更糟，應該保持耐心。 / 當他發現自己忘記準備報告時，急躁的情緒讓他無法集中注意力。 / 面對客戶的不滿，她努力調整心態，告訴自己要冷靜面對，別急躁。,vs-i,我急躁 / 她急躁 / 會感到急躁 / 心情急躁 / 急躁的情緒 / 急躁的反應 / 急躁的表現 / 太過急躁 / 讓人急躁 / 急躁不安
1315,趁早。[例]想準時赴約，就得及早出門。,及早,To take action early; to act in a timely manner.,趁早，意指越早越好，趕快行動。,如果能及早察覺問題，很多麻煩都可以避免。 / 為了讓小孩在學校適應新環境，家長應該及早引導他們。 / 如果及早準備考試，成績會有很大的進步。 / 買票的時候，及早選擇好場次，這樣才能避免搶不到票的情況。 / 當我們面對挑戰時，及早思考解決方案可以降低壓力。 / 在旅遊計畫中，及早安排住宿可以讓行程更加順利。 / 如果能及早發現健康問題，就能及時採取措施進行治療。 / 當公司有重大決策時，及早進行市場調查可以降低風險。 / 如果及早學習外語，將來會有更多的機會。 / 在面對人際關係的困難時，及早溝通可以防止誤解加深。 / 為了確保工程按時完成，團隊應該及早制定詳細的計畫。,adv,及早安排 / 及早通知 / 及早準備 / 及早發現 / 及早處理 / 及早選擇 / 及早應對 / 及早解決 / 及早進行 / 及早學習
1316,最高的造詣。[例]在得到大會所頒發的終身成就獎後，他的演藝事業可謂已達到了極致。,極致,The highest level of achievement or excellence.,最高的造詣，達到完美的境界。,他的作品在藝術的極致中展現了人類靈魂的深度與廣度。 / 在旅途中，他追求體驗的極致，讓每一刻都充滿意義。 / 經過多年的努力，她終於在職業生涯中達到了成功的極致，成為業界的領導者。 / 他對料理的熱愛，使得每一道菜都達到了味道的極致，讓食客們回味無窮。 / 隨著科技的不斷進步，這款產品的設計也達到了功能與美學的極致。 / 在這部電影中，導演精湛的技藝將情感表達到了極致，感動了無數觀眾。 / 他在音樂上的追求使得每一首曲子都達到了和聲的極致，受到樂評人的高度讚譽。 / 這位作家的小說透過細緻的描寫，將人物心理的極致展現得淋漓盡致。 / 在運動場上，選手們的表現達到了競技的極致，打破了許多世界紀錄。 / 這場展覽不僅展示了藝術作品的極致，也讓觀眾體驗到創作靈感的源泉。 / 無論是在工作還是生活中，他始終追求幸福的極致，使得每一天都充滿快樂。,n,完美的極致 / 卓越的極致 / 藝術的極致 / 技藝的極致 / 設計的極致 / 創意的極致 / 生活的極致 / 體驗的極致 / 追求的極致 / 美學的極致
1317,本指機器的構造與運作原理。後泛指社會或自然現象的內在組織和運行的變化規律。,機制,"A mechanism; originally referring to the structure and operating principles of a machine, it later denotes the inherent organization and operational patterns of changes in social or natural phenomena.",本來指機器的構造與運作原理，後來引申為社會或自然現象的內在組織和運行的變化規律。,經濟機制的運作影響著商品的價格和供需關係。 / 生態系統中的捕食與被捕食的關係形成了一個穩定的調節機制。 / 在組織管理中，良好的溝通機制有助於提升團隊的效率與合作。 / 社會機制的變化常常反映出人們對於公平與正義的追求。 / 學校的考試制度是一種評估學生學習成果的重要機制。 / 一個有效的反饋機制能夠促進產品的持續改進和創新。 / 政府在調控經濟時，常會利用利率這一工具來影響市場機制。 / 文化交流的增強，有助於建立更完善的國際合作機制。 / 在心理學中，情緒調節機制對於個體的心理健康至關重要。 / 網絡安全系統必須建立嚴密的防護機制，以保護用戶的數據資訊。 / 人類活動對環境的影響，促使生態保護機制的逐步完善與強化。,n,社會機制 / 經濟機制 / 運作機制 / 反饋機制 / 控制機制 / 調節機制 / 溝通機制 / 協調機制 / 內部機制 / 資源分配機制
1318,聰明靈敏，能隨機應變。[例]他憑著機智的反應，終於化險為夷，死裡逃生。,機智,Intelligent and quick-witted; able to respond flexibly and astutely in situations.,聰明靈敏，能夠隨著情況變化而快速應對。,他在辯論中展示出超凡的機智，讓對手無法反駁。 / 面對突如其來的問題，他機智地轉移話題，避免了尷尬。 / 她的機智反應讓大家驚嘆，總能在關鍵時刻提供解決方案。 / 在聚會上，他用機智的幽默緩解了緊張的氣氛。 / 當被問到難題時，她機智地引用了一句名言，讓人印象深刻。 / 機智的人常常可以在危機中找到意想不到的出路。 / 他在遊戲中展現出的機智，讓他成為團隊的 MVP。 / 她的機智讓她在職場上贏得了同事的尊重和領導的欣賞。 / 當面對批評時，他機智地以建設性的回應來化解矛盾。 / 他用機智的觀察力，迅速洞察到了問題的核心。 / 在競賽中，她憑藉機智的策略，成功超越了所有對手。,n,機智的應對 / 機智的反應 / 機智的人 / 機智的思維 / 機智的回應 / 機智的解決方案 / 機智的表現 / 機智的策略 / 機智的選擇 / 機智的處理
1319,脊椎動物體內構成脊柱的椎骨。[例]他的脊椎因車禍受傷，造成下半身癱瘓。　◎,脊椎,The vertebrae that constitute the spine of a vertebrate.,脊椎是脊椎動物體內構成脊柱的椎骨。,健身可以增強脊椎的穩定性，降低受傷的風險。 / 医生告訴她，要注意坐姿，以免影響脊椎的健康。 / 頭頸部受傷後，他感到脊椎一側出現劇烈的疼痛。 / 她每天都要花時間伸展，以保持脊椎的靈活性。 / 脊椎的健康對於日常活動和整體身體機能非常重要。 / 醫生建議她定期進行脊椎檢查，以確保沒有潛在的問題。 / 患者因長時間駕駛而導致脊椎出現不適，需要接受專業治療。 / 運動時，正確的姿勢可以有效保護脊椎，減少受傷的可能性。 / 脊椎的結構對於保持身體的平衡和支持至關重要。 / 他在瑜伽課上學到了如何放鬆脊椎，改善自己的姿勢。 / 檢查脊椎的功能可以幫助醫生更好地理解患者的健康狀況。,n,健康的脊椎 / 脊椎骨的結構 / 檢查脊椎 / 受傷的脊椎 / 醫治脊椎 / 脊椎動物的特徵 / 疼痛的脊椎 / 強壯的脊椎 / 來自脊椎的疼痛 / 針對脊椎的治療
1320,量詞。臺灣計算地積的單位。一甲有2934坪，等於0.97公頃。,甲,"A measure word. In Taiwan, it is a unit for measuring land area, where one ""甲"" equals 2,934 ""坪"" or 0.97 hectares.",量詞，用於計算地積。在台灣，一甲等於2934坪，約為0.97公頃。,我家附近有三甲的農田，種滿了稻穀。 / 他們計劃購買兩甲的土地來建立一個花園。 / 這片五甲的土地非常適合種植水果。 / 我的祖父擁有七甲的橄欖樹園，產量十分豐富。 / 在村莊的會議上，大家討論了一甲土地的開發計劃。 / 在這片三甲的田野上，春天的花朵競相綻放。 / 這片四甲的土地每年都吸引不少遊客前來觀賞。 / 他打算租用一甲的土地來進行有機農業實驗。 / 我的朋友在八甲的農場工作，從事牛隻飼養。 / 當地政府正在考慮如何有效利用十甲的閒置土地。 / 一甲的禾田在夏季時節金黃一片，景色十分迷人。,m,一甲土地 / 一甲農田 / 每甲的產量 / 六甲可耕地 / 四甲的果園 / 三甲農場 / 九甲的土地面積 / 一甲的禾田 / 兩甲土地 / 數甲土地
1320,天干的第一位。也常指等第最高的。[例]甲等、甲級,甲,"The first character of the Heavenly Stems in traditional Chinese astrology and calendrical systems; also refers to the highest rank or category, as in first-class or A-level.",天干的第一位，通常指等級最高的。,這個村莊有一座古老的甲冑，曾經是戰士們的防身利器。 / 甲蟲在森林中有著重要的生態角色，牠們能夠分解落葉，促進土壤的健康。 / 今天的考試中，學生們必須選擇答案，不然就會被當成甲級不及格。 / 甲級品的標準讓顧客們對產品的品質有了更高的期待和信心。 / 在這次的評比中，他們公司榮獲了甲等獎，這對提升品牌形象非常有幫助。 / 根據合同，甲方需要負責所有的工程費用。 / 甲狀腺問題影響了她的情緒，讓她時常感到疲憊和無力。 / 甲骨文的發現，讓我們得以窺見古代文明的奧秘，對歷史學有極大的幫助。 / 這部電影的特效非常出色，尤其是甲級的戰鬥場面讓觀眾印象深刻。 / 這次的音樂比賽，評審們對作品的評分標準定在甲級，參賽者們都非常緊張。 / 他們的研究成果被認為是甲等學術論文，對相關領域產生了深遠的影響。,n,甲方 / 甲等獎 / 甲級品 / 甲狀腺 / 甲蟲 / 甲級資格 / 甲冑 / 甲板 / 甲骨文 / 甲光
1320,古代軍人所穿的護身衣物。以皮革或金屬片製成。[例]盔甲、鎧甲、戰甲,甲,"Body armor worn by ancient soldiers, made of leather or metal plates.",古代軍人所穿的護身衣物，通常用皮革或金屬片製成。,古代戰士所穿的甲能有效抵擋敵人的攻擊。 / 在博物館裡，我看到了許多精美的盔甲，讓我想起勇敢的戰士們。 / 甲的設計不僅重視防護，還考慮到戰士的靈活性。 / 「甲」這個字在古書中經常出現，描述了軍事裝備的重要性。 / 戰場上，身穿重甲的騎士總是令人敬畏，彷彿無懼任何挑戰。 / 他的盔甲閃閃發亮，顯得特別莊重。 / 古代的甲通常由多層皮革或金屬片製成，以增強防禦力。  / 在電影中，主角穿上的戰甲讓他擁有超凡的力量和速度。  / 這件古銅色的甲展現了歷史的厚重感，讓人不禁思索昔日戰役。  / 士兵們在出征前，都會仔細檢查自己的甲，以確保能夠抵禦敵人的攻擊。  / 甲的防護效果在激烈戰鬥中扮演著至關重要的角色，能決定生死存亡。,n,一件甲 / 戰甲的設計 / 盔甲的保護 / 甲乙的關係 / 鐵甲的材質 / 光亮的甲 / 戴上甲 / 扣緊甲 / 甲的效果 / 甲與乙
