word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
領養,6010,收養。[例]這對夫婦多年不孕，因此到孤兒院領養了一個小孩。,To adopt; to take in a child as one's own.,收養他人為自己的孩子，通常包括法律程序。,這對夫婦非常希望能有孩子，於是決定去孤兒院領養一個嬰兒。 / 在動物領養中心，志工們每天都在努力推廣領養而非購買的概念。 / 他們領養了一隻受傷的流浪狗，經過幾週的悉心照料，牠終於康復了。 / 許多孩子因家庭因素無法長期生活在父母身邊，但他們都希望能夠被好心人領養，過上幸福的生活。 / 領養手續雖然繁瑣，但這對夫妻仍然堅持完成所有法律程序，只為了能早日帶回那名小女孩。 / 發現流浪貓咪後，他們決定領養牠，並給牠取名為「小白」。 / 在社區活動中，志工們宣導領養犬隻的重要性，希望能減少牠們被遺棄的情況。 / 透過領養，許多孩子重新找到了溫暖的家庭，開始了新的人生篇章。 / 這對年輕夫婦將領養犬隻視為生活中的一大樂趣，也讓牠們感受到無條件的愛。 / 領養不是一時的衝動，而是需要長期承擔責任與愛護的決定。 / 他們在網上看到一隻待領養的小兔子，於是立即聯繫收容所，想要把牠帶回家。,va-t,領養孩子 / 領養家庭 / 領養犬隻 / 領養貓咪 / 領養中心 / 領養程序 / 領養動物 / 領養的父母 / 正式領養 / 自願領養,lǐngyǎng,ㄌㄧㄥˇㄧㄤˇ,"帶回, 取名為, 無條件, 貓咪, 期"
瘤,6011,皮膚表面或身體內部組織所生成的腫塊。[例]肉瘤、腫瘤,"A tumor; a lump or mass formed from abnormal tissue growth, which can occur on the skin surface or within internal organs.",皮膚表面或身體內部組織生成的腫塊。,醫生告訴我，我的手臂上出現的一顆瘤是良性的，不必過於擔心。 / 我最近感到胸口不舒服，醫生建議我做檢查，以排除肺部有瘤的可能。 / 我看見小狗身上長了一顆瘤，希望主人能帶牠去看獸醫。 / 癌症患者的腫瘤若不及時治療，可能會有擴散的風險。 / 聽說有些瘤可以透過飲食調整來改善，希望這對我的健康有幫助。 / 這位患者的瘤需要接受手術，才能確認其是否為惡性。 / 在體檢中，醫生發現我的腎臟有一顆小瘤，建議我定期追蹤。 / 我的朋友告訴我，某些瘤的發展速度很快，因此及早診斷非常重要。 / 最近，有報導指出某種食品與瘤的形成可能有關聯，引起了大家的關注。 / 醫院的專家正在研究新方法，以有效治療難以醫治的瘤。 / 腫瘤的大小與位置會影響治療方案，醫生會根據具體情況制定計劃。,n,一顆瘤 / 腫瘤的大小 / 瘤的類型 / 瘤的治療 / 良性瘤 / 惡性瘤 / 瘤的發展 / 瘤的分級 / 瘤的病因 / 瘤的手術,liú,ㄌㄧㄡˊ,"分級, 獸醫, 若, 良, 腫塊, 體檢, 惡"
流竄,6012,四處逃亡。[例]為了避免被警察緝捕歸案，他四處流竄，居無定所。,"To flee and evade capture, wandering from place to place.",四處逃亡，沒有固定的地方。,這位詐騙犯因為害怕被抓，日夜流竄於各大城市之間。 / 為了不被警方發現，他只能在城市的邊緣流竄，過著隱秘的生活。 / 這名流浪者的故事令人心痛，他曾因家庭變故而不得不四處流竄尋找安慰。 / 他在外流竄的日子裡，時常回憶起過去的美好時光，讓他更感孤獨。 / 整個夏天，他都流竄於海邊小鎮，希望能在海浪聲中找到心靈的平靜。 / 他在流竄的過程中，結識了許多志同道合的朋友，彼此分享著逃避現實的故事。 / 由於政治動亂，許多人不得不流竄至鄰國尋求庇護，過著不安定的生活。 / 她的心如同在城市中流竄的音符，永遠追尋著未曾實現的夢想。 / 隨著社會的變遷，這位藝術家也不得不流竄於不同的展覽，尋找屬於自己的靈感。 / 在這段流竄的旅程中，他意識到，真正的自由並不在於逃避，而在於面對自己的過去。 / 他流竄不定，心中卻始終懷念那個充滿溫暖與愛的故鄉。,va-i,流竄不定 / 流竄四方 / 流竄而逃 / 流竄的生活 / 流竄的時候 / 流竄於外 / 流竄的足跡 / 流竄中躲藏 / 流竄到處 / 流竄的故事,liúcuàn,ㄌㄧㄡˊㄘㄨㄢˋ,"音符, 隱秘, 定, 未曾, 警"
留存,6013,保存、保留。[例]她是個十分念舊的人，許多親友的信件她都一直留存著。,To preserve or retain; to keep something for future use or reference.,保存或保留某物，不輕易丟棄。,她收藏的老照片讓她留存了許多美好的回憶。 / 每當她翻閱舊日記，就能夠留存那些珍貴的青春時光。 / 這封信是我爺爺寫給我的，留存著他對我的深切期望。 / 他定期整理家裡的信件和文件，想要留存每一個重要的時刻。 / 博物館的展品不但留存了歷史，也讓我們了解過去的故事。 / 我每年都會寫下生活點滴，這樣能留存下來更多美好的記憶。 / 學校鼓勵學生留存他們的作品，讓他們在未來能夠回顧自己的成長。 / 她的畫作展現了她的想法，留存了她對世界的獨特視角。 / 他們的友誼雖然經歷了許多波折，但仍然留存著彼此的深厚情感。 / 這本書留存著作家的智慧，讓讀者能夠汲取寶貴的知識。 / 為了保護環境，我們應該留存自然資源，以便有效留存這些資產，讓後代也能享有美好的生態。,vp-i,留存記錄 / 留存資料 / 留存文件 / 留存證據 / 留存信息 / 留存檔案 / 有效留存 / 留存權益 / 留存回憶 / 難以留存,liúcún,ㄌㄧㄡˊㄘㄨㄣˊ,展
留待,6014,暫時保留，等待以後。如：「這份資料很重要，須留待備查。」《儒林外史》第三五回：「今日回來，留待下次掄元。」,To temporarily set aside or reserve for later consideration.,暫時保留，等待以後使用。,這份報告的數據很重要，應留待未來的討論中使用。 / 這些材料要留待以後的項目研究使用。 / 我將這筆預算留待明年的計劃使用。 / 這些資料需要留待會議上進一步討論。 / 他們的意見非常有價值，應該留待做深入分析之用。 / 這些細節留待確認後再進行下一步的計畫。 / 這些檔案需留待將來的審核時參考。 / 這些問題暫時留待後續的調查中解決。 / 這個提案的潛力很大，可以留待以後的考慮。 / 這段對話中的實用建議留待今後的工作中吸收。 / 這些數據非常重要，應留待未來的研究中詳細分析。,vp-t,留待之用 / 留待參考 / 留待未來 / 留待後續 / 留待解釋 / 留待確認 / 留待觀察 / 留待評估 / 留待討論 / 留待考慮,liú dāi,ㄌㄧㄡˊ ㄉㄞ,
流放,6015,將罪犯放逐到偏遠處的刑罰。[例]古時遭流放的罪犯往往因不堪路途艱苦而客死異鄉。,To exile or banish; a punishment that involves removing a criminal to a remote area.,將罪犯被放逐到偏遠地方的刑罰。,古代的官員如果貪污受賄，常常會被流放至偏遠的島嶼。 / 在一些專制國家，政敵經常遭到流放，以維護當權者的權力。 / 流放政策往往對社會造成嚴重的分裂和不安。 / 這位文人因言辭激烈，遭遭流放到遙遠的邊疆，無法再與故人相見。 / 流放的生活條件非常艱苦，許多人經受不了而喪命。 / 在歷史的某個時期，流放被視為最嚴厲的處罰之一，許多人因此失去了與家人團聚的機會。 / 流放的刑罰不僅僅是對身體的懲罰，還深深打擊了受害者的精神世界。 / 在異鄉流放的日子裡，他常常懷念故鄉的山水和親友的笑聲。 / 流放後的日子過得寂寞無比，只有書籍和自然陪伴著孤獨的心靈。 / 許多流放者在陌生的土地上，依然保持著對自由和正義的渴望。 / 在流放地，他們成立了小社群，互相扶持，分享彼此的故事和希望。,va-t/N,遭受流放 / 受到流放 / 流放的罪犯 / 流放到偏遠地區 / 流放的刑罰 / 流放的歷史 / 流放後的生活 / 流放的原因 / 流放的處罰 / 流放經歷,liúfàng,ㄌㄧㄡˊㄈㄤˋ,"賄, 經"
流連,6016,貪戀沉迷，不忍離去。[例]請勿流連聲色場所，以免自毀前程。,To linger or hesitate due to fondness or reluctance to part.,貪戀沉迷，不忍離去。,每當我聽到那首熟悉的旋律，都忍不住流連於音樂的美好。 / 這裡的夕陽非常迷人，令人流連忘返。 / 他們在古老的圖書館裡流連，迷醉於書籍的海洋。 / 這片花海如此絢爛，讓路過的行人不禁流連拍照。 / 每次參加藝術展覽，我都會流連於那些動人的畫作之中。 / 在那個小鎮上，安靜的咖啡館讓人流連，忘卻了時間的流逝。 / 無論如何，我總是流連於與朋友共度的美好時光。 / 這部電影的情節深刻，讓我在結束後仍然流連於角色的故事中。 / 漫步在海邊，迷人的浪聲讓我不禁流連於這片寧靜。 / 在那家獨特的書店裡，我常常流連，享受尋找珍貴書籍的樂趣。 / 流連於美麗的風景，使我感受到大自然的無窮魅力。,va-i,流連忘返的時光 / 流連於美景 / 流連佳境 / 流連於音樂 / 縱情流連 / 易於流連 / 常常流連 / 讓人流連的場所 / 不自禁流連 / 流連於美麗的風景,liúlián,ㄌㄧㄡˊ ㄌㄧㄢˊ,"浪, 流連忘返, 迷, 自禁, 佳境, 戀, 流連忘"
留戀,6017,有所眷戀而捨不得。[例]留戀不已,To be reluctant to part with something due to fondness or attachment.,對某人或某事有深厚的感情，難以割捨。,她在畢業典禮上流下眼淚，因為對大學生活充滿了留戀。 / 當他看到兒時玩具時，心中不禁湧起留戀的情感。 / 雖然已經搬家，他仍然留戀那個充滿回憶的舊社區。 / 每當聽到那首歌，她便會留戀起和朋友們一起度過的快樂時光。 / 他在看老照片時，感到對過去的友情格外留戀。 / 留戀青春的我們，常常翻看舊日的日記，回想那些美好的瞬間。 / 當她回到故鄉，望著熟悉的景色，心中充滿了留戀與感慨。 / 他在最後一場比賽中，全心投入，因為不想留下對運動生涯的任何留戀。 / 雖然新生活充滿挑戰，她仍然對過去的安穩日子感到留戀。 / 在每個團聚的時刻，他都會感受到對舊日時光的深切留戀。 / 隨著時間的推移，我們對那些共同經歷的旅程仍然留戀不已。,vs-t,留戀過往 / 留戀時光 / 留戀回憶 / 留戀故鄉 / 留戀青春 / 留戀友誼 / 留戀生活 / 留戀愛情 / 留戀歲月 / 留戀不已,liúliàn,ㄌㄧㄡˊ ㄌㄧㄢˋ,"湧起, 望, 舊日"
流落,6018,潦倒失意，飄泊流浪。[例]流落街頭、流落在外,"To be adrift and impoverished, lacking direction or support.",潦倒失意，飄泊流浪，生活困難。,這位老人在市區流落街頭，讓路過的人都感到心酸。 / 他的父母在他小時候就離婚了，導致他流落異鄉，缺少安穩的生活環境。 / 在疫情期間，許多工人因為失業而流落無家，不得不尋求社會救助。 / 她的故鄉發生了災難，讓她無奈流落他鄉，心中充滿了對家的思念。 / 這部電影講述了一群流落四方的年輕人，面對困難依然不放棄彼此的故事。 / 這位流浪詩人在街角默默創作，分享著自己流落生活的心聲。 / 這位流浪漢在城市的角落流落孤單，時常回憶起從前的美好時光。 / 他的音樂作品中，常常流露出他流落天涯的孤獨感，讓人感同身受。 / 這本書描述了一名少女流落在外，奮力尋找自己人生方向的感人故事。 / 當他在異國他鄉流落無依時，偶然遇到了志同道合的朋友，讓他感到一絲溫暖。 / 無論身處何地，她的心中始終牽掛著那個流落身世的過去。,vp-i,流落街頭 / 流落他鄉 / 流落異鄉 / 流落無家 / 流落四方 / 流落生活 / 流落困境 / 流落孤單 / 流落天涯 / 流落身世,liúluò,ㄌㄧㄡˊㄌㄨㄛˋ,"救助, 飄泊, 疫情, 何, 感"
留名,6019,流傳名聲於後世。[例]留名青史,"To leave one's name for future generations to honor, indicating that one has gained fame or recognition.",將自己的名字或聲譽傳遞給後世，讓人們記住。,一位優秀的醫生不僅治療病人，還創立了醫療基金會，希望能夠留名於世。 / 儘管這位藝術家的作品只有少數人欣賞，但他的堅持讓他在藝術史上留名。 / 他一直努力推動環保活動，希望能夠留名青史，讓後代感受到保護地球的重要性。 / 為了讓新一代了解歷史，這位老師每年都會舉辦講座，讓她的教學理念能夠留名於世。 / 那位運動員在奧運會上打破了世界紀錄，讓他的名字永遠留名於體育史。 / 即使遭遇挫折，他的堅持和努力讓他最終在科學界留下了不朽的名字。 / 在社會運動中，那位勇敢的發言人不畏艱難，終於為自己爭取的權利留名於世。 / 她在文學創作中表達了人性之美，這使得她的作品得以留名於文壇。 / 這位慈善家無私奉獻，希望藉此行動能夠留名於人們的心中。 / 隨著發明的重要性不斷增加，這位科學家的名字終將留名於科技發展史上。 / 那位年輕的創業者憑藉創新的商業理念，成功留名於當代經濟的歷史。,va-t,留名青史 / 留名後世 / 留名於史 / 留名傳世 / 留名人物 / 留名故事 / 留名於世 / 留名業績 / 留名榮譽 / 留名佳作,liúmíng,ㄌㄧㄡˊㄇㄧㄥˊ,"終, 史留, 史, 奧運, 畏, 記住, 世"
留情,6020,用情、動情。[例]到處留情,To be affectionate or sentimental; to show kindness or leniency.,用情或動情，對他人或事物表現出柔情或關心。,經過一番考慮，他最終決定對這位年輕的創業者留情，給予他一次機會。 / 在這場比賽中，他的對手雖然實力強勁，但他仍然選擇留情，並沒有全力以赴。 / 她對待小動物時總是留情，經常在路上幫助受傷的鳥兒。 / 面對朋友的失誤，我們應該學會留情，給予彼此更多的理解和支持。 / 在這個充滿競爭的職場中，能夠對同事留情的人更容易建立良好的人際關係。 / 即使面對困難，他依然心存留情，沒有對他人採取苛刻的態度。 / 聖誕節期間，很多人選擇留情，捐贈物品幫助那些需要幫助的家庭。 / 她在評價學生的表現時，總是能夠留情，看到他們的努力和成長。 / 在處理這起糾紛時，調解人特別強調要留情，以便找到雙方都能接受的方案。 / 他對待老朋友時常常留情，因為珍惜過去的回憶和情誼。 / 在這場辯論中，雖然觀點衝突激烈，但參與者們仍然選擇留情，避免人身攻擊。,vs-t,到處留情 / 寬容留情 / 施恩留情 / 留情於人 / 心存留情 / 暫時留情 / 反覆留情 / 冷眼留情 / 留情於心 / 三思而後留情,liúqíng,ㄌㄧㄡˊㄑㄧㄥˊ,"人身攻擊, 鳥兒, 冷眼, 情, 而後, 施恩, 失誤"
留神,6021,細心注意、謹慎小心。[例]這條山路崎嶇難行，你開車時要多留神。,To be cautious and attentive; to pay careful attention.,細心注意，謹慎小心。,騎腳踏車時要留神路況，避免遇到坑洞或障礙物。 / 在山區開車時，天氣突然變化，你要留神行車安全，以免發生意外。 / 逛夜市時，除了享受美食，也要留神周圍的環境，以防扒手。 / 上課時，學生們要留神老師講解的每個細節，這樣才能更好地理解課程。 / 餐廳等候食物時，不妨留神其他顧客的反應，這樣可以發現更多有趣的事情。 / 在公園散步時，要留神地面情況，避免滑倒或絆倒。 / 當接聽電話時，請留神對方說的每一個字，這樣才能準確理解他們的意思。 / 參加戶外活動時，大家都要留神天氣變化，隨時準備應對突發情況。 / 駕駛時，不僅要注意交通標誌，還要留神其他車輛的動態，以確保安全。 / 在圖書館學習時，學生們要留神周圍的安靜環境，以便更好地專注於閱讀。 / 留神自己的身體狀況，特別是在運動過程中，避免過度勞累或受傷。,idiom,留神安全 / 留神周圍 / 留神路況 / 留神細節 / 留神行車 / 留神他人 / 留神環境 / 留神意外 / 留神風險 / 留神時刻,liúshén,ㄌㄧㄡˊ ㄕㄣˊ,"路況, 坑洞, 行車, 滑倒, 絆倒, 扒手"
留守,6022,留下來駐守。[例]辦公室裡除一人留守外，其餘的都開會去了。,"To remain behind and stationed, usually referring to someone left in charge or on duty.",留下來駐守在某個地方，通常是指其他人離開而自己留在原地。,在農村，許多父母因為工作需要外出打工，留下的孩子就成為了「留守孩子」。 / 留守人員要負責看管廠房，以確保生產設備的安全。 / 為了應對突發事件，急救中心總是會安排一名醫生留守待命。 / 在過年期間，留守的老年人常常感到孤獨，期待著家人的回來。 / 社區開展志願活動，鼓勵年輕人關心和幫助留守的鄰居。 / 留守家庭的孩子們常常希望能夠和遠在他鄉工作的父母視頻通話，以縮短彼此的距離。 / 每到暑假，許多留守孩子會參加學校組織的夏令營，以豐富他們的課外生活。 / 辦公室裡，除了負責處理文書工作的留守人員外，其餘的同事都外出開會了。 / 為了保證項目的順利進行，項目經理選擇了兩名優秀的員工留守辦公室。 / 留守的志願者們每天都會為社區的孤寡老人送去生活用品，傳遞暖意。 / 農田的留守勞動力在收穫季節時十分重要，他們的辛勤付出保障了農作物的豐收。,vp-i/N,留守人員 / 留守孩子 / 留守家庭 / 留守崗位 / 留守工作 / 留守隊伍 / 留守任務 / 留守地點 / 留守情況 / 留守措施,liúshǒu,ㄌㄧㄡˊㄕㄡˇ,"暖意, 課外, 頻, 通話, 孤, 農田, 廠房"
