number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations,problematic_words
4610,確定，有把握。[例]這位候選人平日服務民眾，周到熱心，這次選舉，民調很高，篤定當選。,篤定,Certain; having a high degree of assurance.,確定而且有把握。,經過充分的準備，他對演講的表現篤定無疑。 / 這家公司的新產品篤定會吸引很多顧客的目光。 / 他告訴我，這次考試他篤定能取得好成績，因此心情相當輕鬆。 / 篤定自己的理念，讓她在這場辯論中表現得格外自信。 / 樸實無華的生活讓他篤定明白了幸福的真諦。 / 他們篤定能在比賽中取得勝利，因此積極訓練。 / 經過多次實驗，科學家們篤定這項新技術能夠改變行業格局。 / 她篤定自己的選擇是對的，於是勇敢地追求自己的夢想。 / 在這次會議上，專家篤定提出的方案將改善公司的運效率。 / 篤定的信念讓他在困難面前始終保持堅持。 / 我無法篤定明天的天氣，但我們已準備好所有的應對措施。 / 此次調查結果篤定顯示，顧客對我們的服務非常滿意，讓我們對未來的發展篤定信心大增。,vs-adj,篤定勝利 / 篤定成功 / 篤定目標 / 篤定計畫 / 篤定結果 / 篤定方向 / 篤定選擇 / 篤定信心 / 篤定立場 / 篤定觀點,"華, 運營"
4610,安詳從容、鎮定。[例]當大家慌成一堆時，他卻顯得很篤定。,篤定,Calm and composed; showing a state of tranquility and confidence.,安詳從容，心態鎮定。,即使面對重重困難，他的篤定態度讓團隊重新燃起希望。 / 在演講時，她篤定地闡述自己的觀點，讓聽眾深受感染。 / 遇到突發事件時，他冷靜篤定的反應有效地控制了局面。 / 當朋友對未來感到迷惘時，他篤定地給予支持，幫助大家找到方向。 / 在比賽前夕，教練篤定地鼓勵選手們不要放棄，繼續努力。 / 在與客戶的會談中，他的篤定回應贏得了對方的信任。 / 即使遭遇挫折，她依然篤定地相信自己的夢想能夠實現。 / 當團隊面臨挑戰時，領導者篤定的指示使大家重拾信心。 / 在學習新技能的過程中，他篤定地投入時間，最終獲得了良好成果。 / 隨著時間的推移，他越來越篤定自己的選擇是正確的。 / 對於自己的判斷，他始終篤定，從未因他人的意見而動搖。,vs-adj,自信篤定 / 內心篤定 / 始終篤定 / 非常篤定 / 說話篤定 / 判斷篤定 / 態度篤定 / 意志篤定 / 心態篤定 / 立場篤定,"從未, 重拾, 因, 深受"
4611,僅憑自己的想法決斷事情。[例]他行事獨斷又反覆無常，令人難以忍受。,獨斷,"To make decisions based solely on one's own opinions, often in a domineering or arbitrary manner.",僅憑自己的想法做出決定，通常不考慮他人意見。,他的獨斷行為常常讓同事們感到困惑，因為他不喜歡聽取他人的意見。 / 她的獨斷決定讓整個團隊的計畫都受到影響，大家不得不重新調整方向。 / 在這次會議上，領導者的獨斷發言使得討論氛圍變得緊張，大家都不敢再提出不同的看法。 / 獨斷而偏激的評論讓他在朋友中失去了信任，大家開始不願意與他交流意見。 / 他常常以獨斷的態度來處理問題，這使得團隊合作變得更加困難。 / 他的獨斷判斷讓專案進度大幅延遲，因為他忽視了基層員工的反饋意見。 / 在這次選舉中，某些候選人的獨斷言論引發了公眾的不滿，許多人開始質疑他們的資格。 / 獨斷的管理方式讓公司的氛圍變得壓抑，員工們都不敢表達自己的想法。 / 她的獨斷決策經常導致資源浪費，因為她沒有考慮到實際的需求與情況。 / 在家庭聚會上，長輩的獨斷安排讓年輕人感到無法接受，大家都希望能有更多的選擇。 / 他在社交場合中表現出的獨斷風格，讓許多人對他的個人魅力產生了疑問。,vs-t,獨斷的決定 / 獨斷的行為 / 獨斷的態度 / 獨斷的判斷 / 獨斷的決策 / 獨斷的做法 / 獨斷的領導 / 獨斷的風格 / 獨斷而偏激 / 獨斷的管理方式,"獨斷言論, 反饋"
4612,以毒物或奸計謀害他人。比喻危害團體的人或事。例]歷史書上記載很多忠臣慘遭毒害的故事。,毒害,"To harm or poison someone with malicious intent, often through deceit or treachery.",以毒物或奸計謀害他人，通常比喻危害團體的人或事。,在某些電影中，壞人用毒品來毒害年輕人，讓他們失去理智。 / 在歷史上，有許多忠臣因為政敵的陰謀而被毒害，讓人感到惋惜。 / 社會上有些不法分子利用假新聞來毒害大眾的思想，應該提高警覺。 / 我們要努力消除那些毒害人心的負面消息，讓社會恢復正能量。 / 毒害環境的行為必須受到嚴厲懲處，才能保護我們的子孫後代。 / 近年來，網路上的謠言毒害了不少年輕人的心靈，影響了他們的判斷力。 / 在某些宗教極端團體中，教主的言論常常毒害信徒的思想，使他們遠離現實。 / 有些企業為了牟利，故意隱瞞產品的危害，這樣的行為就像是在毒害消費者的健康。 / 我們需要加強對青少年的心理輔導，以防止外界的毒害影響他們的成長。 / 毒害社會風氣的行為不僅危害他人，也最終會對自己造成無法挽回的損失。 / 作為一名教師，我深知不良習慣的毒害對學生心靈的影響，於是更加重視對學生的品德教育。,va-t/N,毒害他人 / 毒害心靈 / 社會的毒害 / 毒害的事件 / 毒害生命 / 毒害思想 / 毒害的根源 / 在毒害下的社會 / 恶劣的毒害 / 不顧安危毒害他人,"牟利, 恶, 良, 劣, 奸計, 遠離"
4613,指大都市。[例]倫敦是世界首屈一指的大都會。,都會,"A large metropolitan area or city; A hub of economic, cultural, and social activities.",指大城市，人口多，經濟發達，文化交流頻繁。,繁華的都會吸引了許多年輕人追求夢想。 / 在都會裡，人們的生活節奏都會非常快，讓人感受到緊湊的生活壓力。 / 都會區的公園為居民提供了一個放鬆與休憩的好地方。 / 文化活動在都會中層出不窮，讓市民的業餘生活更加豐富多彩。 / 都會的交通系統雖然繁忙，但也方便了人們的日常出行。 / 現代都會生活常常讓人感到壓力，但也提供了無限的可能性。 / 都會的夜生活多姿多彩，吸引了各年齡層的人前來體驗。 / 在都會中，經濟繁榮帶動了房地產市場的快速發展。 / 知名的都會景點，如博物館和展覽館，吸引了眾多遊客前來觀光。 / 都會的居民生活充滿了文化交融，讓人感受到多元的生活方式。 / 隨著科技的發展，都會的創新產業正在重塑城市的經濟結構。,n,現代都會生活 / 繁華的都會 / 都會區的發展 / 都會的交通系統 / 文化的都會 / 都會的夜生活 / 享受都會的便利 / 都會的經濟繁榮 / 知名的都會 / 都會的居民生活,"遊客, 夜生活, 多姿, 出行, 彩"
4614,憎恨他人勝過自己。[例]他才能出眾，有人欽佩，也有人妒忌。,妒忌,"To envy or be jealous of someone, indicating a sense of resentment towards their success or qualities.",對他人的優點或成就感到憎恨，希望自己比他人更好。,當她看到朋友獲得獎學金時，心中不禁產生了妒忌的情緒。 / 妒忌的心理常常讓人難以自拔，影響到人際關係。 / 有時候，妒忌和羨慕之間的界線很模糊，讓人難以分辨。 / 在工作上，她對同事的表現感到妒忌，這讓她的心情變得十分沉重。 / 妒忌的程度隨著他人成功的大小而變化，有時甚至讓人感到窒息。 / 他對朋友的成就感到妒忌，決定更加努力提升自己。 / 妒忌的情緒如果不加以控制，可能會導致不必要的爭執。 / 當她聽到他人讚美她的競爭對手時，心中湧起了一陣妒忌的波潮。 / 妒忌的原因往往源自於對自身不安的焦慮，讓人陷入自我懷疑的漩渦。 / 他發現妒忌的表現影響了他的友誼，於是開始反思自己的心態。 / 妒忌他人的幸福有時會讓我們忽略自身的美好，應該學會珍惜自己擁有的。,n,妒忌他人 / 妒忌的情緒 / 妒忌與羨慕 / 妒忌的心理 / 妒忌的表現 / 妒忌的原因 / 妒忌的對象 / 妒忌的程度 / 妒忌的心情 / 妒忌造成,"自拔, 湧起, 潮"
4615,以薄層的黃金鍍在器物的表面上。有時比喻得到更高的學位或職位後，在社會上更大的名氣或更高的地位。[例]這雖只是鍍金的飾品，但造型十分別緻。,鍍金,To gold-plate; to cover with a thin layer of gold.,以薄層的黃金覆蓋在器物的表面上。有時也比喻得到更高的學位或職位後，社會上獲得更大名氣或更高地位。,這件鍍金的飾品看起來華麗，但其實價格並不高。 / 雖然這是個鍍金的戒指，但他的設計很獨特，值得收藏。 / 最近流行的鍍金首飾，讓許多人愛不釋手。 / 鍍金的項鏈可以讓整體造型更加亮眼，吸引了不少人的目光。 / 聖誕節快到了，鍍金的裝飾品成為了熱門的聖誕禮物選擇。 / 雖然這件物品只是鍍金的，但它展現了工匠精湛的技術。 / 在拍賣會上，那件鍍金的古董吸引了許多收藏家的注意。 / 這款鍍金手錶雖然不是真正的黃金，但卻有著不錯的時尚感。  / 鍍金的家居擺設讓整個空間看起來更為高雅，受到不少客人的喜愛。  / 這種鍍金技術使得普通的首飾變得更有價值，讓人感到驚喜。  / 鍍金的手機殼不僅具有防摔功能，還增添了一絲奢華感，讓人更願意使用。,n,鍍金飾品 / 鍍金技術 / 鍍金效果 / 鍍金的應用 / 鍍金製品 / 鍍金層 / 鍍金表面 / 鍍金裝飾 / 鍍金的價值 / 鍍金工藝,"聖誕, 感, 防, 鏈"
4616,單獨一人居住。[例]他的家人都移民國外，只剩他一人在臺獨居。,獨居,To live alone; to reside in solitude.,單獨一人居住。,她因為工作需要，已經獨居在外面兩年了。 / 他習慣了獨居的生活，感覺非常自在。 / 獨居的時候，她學會了自己做飯和打理家務。 / 雖然獨居有時會感到孤單，但他也享受這段獨處的時間。 / 獨居的環境讓她能夠專心創作，作品的質量因此提升了許多。 / 開始獨居後，他發現自己更加珍惜與朋友相處的時光。 / 獨居讓她有機會反思過去，思考自己的人生目標。 / 儘管獨居的生活有挑戰，但他也從中獲得了許多自主與自由。 / 在這個繁忙的城市中，獨居讓她能夠找到屬於自己的寧靜角落。 / 他每天都花時間閱讀，獨居的生活讓他更深入地探索知識的海洋。 / 獨居讓她與自己對話，這種內心的交流對她的心靈成長非常重要。,va-i/N,獨居生活 / 獨居的老人 / 獨居的方式 / 享受獨居 / 獨居的人 / 開始獨居 / 渴望獨居 / 獨居的環境 / 獨居的選擇 / 適應獨居,"從中, 質量"
4617,,獨具,To possess a unique or distinct quality or characteristic.,獨具是指具備獨特而特別的特質或能力，與眾不同。,這位藝術家的畫作獨具風格，讓人們感受到不同的視覺享受。 / 他的幽默感獨具一格，常常讓身邊的人捧腹大笑。 / 在寫作方面，她獨具的觀點，讓讀者眼前一亮。 / 對於這個問題，他獨具的見解常常引發深入的討論。 / 這家餐廳的菜品獨具風味，吸引了許多食客遠道而來品嚐。 / 這部電影的敘事方式獨具特色，讓觀眾感受到前所未有的視覺驚喜。 / 這位科學家的研究方法獨具創意，對整個領域產生了深遠的影響。 / 他的音樂才華獨具一格，常常創作出動人的旋律。 / 這本書的文筆獨具匠心，讓讀者沉浸在文字的海洋中。 / 這個演講者的表達方式獨具魅力，讓聽眾全程投入。 / 他的領導風格獨具魅力，激勵團隊成員全力以赴追求目標。,vs-t,獨具的特色 / 獨具的風格 / 獨具的魅力 / 獨具的優勢 / 獨具的才華 / 獨具的智慧 / 獨具的能力 / 獨具的創意 / 獨具的貢獻 / 獨具的觀點,"捧腹大笑, 食客, 敘事, 遠道, 匠"
4618,阻塞斷絕。[例]近年強颱日增，澈底整治河川，杜絕水患是當務之急。,杜絕,To eliminate or cut off completely.,阻止某事發生，使其徹底消失。,為了杜絕環境污染，政府制定了一系列嚴格的法規。 / 學校推行垃圾分類的計畫，目的是杜絕浪費資源的情況發生。 / 社區希望透過宣傳，提高居民意識，以杜絕不當行為的發生。 / 為了保障兒童的安全，我們必須杜絕一切潛在的危險。 / 警方加強巡邏，以杜絕街頭犯罪，保障市民的生命財產安全。 / 為了杜絕貪污，政府成立了專門的監察機構來調查和處理相關案件。 / 公共交通系統的升級改造，旨在杜絕擁擠不堪的現象，提高乘客的出行體驗。 / 醫院推行嚴格的衛生措施，以杜絕交叉感染的風險，保障病人的健康。 / 為了杜絕網絡詐騙，資訊局加強了對網絡平台的監管，保護用戶的個人資訊。 / 在企業內部，我們需要建立透明的管理制度，以杜絕腐敗問題的出現。 / 社會各界應共同努力，杜絕種族歧視，促進和諧共處的社會環境。,va-t,杜絕貪污 / 杜絕腐敗 / 杜絕污染 / 杜絕犯罪 / 杜絕流失 / 杜絕風險 / 杜絕暴力 / 杜絕浪費 / 杜絕欺詐 / 杜絕不公,"旨, 警, 監管, 出行, 欺"
4619,特殊的、獨有的門道。[例]這種獨門配方熬的藥，專治各種皮膚病。,獨門,"Unique and exclusive; referring to something that is special or proprietary, often indicating a unique method or approach.",特殊的、獨有的門道。,這家餐廳的獨門醬料，讓每道菜都與眾不同。 / 他在武術上有獨門的練習方法，使他的功夫更加出眾。 / 這位老闆的獨門秘方，讓這家糕點店成為當地的熱門話題。 / 她的獨門設計總是充滿創意，吸引了許多時尚愛好者的目光。 / 這本書介紹了許多獨門的學習技巧，幫助學生更有效率地讀書。 / 他傳授給學生的獨門技巧，讓他們在比賽中脫穎而出。 / 這位廚師的獨門料理方法，讓顧客一次又一次地回來光顧。 / 他的獨門見解，經常引發同行的熱烈討論。 / 這個課程提供獨門的實習機會，讓學員能夠實際應用所學知識。 / 她的獨門育兒經驗，讓許多新手父母感到受益匪淺。 / 這個品牌的獨門配方，使其產品在市場上獨樹一格，深受消費者喜愛。,n,獨門秘訣 / 獨門配方 / 獨門產品 / 獨門技藝 / 獨門措施 / 獨門課程 / 獨門方法 / 獨門經驗 / 獨門設計 / 獨門見解,"獨樹一格, 深受, 獨, 育兒, 受益匪淺, 料, 糕點"
4620,自言自語。[例]他一路上口中唸唸有詞的，不知在嘟囔些什麼？,嘟囔,To mumble or mutter to oneself.,自言自語，通常聲音較小，常帶有不滿或思考的情緒。,她一邊走路一邊嘟囔著，不知道在抱怨什麼。 / 他在房間裡嘟囔著，似乎對這件事情感到非常不滿。 / 這個學生常常嘟囔著，讓老師無法專注於講課。 / 即使他嘟囔的不清楚，大家也都能感受到他的失望情緒。 / 在等待的過程中，她開始嘟囔著自己的計劃，似乎想讓自己冷靜下來。 / 他嘟囔的聲音讓周圍的人感到困惑，不知道他在想什麼。 / 她坐在咖啡廳裡，不斷嘟囔著自己的煩惱，彷彿在與自己對話。 / 在回家的路上，他悄悄嘟囔著，試圖釐清自己的思緒。 / 朋友們聚會時，總有一兩個人嘟囔著，分享他們的奇妙經歷。 / 當他看到不公平的事情時，忍不住小聲嘟囔著，表達自己的憤怒。 / 她的嘟囔聲中似乎帶著些許懷念，讓人想起過去的美好時光。,va-i,嘟囔著話 / 嘟囔不清 / 嘟囔自語 / 嘟囔聲音 / 嘟囔不止 / 嘟囔的聲音 / 嘟囔的話語 / 嘟囔著想法 / 嘟囔的情緒 / 嘟囔不停,"帶有, 忍不住, 自語"
