number,old_definition,word,definition,translation,example_sentences,part_of_speech,collocations,problematic_words
2610,隆重、規模宏大。[例]電影公司為得獎者舉行了盛大的慶功宴。,盛大,隆重而且規模大,"Grand, grandiose; characterized by grandeur and extravagance.",新年的跨年晚會吸引了數萬名觀眾，場面十分盛大。 / 這座寺廟的開光儀式十分盛大，吸引了不少信徒來參加。 / 為了慶祝公司的十周年紀念，舉辦了一場盛大的晚宴，邀請了眾多合作夥伴和客戶。 / 這場音樂節的陣容非常盛大，世界各地的知名藝術家齊聚一堂，讓人期待。 / 在博物館的新展覽開幕式上，主辦方準備了一場盛大的活動，讓人印象深刻。 / 為了感謝那些優秀的員工，公司特地舉辦了一場盛大的頒獎典禮，讓獲獎者感受到無比的榮耀。,vs-adj,十分盛大 / 盛大的活動 / 場面盛大 / 盛大開幕 / 盛大的遊行 / 盛大慶祝,"獲獎, 開光, 齊聚"
2611,勝敗、輸贏。[例]他們兩人實力相當，比賽不到終了，實在難分勝負。,勝負,勝敗的結果，指兩方或多方在比賽或競爭中誰贏誰輸。,"Victory and defeat; the outcome of a competition or contest, indicating who has won and who has lost.",在遊戲中，勝負的關鍵在於玩家的策略和反應速度。 / 即使在壓力之下，他們也能冷靜分析，幫助團隊當下分出勝負。 / 運動員們專心比賽，心裡只有一個想法：努力去拼，不管勝負。 / 在這次棋賽中，雙方的走法都很精彩，讓人難以猜測最終的勝負。 / 隊伍在訓練中反覆演練，力求在比賽中掌握勝負的每一個細節。 / 對於這些職業選手來說，勝負雖然重要，但更珍貴的是比賽中建立的友誼。,n,難分勝負 / 勝負已定 / 分出勝負 / 勝負關鍵 / 勝負未知 / 比賽勝負,"走法, 勝, 棋賽, 敗"
2612,提高、提升。[例]連日來的大雨使水庫的水位升高，解除了旱象。,升高,提高、提升或增加某種程度或數量。,To raise or elevate; to increase in level or degree.,最近氣候變化使全球的海平面升高，這是個環境警訊。 / 隨著經濟的發展，城市的房價也不斷升高，讓年輕人買房越來越困難。 / 在這次會議上，專家們強調了氣溫升高對生態系統的影響。 / 隨著科技的進步，醫療成本升高成為許多家庭的一大負擔。 / 由於新政策的實施，稅收收入比例升高將有助於改善公共設施。 / 由於環境污染問題的加劇，市民對於空氣品質的關注也逐漸升高。,vp-i,水位升高 / 溫度升高 / 比例升高 / 成本升高 / 風險升高 / 需求升高,"有助, 水位, 海平, 加劇, 買房"
2613,職位提高。[例]他平日盡忠職守又勤政愛民，因此不斷的有升官的機會。,升官,職位提高，通常指在工作中獲得更高的職位或官位。,To be promoted to a higher position.,她在公司工作多年，終於有機會升官，讓同事們都感到高興。 / 他最近因為業績突出而受到管理層的重視，有很大的可能性升官。 / 升官的機會並不容易得到，需要不斷提升自己的能力和表現。 / 升官之後，他的職責增加了，但工作壓力也隨之加大。 / 他聽說公司即將進行人事調整，很多人都期待自己能夠升官。 / 升官的消息傳出後，團隊成員們紛紛向她表示祝賀，分享這份喜悅。,vp-i,升官的機會 / 升官的希望 / 升官的可能性 / 升官的條件 / 努力升官 / 升官與升遷,"加大, 隨"
2614,,勝過,超過某種標準或比較的對象，表現得更好。,To surpass or exceed.,我知道這次比賽的對手很厲害，但我一定能夠勝過他。 / 經歷過許多挑戰，我終於勝過了心中的恐懼。 / 為了實現夢想，他努力工作，渴望能夠勝過一切障礙。 / 對我來說，與朋友的友情勝過了所有的物質享受。 / 每次比賽，他總是設定更高的目標，期望這次能夠勝過自己。 / 在生活中，勇氣往往能夠勝過一切懷疑和不安。,va-t,勝過自己 / 勝過一切 / 勝過對手 / 勝過別人 / 勝過想像 / 勝過障礙,安
2615,謀生的方法。[例]他所任職的公司倒閉後，他只好另謀生計。,生計,謀生的方法。,A means of making a living; the method or approach by which one earns income.,這位老農夫一生都在耕作，以此維持家庭的生計。 / 父親去世後，那個可憐的孩子從此只能自己想辦法維持生計。 / 失去工作的他，開始考慮換行，想要找到新的生計方式。 / 可敬的開拓者和冒險者們在不易的土地和艱難的海洋上努力生計。 / 她用自己的手藝製作工藝品，努力將這個愛好變成一種生計手段。 / 失去原有的生計後，他選擇了在網上開店，以期望能夠重建自己的經濟生活。,n,苦無生計 / 提供生計 / 追求生計 / 謀生計 / 找到生計 / 生計手段,"謀, 換行, 可敬"
2615,生活上的種種開支用度等事物。泛指生活。[例]他因為家貧，求學期間必須半工半讀以維持生計。,生計,生活上所需的各種開支和用度，通常指保持基本生活所需的費用。,Living expenses and various financial outlays necessary for daily life.,他為了維持生計，每天都要工作十二個小時。 / 在城市裡，許多人靠打工來解決生計問題。 / 如果沒有穩定的收入來源，她很難應付日常的生計開支。 / 這位藝術家靠售賣畫作來維持生計，但市場競爭激烈讓他感到壓力巨大。 / 為了家庭的生計，他不得不從事幾份工作，幾乎沒有時間休息。 / 在偏遠的鄉村裡，許多人依靠農業維持生計，卻面臨著氣候變化帶來的困擾。,n,生計來源 / 生計問題 / 維持生計 / 艱難的生計 / 改善生計 / 穩定的生計,農
2616,生理機能、生命力。[例]嚴冬過後，大地又恢復了生機。,生機,生命的活動力和活力。,Vitality; refers to the physiological functions and life force within an organism.,當我們看到春天來臨，百花齊放時，心中都感受到一種生機與希望。 / 小朋友們的笑聲讓這個老舊的公園重新充滿了生機。 / 經過人們的精心護理，這個瀕臨滅絕的物種終於重獲生機。 / 在志願者的努力下，這座傾斜的老房子也恢復了生機，成為社區的活動中心。 / 這部電影的成功上映，讓過去冷淡的影視市場重新帶來了生機和活力。 / 節日的市集，熱鬧非凡，充滿著生機勃勃的喜悅氛圍。,n,一絲生機 / 恢復生機 / 充滿生機 / 重獲生機 / 生機勃勃 / 尋找生機,"生機勃勃, 影視, 護理, 百花齊, 市集"
2617,基督教的經典。分《舊約》、《新約》兩部。《舊約》主要記載基督降生以前的以色列歷史，《新約》則敘述耶穌在世期間的言行及作為。各國譯本多達千餘種。[例]西方人在法庭上作證，常手按《聖經》發誓，以表誠信。　△拜樸經,聖經,基督教的經典，分為《舊約》和《新約》兩部分。《舊約》主要記載基督降生前的以色列歷史，《新約》則描述耶穌在世期間的言行和作為。各國的譯本多達千餘種。,"The Bible; A Christian classic, divided into the Old Testament and the New Testament. The Old Testament primarily records the history of Israel before the birth of Christ, while the New Testament describes the words and deeds of Jesus during his time on earth. There are over a thousand translations in various languages.",對基督徒來說，聖經不僅是一部書，還是指引生活的重要指南。 / 聖經的教導讓我明白了很多人生的道理，讓我學會了寬恕與愛。 / 平時，我會和朋友一起討論聖經的內容，這樣我們可以互相學習，增進信仰。 / 聖經中的人物都有各自獨特的故事，讓我對人性的探索更加深刻。 / 許多基督徒會在重要的時刻翻閱聖經，尋找安慰和指引。 / 聖經的詩篇常常激勵我，在面對困難時不放棄希望。,n,一本聖經 / 聖經的內容 / 聖經的教導 / 聖經故事 / 聖經的真理 / 聖經中的人物,"》, 降, 耶穌, 分為, 基督徒, 《, 千餘, 多達, 以色列, 基督"
2618,花朵開得茂盛。[例]院子裡的桂花盛開，香氣撲鼻。,盛開,花朵開得特別旺盛。,In full bloom; Flowers are flourishing and opening abundantly.,春天來的時候，山坡上許多漂亮的野花盛開。 / 總是在清晨，庭院中的紫藤花盛開，散發出淡淡的香氣。 / 秋天到來時，公園裡的菊花盛開，吸引了許多遊客前來欣賞。 / 在田野裡，野薑花盛開，散發出香味，讓人感受到自然的純淨。 / 農田裡的向日葵盛開，面對著太陽，看起來非常美麗。 / 小花園裡的繁花盛開，蝴蝶在空中飛舞，讓人感到快樂。,vp-i,鮮花盛開 / 花朵盛開 / 盛開的花 / 美麗盛開 / 花朵盛開 / 繁花盛開,"藤, 野薑, 野花, 農田, 菊花, 遊客, 繁, 繁花盛, 向日葵"
2619,公開宣布以昭告大眾。[例]他們聯合發表宣言，聲明政治立場。,聲明,公開宣布某種立場或意見，以告訴大家。,"To publicly declare or announce, often to state a position or intention.",有關這次事件的處理，公司的聲明內容十分清楚，表達了對消費者的歉意。 / 在社交媒體上，他發了一篇聲明，澄清了關於他與公司的傳聞。 / 學校對於最近的校內衝突發出聲明，呼籲學生們保持冷靜。 / 體育協會的聲明中指出，所有參賽選手必須遵守新規定。 / 知名學者發表聲明，指出該研究結果可能對未來的科學發展有重大影響。 / 聲明中提到，該項目將在下個季度正式啟動，期待與大家的合作。,n,發表聲明 / 聯合聲明 / 一篇聲明 / 聲明的內容 / 發表聲明 / 公開聲明,"參賽, 校"
2620,親生的母親。相對於養母、繼母而言。[例]他在襁褓時就過繼給別人扶養，所以對生母沒有一點印象。,生母,親生的母親。相對於養母和繼母。,"A biological mother; The natural mother of a person, in contrast to an adoptive mother or stepmother.",在故事中，主角的生母為了保護他，選擇了隱姓埋名的生活。 / 他的生母早逝，只留下了一本滿是回憶的日記，讓他時常懷念。 / 他在襁褓時就過繼給別人扶養，所以對生母沒有一點印象。 / 在一次偶然的機會下，他得知了生母的下落，激動得難以入眠。 / 在寫給生母的信中，他傾訴了自己的心情，希望能再次見到她。 / 生母的愛就像一個明亮的光，指引著他在困難的時候勇敢前行。,n,生母的愛 / 生母的情感 / 生母的照顧 / 生母的角色 / 尋找生母 / 生母早逝,"母, 襁, 褓, 入眠, 扶養, 早逝, 隱姓埋名"
2621,有生以來，從出生到現在。[例]這是他生平第一次坐雲霄飛車，所以顯得格外興奮。,生平,有生以來，從出生到現在。,Having lived; From birth to the present; Referring to one's entire life experience.,這次旅遊是她生平第一次到這麼遠的地方，因此充滿了期待和興奮。 / 他在職業生涯中，生平遇到的每一位導師都對他的成長產生了深刻的影響。 / 這是她生平第一次參加馬拉松比賽，因此特別用心準備訓練。 / 昨晚的頒獎典禮對他來說是生平最激動的時刻，因為終於實現了多年的夢想。 / 她生平最難忘的經歷是在海外志願服務，這段時間讓她重新認識了自己。 / 他在會議上分享了生平最大的成就，讓與會者對他的努力及毅力表示敬佩。,n,生平成就 / 生平故事 / 生平回顧 / 生平難忘 / 生平第一次 / 生平感悟,"感悟, 昨晚, 馬拉松"
2621,一生，指人一生所有的過程及經驗。[例]這本紀念集在前言部分簡略的介紹了他的生平。,生平,一生的過程和經驗。,A person's life history; the entire course and experiences of one's life.,這部傳記詳述了他的生平事跡和事業成就。 / 每次訪問歷史博物館，都能讓我更深入了解這位偉人的生平。 / 在歷史課上，老師帶領我們探索了這位政治家的生平及其影響。 / 這部紀錄片生動地呈現了科學家的一生，讓觀眾了解他的生平與研究。 / 這份報告詳盡地整理了這位音樂家的生平故事和音樂成就。 / 在學校圖書館，我找到了一本關於這位歷史人物生平的書，非常精彩。,n,生平簡介 / 了解生平 / 詳述生平 / 生平事跡 / 生平回顧 / 生平故事,"詳述, 事跡"
2622,死者還活著的時候。[例]他生前為人正直，且樂善好施，所以到現在大家仍然很懷念他。,生前,死者還活著的時候。,The time when a person was alive; refers to the period before one's death.,他生前總是關心別人的生活，努力幫助需要幫助的人。 / 他生前為人正直，且樂善好施，所以到現在大家仍然很懷念他。 / 他生前常常參加志願服務，讓許多人都受到他的鼓舞。 / 他生前擁有眾多朋友，大家都懷念他帶來的歡樂與支持。 / 在回憶錄中，許多人提到他生前的無私奉獻，讓人敬佩不已。 / 他生前的音樂讓無數人感受到力量，至今仍被廣泛傳唱。,n,生前的事蹟 / 他生前 / 生前的貢獻 / 生前的經歷 / 生前的朋友 / 生前的影響,"施, 樂, 至今, 善"
2623,官職或工作職位的提升與調動。[例]一家公司的福利及升遷制度，是求職者極重視的問題。,升遷,官職或工作職位的提升與調動。,Promotion or elevation in official position or job rank.,如果她的工作表現繼續優秀，明年就有可能得到升遷的機會。 / 公司最近公布了新的升遷制度，使所有員工都有更清楚的發展方向。 / 他的努力付出終於得到了認可，順利升遷為部門經理。 / 在升遷面試中，她展示了卓越的領導能力和解決問題的技巧。 / 升遷機會的公平性，讓員工更有動力提升自己的專業技能。 / 為了獲得更好的升遷條件，許多人選擇進一步進修和學習新技能。,n,升遷制度 / 升遷機會 / 升遷機會 / 升遷條件 / 升遷資格 / 順利升遷,"新技, 調動"
2624,稱智慧卓越、品德高超、人格完美的人。[例]儒家的學者認為每一個人都可達到聖人的境界。,聖人,智慧卓越、品德高超、人格完美的人。,"A sage; a person of outstanding wisdom, virtue, and moral integrity.",聖人的教誨可以指引我們在困難時刻找到正確的方向。 / 每個人都應該努力學習聖人的品德，以培養自己的道德修養。 / 我們在面對挑戰時，可以參考聖人的智慧，學習他們如何處理困難。 / 她的行為像聖人一樣，總是能夠寬容待人，讓周圍的人都感到安慰。 / 學習聖人留下的經典著作，能幫助我們深入理解人性的真善美。 / 在傳統文化中，聖人被視為道德榜樣，激勵人們追求更高的理想。,n,聖人的智慧 / 聖人的品德 / 聖人之道 / 聖人的教誨 / 聖人的影響 / 聖人的精神,善
2625,能力足以擔當。[例]他的能力很強，足以勝任這項職務。,勝任,能力足以擔當某項工作或任務。,To be capable or qualified for a task or position.,經過嚴格的訓練，他已經完全勝任這項工作。 / 他擁有豐富的經驗，能勝任任何需要決策的職位。 / 她的專業知識使她足以勝任這個重要的角色。 / 經過多年的學習和實踐，他已經勝任更高的職務。 / 這位新同事雖然剛入職，但憑藉其過往的經歷，足以勝任各種工作。 / 透過不斷的努力和提升，她相信自己能夠勝任這項挑戰。,va-i,勝任這項工作 / 勝任這個職位 / 難以勝任 / 足以勝任 / 無法勝任 / 勝任各種工作,入職
2626,聲威與氣勢。[例]虛張聲勢,聲勢,聲威与氣勢的结合，通常指一种强大的外在表现或影响力。,"Momentum and influence; the power and force behind one's presence or actions, often implying an intimidating or impressive nature.",遊行的車隊聲勢很強，吸引了很多人圍觀。 / 在賽季結束時，球迷們聚集在體育館外，以磅礡的聲勢表達對球隊的支持。 / 在音樂會上，樂隊以有力的節奏和響亮的音色，營造出一種震撼人心的聲勢。 / 當晚的煙火表演，配合著響亮的音樂，聲勢非常壯觀，讓所有觀眾都感到驚喜。 / 這部電影的開場場景，配合著壯麗的音樂，創造出一種震撼人心的磅礡聲勢。 / 在選舉期間，候選人的每一次公開演講都吸引了大量支持者，聲勢驚人。,n,聲勢驚人 / 壯大聲勢 / 磅礡聲勢 / 聲勢磅礴 / 聲勢不凡 / 聲勢恢宏,"恢宏, 磅礡, 现, 壯麗, 强, 當晚, 礴, 音, 影响, 结, 种, 車隊, 聲威, 与"
2627,生存或死亡。《文選．任昉．出郡傳舍哭范僕射詩》：「結懽三十載，生死一交情。」《儒林外史》第三四回：「治晚勿幸大病，生死難保，這事斷不能了。」,生死,生存與死亡的狀態。,Life and death; the states of existence and non-existence.,在戰爭的前線，士兵們時時刻刻面臨著生死關頭的考驗。 / 即使在21世紀的今天，伊斯蘭文化中的貞操問題仍然是生死的重要問題。 / 有些人對於人生的意義，總是在生死之間尋找答案。 / 在生死關頭，他們必須做出困難的決定。 / 她在日記中寫下了對於生死的深刻想法，讓我明白了她心中的掙扎與期望。 / 每當面對生死的抉擇時，他總是能保持冷靜，作出理智的決定。,n,生死關頭 / 生死問題 / 生死有命 / 面對生死 / 生死有命 / 生死之交,"時時刻刻, 命, 伊斯蘭, 21, 貞操"
2628,繩子。[例]碼頭上那些粗大的繩索是用來繫船的船纜。,繩索,繩子的一種，通常由纖維或金屬製成，粗而結實，主要用來綁或拉物品。,A thick rope or cable; Used for mooring or securing vessels at a dock.,在水上活動時，我們用繩索把兩艘小船綁在一起，免得彼此分開。 / 在使用繩索綑紮時，要讓其密實緊固，以防出現鬆脫的情況。 / 那根繩索的材質非常堅固，足以承受重達千公斤的物品。 / 在攀岩時，教練指導我們正確地使用繩索，以確保行動的安全。 / 這條繩索應該足夠承受上百公斤的重量，不會斷裂。 / 在攀爬過程中使用繩索的時候，大家都很緊張，害怕會出現繩索斷裂問題。,n,繩索的用途 / 使用繩索 / 固定繩索 / 繩索製作 / 結實的繩索 / 繩索斷裂,"固, 實, 綑, 紮, 攀岩, 攀爬, 重達"
2629,聲譽、名望。[例]他年高德劭，在地方上很有聲望。,聲望,指一個人或團體在社會上所獲得的良好評價和崇高地位。,Reputation or prestige; recognized standing in society due to one's achievements or character.,他在業界多年，積累了相當的聲望。 / 經過幾年的努力，這家企業終於在市場上建立了良好的聲望。 / 這位科學家的研究成果卓越，聲望在國際間迅速提升。 / 這位名廚因為獨特的料理風格而享有很高的聲望。 / 他所獲得的聲望不僅來自於專業能力，還取決於與他人的良好關係。 / 在學術界，發表高質量的研究論文是提升聲望的重要途徑。,n,獲得聲望 / 提升聲望 / 建立聲望 / 享有聲望 / 很有聲望 / 良好的聲望,"積累, 質量, 名廚"
2630,發生效力。[例]這項公告內容於公布三天後即開始生效。,生效,發生效力的狀態或行為，通常指法律或規定等開始起作用。,To become effective or take effect.,新的環保法規定在發布後的三十天內生效，企業必須在此期間內做好準備。 / 根據國際協議，這項貿易條例將於明年一月一日正式生效。 / 這份新的勞動合同將於雙方簽字後即刻生效，保障員工的權益。 / 根據最新的法律，這項反壟斷措施將在公布後的兩週內生效，促進市場競爭。 / 這份保險合同是在您支付首次保費後才會正式生效。 / 法律生效後，所有未遵守規定的企業將面臨嚴厲的罰款。,vp-i,法律生效 / 合同生效 / 規定生效 / 正式生效 / 開始生效 / 即刻生效,"效, 起作用, 保, 法"
2631,廣泛流行。[例]近年來盛行少油、薄鹽與減糖的飲食觀念。,盛行,廣泛流行，很多人都在使用或接受。,Prevalent or widespread.,最近，環保意識的提高使得使用公共交通工具的習慣更加盛行。 / 隨著社交媒體的普及，短視頻的分享在年輕人之間變得十分盛行。 / 整理空間和極簡生活的理念在當代社會中越來越盛行。 / 在現代社會中，數位遊戲的盛行改變了人們的娛樂方式。 / 隨著科技的發展，遠距工作的模式在職場中變得越來越盛行。 / 近期，手作工藝品的熱潮讓DIY文化在年輕人中盛行。,vs-i,盛行的文化現象 / 盛行的風潮 / 十分盛行 / 盛行率 / 盛行的風俗 / 盛行的觀念,"作, 遠距, 頻, 近期, 簡, 短視, DIY"
2632,原指人的生命有止境。今用以指所過的生活或所經歷的人生。語本《莊子．養生主》。[例]他對自己的生涯已經做了妥善的規劃，現在正一步步的朝目標與理想邁進。,生涯,原本指人的生命有限，現在用來指所過的生活或所經歷的人生。,A person's life or career; originally refers to the idea that life is finite.,作為一名教師，她希望能在自己的職業生涯中啟發更多的學生。 / 每個人在踏入職場前，都應該好好評估自己的生涯規劃。 / 動畫師通常會在職業生涯中積累大量的作品，這對於他們未來的發展非常重要。 / 在她的生涯發展中，曾遇到許多挑戰，但這些都讓她變得更加堅強和成熟。 / 不論是在學校還是職場，持續學習對於一個人的生涯發展都是至關重要的。 / 他對生涯的每一個選擇都非常謹慎，力求能讓自己的人生更加充實。,n,政治生涯 / 音樂生涯 / 電影生涯 / 生涯發展 / 生涯規劃 / 職業生涯,"踏入, 積累, 師"
2633,生孩子。[例]因為妻子無法生育，所以他們決定領養一個孩子。,生育,生孩子的過程。,To give birth; to conceive.,因為生育率下降，政府開始推行新的生育政策，鼓勵年輕夫妻生孩子。 / 在某些地區，由於經濟壓力，許多年輕人不願意承擔生育的責任。 / 高科技醫療手段的發展，讓不少面臨生育困難的夫妻重新看到了希望。 / 為了提升國家的生育率，許多企業開始提供生育福利，提高員工的生育意願。 / 政府實施了新的生育補助政策，以促進國內生育率的提升。 / 專家建議，改善家庭與工作的平衡，有助於提高生育率。,va-i,生育能力 / 生育政策 / 生育年齡 / 生育率 / 生育問題 / 生育計畫,有助
2634,聲望、名譽。[例]他因促成兩國和平談判而聲譽卓著。,聲譽,個人或團體在社會上獲得的好評和信任，通常與其行為、成就有關。,Reputation; The esteem or respect accumulated by a person or entity based on their actions and character.,這家公司的聲譽良好，員工們都願意為他們工作。 / 在近幾年的消費者調查中，這間店的聲譽一直保持在行業前列。 / 由於最近的負面報導，團隊的聲譽受到了一定程度的影響。 / 擁有良好的聲譽不僅對個人重要，對整個團隊的合作也有正面的影響。 / 這位作家的聲譽很好，作品常常得獎，受到大家的喜愛。 / 企業聲譽必定直接影響到客戶的信任度，良好的聲譽能帶來更多的業務機會。,n,聲譽良好 / 聲譽不佳 / 聲譽受損 / 維護聲譽 / 聲譽良好 / 企業聲譽,得
