word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
愛滋病,3754,由愛滋病毒所引起的疾病，一般經由血液或性行為傳染，能破壞人類的免疫系統，使人體失去抵抗疾病的能力。§英AIDS　△後天免疫缺乏症候群,"AIDS; A disease caused by the human immunodeficiency virus (HIV), typically transmitted through blood or sexual contact, that destroys the immune system and impairs the body's ability to resist infections and diseases.",由愛滋病毒引起的疾病，通常通過血液或性行為傳染，能夠破壞人體的免疫系統，使人失去抵抗疾病的能力。,許多社會團體舉辦講座，提高年輕人對愛滋病的認識與防治意識。 / 透過定期的愛滋病檢測，能夠及早發現問題並進行適當的治療。 / 愛滋病患者在社會上常常面臨歧視，造成他們的心理壓力很大。 / 政府應該加強對愛滋病的公共健康宣導，讓更多人了解這個疾病的傳播途徑。 / 了解愛滋病的傳染途徑，能幫助社會減少對患者的歧視。 / 對愛滋病的認識不僅限於醫療領域，還需要文化和教育的結合來消除偏見。,n,愛滋病病毒 / 愛滋病患者 / 愛滋病檢測 / 愛滋病治療 / 預防愛滋病 / 對抗愛滋病,àizī bìng,ㄞˋ ㄗ ㄅㄧㄥˋ,
諳,3755,熟悉、知曉。[例]他不諳水性，無法享受戲水的樂趣。,To be familiar with or knowledgeable about something.,熟悉某事或某種技能，能夠運用自如。,她雖然不諳這項運動的技巧，但還是努力嘗試，希望能夠學會。 / 如果你不諳這個行業的規則，就很容易犯錯。 / 他不諳音樂理論，卻依然能創作出動人的旋律。 / 不諳科技的人，可能對新的設備感到不知所措。 / 在這個快速變化的世界裡，不諳新趨勢的人可能會被淘汰。 / 即使不諳外語，她也勇敢地和世界各地的人交流。,vs-t,不諳規則 / 不諳理論 / 不諳技巧 / 不諳生活 / 不諳情勢 / 不諳技能,ān,ㄢ,
按兵不動,3756,暫時停住軍事行動，有觀望形勢的意思。今亦指負有任務卻不採取行動。[例]目前情勢未明，我們最好按兵不動，以免遭受損失。,"To temporarily halt military action, indicating a position of observation; also refers to holding a position with a task but not taking action.",暫時停止軍事行動，觀望形勢。現在也指負有任務卻不採取行動。,目前情況不明朗，我們決定暫時按兵不動，觀察事態發展。 / 雖然有對手在積極行動，但我們還是選擇按兵不動，評估風險。 / 近期市場波動，我的投資策略是按兵不動，避免不必要的損失。 / 按兵不動的策略讓我們在風險較高的時候保持了資源的安全。 / 儘管有機會出手，但當前的局勢下我們更傾向於按兵不動，以降低風險。 / 在這場競爭中，按兵不動的決策使我們為未來的行動留下了更多的選擇空間。,idiom,按兵不動的策略 / 按兵不動的時機 / 按兵不動的態度 / 暫時按兵不動 / 需要按兵不動 / 按兵不動保持觀望,àn bīng bù dòng,ㄢˋ ㄅㄧㄥ ㄅㄨˋ ㄉㄨㄥˋ,
按部就班,3757,原指作文章時，依照文義，安排章節，並將確切的詞句放在適當的位置。後指做事依照一定的層次、條理。語本《文選．陸機．文賦》。[例]這部機器只要照著指示，按部就班操作就可以了。,A systematic and orderly approach to doing things in a structured manner.,原本指寫文章時，按照文義安排章節，將合適的詞句放在適當位置。現在指做事情時，依照一定的層次和條理進行。,學習新課程的時候，按部就班地掌握基礎知識非常重要。 / 這部機器的手冊指示我們如何按部就班地進行操作，以確保安全。 / 在進行科學實驗時，研究人員必須按部就班，這樣才能得到準確的結果。 / 我們制定了按部就班的計畫，以確保每個階段的工作都能順利完成。 / 在學習語言的過程中，按部就班地練習聽說讀寫是提高水平的關鍵。 / 在做飯時，按照食譜按部就班地準備食材，可以做出美味的菜餚。,idiom,按部就班地進行 / 按部就班的步驟 / 按部就班地工作 / 按部就班地訓練 / 按部就班地發展 / 按部就班地執行,àn bù jiù bān,ㄢˋ ㄅㄨˋ ㄐㄧㄡˋ ㄅㄢ,
暗藏,3758,暗中隱藏。[例]暗藏禍心,To harbor ill intentions or hidden malice.,在暗中隱藏，不易察覺。,他跟你說的每一句話，背後可能都暗藏了他真正的目的。 / 這篇文章表面上在談論環保，卻暗藏了一些政治動機。 / 雖然他表面上很友善，但我總感覺他對我暗藏敵意。 / 她的話語中雖然充滿鼓勵，但我能感受到暗藏的失望與不安。 / 這本小說的情節曲折，許多角色之間都有暗藏的秘密。 / 在這段對話中，他的每個微笑似乎都暗藏著不為人知的故事與回憶。,vp-t,暗藏危機 / 暗藏秘密 / 暗藏敵意 / 暗藏風險 / 暗藏真相 / 暗藏陷阱,àncáng,ㄢˋㄘㄤˊ,
安插,3759,安置、安排。[例]他失業多時，不得已只好請朋友代為安插臨時職務。,To arrange or assign something in an appropriate position.,安置或安排某個人或物，使其處於特定位置或狀態。,她在父母的支持下，成功安插進一家知名的廣告公司，展開她的職業生涯。 / 為了提高工作效率，經理決定在團隊中安插一位專門負責數據分析的新員工。 / 他在社區活動中安插遊戲，遊戲有趣又輕鬆，讓大家更願意參加。 / 在這次會議上，主持人安插了一段互動環節，讓參與者能夠分享自己的看法。 / 他在自己的小說中安插了許多真實的歷史事件，讓故事更加引人入勝。 / 「在這個社會服務計畫中，我們希望能安插志工到各個需求急迫的機構，幫助更多人，並制定後續的安插方案以確保志工的有效運用。」,va-t,安插工作 / 安插人員 / 安插任務 / 安插遊戲 / 安插職位 / 安插時間,ānchā,ㄢ ㄔㄚ,
暗地,3760,偷偷的、私下。[例]他的自尊心很強，不肯接受幫助，我只好暗地裡接濟他。,Covertly; secretly or privately.,偷偷地、私下進行，不讓別人知道。,他總是暗地裡關心朋友的感受，卻不願意當面表達。 / 在公司裡，她經常暗地裡幫助同事，提升了團隊的凝聚力。 / 他明白這個計畫的重要性，所以暗地裡做了很多準備，卻不想讓上司知道。 / 為了保護孩子的隱私，老師常常暗地裡關注他們的心理變化。 / 他在比賽前暗地裡進行了很多訓練，最終取得了優異的成績。 / 我知道他心裡很感激那些暗地裡支持他的人，卻始終沒有適當的機會表達。,adv,暗地觀察 / 暗地裡計畫 / 暗地裡幫助 / 暗地保護 / 暗地支持 / 暗地裡進行,àn dì,ㄢˋ ㄉㄧˋ,
安放,3761,放置。《儒林外史》第二二回：「道士出來接著，安放行李，當晚睡下。」《紅樓夢》第六二回：「將這菱蕙安放好，又將些落花來掩了，方撮土掩埋平服。」,To place or set in position.,將物品放置在某個地方，通常是有目的或有序地安排好。,她小心翼翼地把花瓶安放在窗邊，讓陽光能夠照耀到。 / 在旅行的時候，我總是會把行李安放好，以免物品損壞。 / 在辦公室裡，他將每個文件安放在指定的位置，以方便日後查閱。 / 當她收到禮物時，會先安放好，然後再細細欣賞每一件心意。 / 在藝術展覽中，策展人小心翼翼地安放每一幅畫作，讓觀眾能夠欣賞到最佳的視覺效果。 / 這些珍貴的紀念品需要妥善安放位置，以避免在日常生活中損壞。,va-t,小心安放 / 安放物品 / 安放位置 / 妥善安放 / 安放回 / 安放好,ānfàng,ㄢ ㄈㄤˋ,
安分,3762,安守本分。《紅樓夢》第六四回：「噯，那一個是安分的，每日不是打架，就拌嘴。」《老殘遊記》第七回：「若是深知這人一定安分的，他就教他幾手拳棒，也十分慎重的。」也作「安分守己」。,To be content with one's duties and behave in a disciplined manner.,安守本分，不做超出自己能力或職責的事。,他為人安分老實，不喜歡攪擾別人的生活。 / 即使面對誘惑，這位安分的人仍然選擇堅守自己的原則。 / 在公司裡，安分工作的員工往往能得到長期的信任和重用。 / 她安分地過每一天，享受簡單而平靜的生活。 / 他總是安分地履行自己的職責，從不抱怨。 / 安分的心態讓我能夠更好地面對生活中的挑戰。,idiom,安分地生活 / 安分的心態 / 安分的工作 / 安分的性格 / 安分的人 / 安分地做事,ānfèn,ㄢ ㄈㄣˋ,
暗號,3763,祕密的口令或記號。[例]初次見面，他們約定暗號，以便能認出對方。,A secret code or signal; a predetermined phrase or gesture used to identify or recognize one another.,秘密的口令或記號，用來辨認對方。,偷偷溜進派對時，她用手勢傳遞暗號，讓朋友們知道她的到來。 / 他們在群組聊天中使用暗號，讓外人無法理解他們的對話內容。 / 這些童年玩伴常常用特定詞彙作為暗號，互相辨認。 / 他們制定了一套複雜的暗號系統，以便在嘈雜的環境中有效溝通。 / 每次遊戲開始前，玩家們都會先確認各自的暗號，以防止對手識破計劃。 / 為了保護機密資訊，他們在電子郵件中嵌入暗號，使未授權的人無法解讀。,n,使用暗號 / 掌握暗號 / 傳遞暗號 / 制定暗號 / 秘密暗號 / 隱藏的暗號,àn hào,ㄢˋ ㄏㄠˋ,
按鍵,3764,琴、打字機或其他機器上設定功能、可以按動的部分。[例]壓下那個紅色按鍵，飲水機就開始自動煮水。,"A button; A part on a piano, typewriter, or other machine that is pressed to set a function.",琴、打字機或其他機器上可設定功能的部分，按下後會產生作用。,我在手機上按下那個特殊按鍵，就可以立即拍照。 / 我常常按錯電腦的快捷按鍵，導致程式關閉得很快。 / 在新的汽車上，有一個專門的按鍵可以快速調整座椅的高度。 / 鬧鐘上的按鍵很小，因此我有時候會按錯而睡過頭。 / 這部相機的設定按鍵讓專業攝影師能夠快速調整拍攝模式。 / 無法找到冰箱的冷藏功能按鍵，讓我有點不知所措。,n,功能按鍵 / 專門的按鍵 / 特殊按鍵 / 按鍵操作 / 輸入按鍵 / 自動按鍵 / 按下按鍵,ànjiàn,ㄢˋㄐㄧㄢˋ,"冷藏, 快捷, 座椅, 睡"
安居樂業,3765,人民生活安定和樂，且都有自己喜好的工作。語本《漢書．卷九十一．貨殖傳．序》。[例]在戰火的蹂躪之下，人民絕對無法安居樂業。,"A state where people live in peace and stability, and enjoy their preferred work; This phrase emphasizes the contentment and security in both livelihood and employment.",人民生活安定快樂，並且都有自己喜歡的工作。,在這個和平的時代，人民終於可以安居樂業，不再擔心戰爭帶來的困擾。 / 這個小鎮的產業發展迅速，使得當地居民能夠實現安居樂業的理想，過上更好的生活。 / 為了促進經濟發展，政府鼓勵投資，創造更多的就業機會，讓人們享受安居樂業的生活。 / 社區舉辦的文化活動，不僅增進了鄰里之間的感情，還讓大家在樂趣中感受到安居樂業的幸福。 / 在這片美麗的土地上，隨著環保意識的提升，越來越多的人選擇在此安居樂業，守護我們共同的家園。 / 教育資源的公平分配，讓每個孩子都有機會接受良好教育，未來能夠實現安居樂業的夢想。,idiom,安居樂業的生活 / 安居樂業的生活 / 安居樂業的理想 / 安居樂業的環境 / 安居樂業的夢想 / 安居樂業的幸福,ānjūlèyè,ㄢ ㄐㄩ ㄌㄜˋ ㄧㄝˋ,鄰里
安樂,3766,平安喜樂。[例]他今生最大的願望，就是能令全家生活安樂。,Peaceful and joyful; characterized by safety and happiness in life.,生活平安而且快樂。,他的願望是讓家人都能過上安樂的生活。 / 每當家庭聚會時，大家都會分享彼此的生活，享受安樂的時光。 / 在這個快速變化的世界裡，許多人仍然追求安樂與平靜的心境。 / 每年慈善活動中，大家都心懷善念，努力讓更多人過上安樂的日子。 / 對許多夫妻來說，建立一個安樂的家庭環境是他們最大的心願。 / 除夕夜，全家團圓，共同享用年夜飯，祝願新的一年能夠安樂幸福。,n,安樂幸福 / 追求安樂 / 享受安樂 / 安樂的生活 / 生活安樂 / 安樂的家庭,ānlè,ㄢ ㄌㄜˋ,"善念, 心懷, 年夜飯"
按理,3767,,According to reason; a phrase indicating that something should logically happen or be understood.,「按理」指的是根據道理或常理推測某種情況或結果。,這個問題按理說應該很簡單，但實際上卻讓大家困惑了。 / 明天的會議按理應該會有很多人參加，但現在還沒收到確認。 / 他今天早該到，按理過去他總是準時的。 / 他的努力按理應該得到回報，但結果卻讓人失望。 / 他這次考試按理應能取得好成績，但卻發生了意外情況。 / 按理，今天的活動應該會很精彩，但天氣的變化讓我們擔心。,phrase,按理說 / 按理應該 / 按理判斷 / 按理希望 / 按理分析 / 按理推斷,ànlǐ,ㄢˋㄌㄧˇ,"理應, 理"
安眠藥,3768,治療失眠或睡眠障礙的藥品。安眠藥可粗分三種：安眠藥：睡前，幫助入睡。鎮靜劑：協助身、心放鬆，白天夜晚均可使用。助眠劑：入睡效果不強，可加強睡眠深度及時間。,"A sedative or sleeping pill; A medication used to treat insomnia or sleep disorders, categorized as follows: hypnotics for helping to fall asleep, sedatives for relaxation, and sleep aids for enhancing sleep depth and duration.",治療失眠或睡眠障礙的藥品。這種藥品可粗分為三種：一是幫助入睡的藥物，二是協助身心放鬆的鎮靜劑，白天夜晚均可使用，三是入睡效果不強但可加強睡眠深度及時間的助眠劑。,如果你經常失眠，醫生可能會建議你嘗試使用安眠藥來改善這個問題。 / 一些人對安眠藥有依賴性，導致他們在沒有藥物的情況下無法入睡。 / 雖然安眠藥能有效幫助入睡，但長期依賴可能會產生副作用。 / 安眠藥的效果因人而異，有些人可能會覺得它們非常有用，而另一些人則感受不到明顯的改善。 / 一些常見的安眠藥可能會導致第二天的嗜睡感，因此使用時需謹慎。 / 若長期依賴安眠藥，建議定期與醫生討論是否需要調整用藥方案。,n,安眠藥的副作用 / 服用安眠藥 / 安眠藥的效果 / 使用安眠藥 / 開安眠藥 / 依賴安眠藥,ānmiányào,ㄢ ㄇㄧㄢˊ ㄧㄠˋ,"分為, 鎮靜劑, 期, 感, 若, 助眠劑, 睡"
按捺,3769,抑止、忍耐。[例]她實在無法按捺心中那股欲望，終於買下那條項鍊。,To restrain or suppress; to endure or tolerate.,抑止和忍耐內心的情感或欲望。,這個意外的好消息讓他按捺不住心中的歡喜，笑了出來。 / 面對這麼大的壓力，她努力按捺住焦慮，專注在手頭的工作上。 / 他在考試前一天，雖然心裡很緊張，但還是試著按捺情緒，早早就上床休息了。 / 當看到久違的朋友，她按捺不住心中的激動，立刻上前擁抱了他。 / 他在聽到評審的評語時，雖然心中充滿期待，但還是按捺住興奮，靜靜等待最終結果。 / 學校的運動會即將開始，孩子們都按捺不住興奮，期待著能夠參加比賽。,va-t,按捺歡喜 / 按捺情緒 / 按捺焦慮 / 按捺心情 / 按捺驚訝 / 按捺興奮,ànnà,ㄢˋㄋㄚˋ,"抑止, 久違, 出來"
案情,3770,案件的情節。[例]由於凶手的出面投案，案情終於大白。,Case details or circumstances surrounding a case.,案件的情節和經過。,案情的最新進展將在明天的新聞發布會上公佈。 / 案情的細節顯示，嫌疑人可能與其他未解案件有關聯。 / 在此次案件中，專家分析了所有的證據，以求更清楚地了解案情。 / 警方的努力最終讓案情大白於天下，讓受害者家屬感到些許安慰。 / 案情的發展促使政府重新考慮相關的法律政策，確保未來類似事件能夠妥善處理。 / 諮詢專家後，警方決定採取新的措施，以進一步澄清案情的真相。,n,案情的真相 / 調查案情 / 案情的進展 / 案情的處理 / 案情的細節 / 了解案情,ànqíng,ㄢˋㄑㄧㄥˊ,"解, 警"
安全帶,3771,供人繫綁以維護安全的繩帶。多見於高空作業、技藝表演，或飛機、汽機車、遊樂等設施中。[例]上高速公路時，為確保安全，駕駛人和前座乘客都必須繫上安全帶。,"A safety belt; A strap or harness provided for securing a person to maintain safety, commonly found in situations such as high-altitude work, performances, or aboard airplanes, vehicles, and amusement rides.",供人繫綁以維護安全的繩帶。多見於高空作業、技藝表演，或飛機、汽機車、遊樂等設施中。,在飛機起飛和降落的時候，乘客必須將安全帶繫好，以避免任何意外情況發生。 / 每輛汽車都配備了安全帶，這是保護駕駛人和乘客的重要裝置。 / 有些國家對安全帶的使用有嚴格的法律規定，違者可能會受到罰款。 / 開車的時候，我習慣把安全帶調整到最舒適的位置，這樣不但安全，還能避免長時間駕駛帶來的不適。 / 每當我看到交通標誌提醒繫安全帶時，都會更加意識到安全駕駛的重要性。 / 在冬天，穿著厚外套時，我會特別注意安全帶的繫法，以確保它能發揮最佳的保護效果。,n,繫安全帶 / 安全帶使用 / 安全帶檢查 / 安全帶規定 / 調整安全帶 / 安全帶設計,ānquándài,ㄢ ㄑㄩㄢˊ ㄉㄞˋ,"者, 繫法, 汽機車, 供, 違, 遊樂, 適"
黯然,3772,陰暗無光的樣子。[例]黯然失色,"Dim; referring to a state or appearance that is dark, lacking light, or overshadowed.",陰暗無光的樣子。,在繁華的都市中，他的創業夢想黯然失色。 / 他的笑容雖然勉強，但眼神依然黯然無光。 / 賽事結束後，未能奪冠的隊伍黯然離場，留下沉重的氛圍。 / 聽到好友搬走的消息，她黯然坐在窗前，思緒萬千。 / 說到過去的夢想，她不由得黯然嘆息，感慨時光的流逝。 / 在繁榮的聚會中，他默默黯然自失，感受到深深的孤獨。,adv,黯然失色 / 黯然無光 / 黯然失望 / 黯然自失 / 黯然沉默 / 黯然銷魂,ànrán,ㄢˋㄖㄢˊ,"失, 友, 搬走, 銷, 賽事, 奪冠"
