number,old_definition,word,translation,definition,example_sentences,part_of_speech,collocations
111,法律上指辯護人為保護當事人的利益及權利，防禦不法或不當的指控，在口頭或文字上所做的辯白。[例]為了打贏這場官司，他請了一位名律師替他辯護。,辯護,"To defend or provide a legal argument on behalf of a party in a legal case, typically carried out by a lawyer to protect the rights and interests of the client.",法律上指辯護人為保護當事人的利益和權利，防禦不法或不當的指控，在口頭或文字上所做的辯白。,在法庭上，律師應該全力以赴為被告辯護，以確保公正的審判。 / 辯護的過程中，律師仔細檢查了所有的證據，以找出能幫助客戶的關鍵點。 / 在法庭上，辯護律師提出了強有力的論據，讓陪審團重新考慮案件的判決。 / 辯護律師在庭上發表了激昂的辯護詞，強調被告的無辜以及案件中的重重疑點。 / 在案件審理過程中，辯護方不斷提出新證據，力求為當事人爭取更好的結果。,va-t,律師辯護 / 辯護詞 / 辯護人 / 法律辯護 / 進行辯護
112,更改、改換。[例]變換隊形、變換環境,變換,To change or alter; to switch or transform.,更改或改換某種狀態、形式或環境。,在課堂上，老師鼓勵學生們練習變換不同的寫作風格，以提升他們的寫作技巧。 / 他們的演出需要根據故事情節的不同，變換音樂的節奏，使表現更加生動。 / 在音樂創作中，變換旋律的風格可以讓作品更具吸引力和新鮮感。 / 導演在拍攝時，經常需要變換鏡頭的角度，以呈現出更加立體的故事情節。 / 隨著時間的變換，城市的面貌也在不斷更新，展現出不同的歷史和文化。,vp-t,變換顏色 / 變換心情 / 變換場景 / 變換風格 / 變換環境
113,廣布各個角落。[例]多年的義診，使他的恩澤遍及全鄉。,遍及,To extend or be distributed widely across every corner or area.,廣泛地分布到各個角落。,網路的快速發展，讓資訊遍及每個角落。 / 環保觀念的提升，使得綠色生活的推廣遍及全市。 / 這部電影的感人故事，讓影片的影響遍及世界各地。 / 透過社交媒體，彼此的故事和經歷能更快遍及各地。 / 這次志願活動，讓愛與關懷遍及每一個需要幫助的家庭。,vp-i,科技遍及全球 / 消息遍及全國 / 影響遍及每個人 / 關懷遍及整個社會 / 資訊遍及每個角落
114,解釋事實或理由。[例]他認為清者自清，所以面對別人的指責，他從不辯解。,辯解,To explain or justify; to provide reasons or arguments in response to criticism or accusations.,解釋事實或理由，以為自己辯護。,即使他的辯解聽起來合情合理，但還是沒有改變大家的看法。 / 當他被指責犯錯時，他堅持不需要辯解，因為他自信自己沒有做錯。 / 這位專家在接受訪問時，對於爭議性問題提出的辯解，引發了網友的激烈討論。 / 她在面對朋友的指責時，努力提出辯解，希望能平息這場爭論。 / 雖然他的辯解看似合理，但大家心中仍對他的行為存有疑慮。,va-t,為自己辯解 / 不斷辯解 / 難以辯解 / 主動辯解 / 需要辯解
115,球賽範圍的邊線界限。[例]球被打出邊界，是個界外球。,邊界,The boundary line of a sports field.,球賽範圍的邊線界限。,比賽中，球如果飛過了邊界，裁判會立即吹哨示意界外球。 / 比賽的邊界線是用特殊顏色標記的，讓球員們清楚知道範圍。 / 當球碰觸到邊界時，觀眾們都屏息以待，看看裁判的判決。 / 如果球在邊界外停留超過五秒，根據規則將判為對方球權。 / 比賽中，只有當球完全越過邊界線，才會被判為界外球。,n,比賽的邊界 / 邊界的範圍 / 觸碰邊界 / 碰到邊界 / 邊界的標記
115,國家領土的疆域界線，國與國間相鄰的界線。[例]再向北走，就接近邊界了。,邊界,A boundary or border that defines the territorial limits of a country; the line separating two nations.,國家領土的疆域界線，國與國間相鄰的界線。,近年來，兩國之間的邊界問題一直讓外交官感到困擾。 / 為了防止走私，國家加強了邊界的巡邏工作。 / 跨越邊界進行貿易，可以促進兩國的經濟發展。 / 歷史上，很多邊界的變化都是因為戰爭或外交協議。 / 這條河流不僅是美麗的自然景觀，也是兩國的邊界線。,n,兩國的邊界 / 國家的邊界 / 明確的邊界 / 跨越邊界 / 邊界的變化
116,國與國交界附近的區域。[例]為了國家安全，常在邊境加強人員出入檢查。,邊境,A border; the region adjacent to the boundary between two countries.,國與國交界附近的區域。,為了防止非法移民潮，政府加強了邊境的巡邏工作。 / 邊境地區的居民生活受到政治形勢變化的影響，經常需面對不同的挑戰。 / 為了保障國家安全，軍隊在邊境附近設置了多個哨所，隨時準備應對突發事件。 / 跨越邊境的貿易活動越來越頻繁，促進了兩國經濟的發展。 / 各國領導人在會議上討論邊境問題，期望能找到和平解決的方案。,n,邊境問題 / 跨越邊境 / 邊境貿易 / 進入邊境 / 離開邊境
117,各持不同的意見主張相互論爭。[例]他的思想敏捷，口才犀利，與人辯論，無往不利。,辯論,"To debate or argue, with each party holding differing opinions.",各持不同的意見和主張，互相爭論。,今天的辯論題目是「科技是否讓人變得更孤獨」。 / 他善於辯論，總能用有力的論據支持自己的觀點。 / 不同意見在辯論中碰撞，常常能激發出更好的想法。 / 學校每學期舉行一次辯論比賽，鼓勵學生提升思辨能力。 / 每當進行辯論時，她總是能保持冷靜，清晰表達自己的立場。,dem,辯論的主題 / 一場辯論 / 激烈的辯論 / 進行辯論 / 自由辯論
118,事物的變化、改移。[例]世事的變遷常令人有滄海桑田的感覺。,變遷,A change or transition; specifically refers to the shifts and alterations in circumstances or phenomena over time.,事物的變化與改變。,隨著科技的迅速發展，社會的變遷也變得不可避免，從工作方式到生活習慣都產生了深遠的影響。 / 這本書詳細記錄了城市在過去幾十年中的變遷，讓人感受到歷史的深度與廣闊。 / 農村的變遷不僅體現在經濟上，還包括社會結構和家庭關係的深刻變化。 / 隨著環境意識的提高，許多城市在面對氣候變化的挑戰時，開始實施可持續發展的政策，促進了生態環境的變遷。 / 藝術風格的變遷反映了社會的變動，許多當代藝術作品都在探討身份認同與文化差異的議題。,n,政治的變遷 / 社會的變遷 / 時代的變遷 / 環境的變遷 / 教育的變遷
119,分辨識別。[例]辨認失物,辨認,"To identify or recognize, especially in the context of distinguishing or discerning.",分辨並識別出某個物體或人，通常需要仔細觀察和判斷。,他在人體識別系統中，輕鬆地完成了圖像辨認，系統迅速地確認了他的身份。 / 在法庭上，證人被要求准確地辨認嫌疑犯，以協助案件的真相揭露。 / 在校園裡，學生們學習如何辨認不同種類的植物，這是一門非常有趣的自然課程。 / 科學家們正在研究新的方法，以提高人工智慧系統在複雜環境下的圖像辨認準確率。 / 在社交場合，他常常需要辨認不同的人物，以便進行更有效的交流和互動。,va-t,辨認身份 / 辨認失物 / 辨認聲音 / 辨認圖像 / 需要辨認
120,變動不確定的因素。[例]這件事情成功與否，仍有許多變數。,變數,A factor that is uncertain and subject to change; Examples include various elements that can influence outcomes.,指在某個情況下，可能會影響結果，且其狀況不一定會固定。,在這次項目的計劃中，有太多的變數讓我們感到不安。 / 這部電影的票房成功與否，仍然存在許多未知的變數。 / 計算變數對於這個實驗的準確性至關重要。 / 這次合作的結果受到了許多外部變數的影響，例如市場情況。 / 在制定預算時，經濟形勢的變化是一個不可忽視的變數。,n,計算變數 / 影響變數 / 統計變數 / 外部變數 / 多重變數
120,電腦程式設計中可隨機變化值的暫時性資料項目。　△記憶體變數,變數,"A variable; In computer programming, a temporary data item whose value can change.",在電腦程式設計中，指可隨著程式執行而改變的暫時性資料項目。,在程序運行中，變數的值可以隨著用戶的輸入而改變。 / 在這個遊戲中，玩家的得分被存儲在一個變數裡，方便隨時查詢。 / 每個程式中，都有許多變數用來儲存暫時性的信息。 / 在編寫代碼時，選擇合適的變數名稱可以讓程式更易於閱讀。 / 我們需要設置一些控制變數，以確保實驗結果的準確性。,n,記憶體變數 / 控制變數 / 輸入變數 / 輸出變數 / 定義變數
120,代數式中，可以變易的各數。相對於常數而言。如ax＋by＋c一式中，x、y為變數。,變數,"A variable; In algebra, it refers to the symbols representing values that can change.",代數式中可以變動的數，相對於常數。在式子中，通常用字母表示。,在代數中，x和y常被用來表達不同的變數。 / 當我們解方程式時，需要先將變數孤立，以便找到它們的值。 / 變數的變化會影響整個計算的結果，這是代數的一個基本概念。 / 在統計學中，變數可以分為自變數和依變數，這有助於分析數據的關聯性。 / 變數的選擇對於數學模型的建立至關重要，錯誤的變數可能導致不準確的結論。,n,常數與變數 / 定義變數 / 設定變數 / 假設變數 / 數學變數
121,某些動物自受精卵發育至成體的過程中，必須經過或多或少的變化，方能與成蟲具有相同的形態，此種變化過程稱為「變態」。如多數的高等昆蟲，都需經卵、幼蟲、蛹及成蟲四個階段變態，才能完成一生。,變態,"A process in which certain animals undergo changes in form and structure from a developing embryo to an adult, characterized by distinct stages.",某些動物從受精卵發育成成體的過程中，必須經過或多或少的變化，才能與成蟲具有相同的形態。這種變化通常包括卵、幼蟲、蛹及成蟲等幾個階段。,許多昆蟲在一生中都經歷幾個變態階段，例如蝴蝶先是卵、然後是幼蟲，最後才變成美麗的成蟲。 / 昆蟲的變態過程是自然界中最神奇的現象之一，讓它們能夠適應不同的環境和生存需要。 / 變態的過程不僅存在於昆蟲中，某些魚類在成長過程中也會出現明顯的變態現象。 / 有些動物在生長過程中，變態使得它們能夠獲得新的能力，例如青蛙從蝌蚪變成成蛙。 / 在海洋中，某些海洋生物的變態過程十分複雜，牠們的形態和生活習性隨著階段的變化而不同。 / 在熱帶雨林裡，許多昆蟲的變態過程讓牠們能夠在競爭激烈的環境中生存下來。,n,變態過程 / 完成變態 / 在變態過程中 / 幼蟲變態 / 昆蟲的變態
121,某些植物生長型態和生理機能，因長期受環境影響而產生變化的情形。如仙人掌的針狀葉。,變態,"A morphological or physiological change in certain plants due to prolonged environmental influences, such as the spiny leaves of a cactus.",某些植物因長期受環境影響，生長型態和生理功能產生變化的情形。,在沙漠中，植物為了適應乾燥環境，會出現葉子變短的變態現象。 / 科學家們發現，隨著氣候變遷的影響，許多植物的變態速率明顯加快。 / 在高海拔地區，植物因為氣候寒冷，會出現葉片變厚的變態特徵。 / 這些變態的現象，不僅讓植物適應環境，還可能影響整個生態系統的平衡。 / 透過觀察這些變態，研究人員能夠更加深入地了解植物的適應機制。,n,環境導致的變態 / 變態的特徵 / 觀察變態的現象 / 造成變態的因素 / 適應性的變態
121,不正常的狀態。[例]心理變態,變態,Abnormal; a term used to describe something that deviates from the norm or standard.,心理狀態不正常，通常指極端或偏離一般標準。,聽到他的怪異行為，大家都說他有變態的傾向。 / 心理學家研究變態行為，試圖找出根本原因。 / 當社會風氣變得壓抑時，變態行為有可能會逐漸增加。 / 這個案件中的嫌犯表現出明顯的變態特徵，讓警方非常警惕。 / 這部紀錄片深入探討了變態心理學，揭示了許多不為人知的真相。,n,心理變態 / 性格變態 / 變態行為 / 變態特徵 / 變態傾向
122,為了順應時勢的變化，做非原則性的彈性處置。[例]在多變的環境中，處理政務要知所變通。,變通,To adapt or be flexible in response to changing circumstances.,為了順應時勢的變化，做出非原則性的彈性處置。,政府在面對經濟危機時，提出了一些措施變通，以刺激市場。 / 在社會福利政策上，官員們也必須根據實際情況變通政策，以更有效地幫助弱勢群體。 / 在國際關係中，各國有時需要變通立場，以維護和平與穩定。 / 當面對突發事件時，應變單位必須迅速變通方案，以保障民眾安全。 / 在處理客戶投訴時，客服人員需要變通應對方式，以更好地解決問題。,va-i,措施變通 / 策略變通 / 方法變通 / 方案變通 / 立場變通
123,蒐集資料加以整理或創作。[例]他自行編寫講義，以輔助教學。,編寫,To compile and write by collecting and organizing information.,蒐集資料後加以整理或創作。,我的朋友正在編寫一首歌，希望未來能夠發行專輯。 / 他們計畫編寫一份詳細的旅行手冊，幫助遊客更好地探索這個城市。 / 在這個工作坊中，參加者學習如何編寫有效的商業計畫。 / 我們需要編寫一份新員工培訓手冊，以便更有效地進行入職培訓。 / 他希望能夠編寫一部電影劇本，將他的故事呈現給更廣泛的觀眾。,va-t,編寫計畫 / 編寫教材 / 編寫提案 / 編寫手冊 / 編寫劇本
124,人的外貌或物品的形狀、格式產生變化，有異於原先的形態。[例]塑膠物品遇到高溫容易變形。,變形,To change shape or form; to deform.,人的外貌或物品的形狀、格式產生變化，與原先的形態不同。,這個塑膠杯在陽光下放太久，已經開始變形了。 / 如果不小心讓金屬物品受到高溫影響，可能會輕微變形。 / 一些古老的藝術品，因為保存不當，出現了明顯的變形情況。 / 儘管他們的模型經過精心設計，但如果使用劣質材料，還是可能出現變形的情況。 / 在強烈的壓力下，某些材料會不可避免地變形，這是物理特性的正常反應。,vp-i,嚴重的變形 / 輕微的變形 / 防止變形 / 出現變形 / 開始變形
125,,便於,Convenient; easy to do or access.,容易做某事或使某事發生，通常表示方便或有利。,在這個網路平台上，使用者界面簡潔明瞭，便於使用者快速找到所需的資訊。 / 我們為新員工準備了詳盡的手冊，便於他們快速熟悉公司的流程。 / 這款軟體的操作流程清晰，便於初學者迅速掌握使用技巧。 / 社群平台的互動功能強大，便於用戶與朋友分享生活點滴。 / 餐廳的菜單分類明確，便於顧客在眾多選擇中快速找到自己喜愛的料理。,adv,便於學習 / 便於溝通 / 便於操作 / 便於使用 / 便於執行
126,指物體外圍的狹小區域。[例]球已滾到桌子的邊緣，就快掉下去了。,邊緣,A narrow area located at the periphery of an object.,指物體外圍的狹小區域。,小孩在桌邊玩耍，不小心推到了邊緣的花瓶。 / 這幅畫的邊緣使用了特別的顏色，使整體更加立體。 / 她的心情壓力讓她感覺像站在情緒的邊緣，隨時可能崩潰。 / 當夕陽落下，海邊的邊緣出現了金色的光輝，美得令人窒息。 / 在山的邊緣，有一條小路通往未知的冒險，讓人心生嚮往。,n,生活的邊緣 / 空間的邊緣 / 心理的邊緣 / 在邊緣 / 靠近邊緣
126,比喻瀕臨界限的狀況。[例]他被消防隊員從火場救出，真是從死亡邊緣撿回一條命。,邊緣,A situation that is near the brink or edge; metaphorically refers to being on the verge of a limit or boundary.,比喻瀕臨某種界限的狀況。,他天天加班到深夜，根本不想面對已經在崩潰邊緣的壓力。 / 學生們為了考試復習，生活幾乎都在熬夜和焦慮的邊緣徘徊。 / 他的情緒時常波動，讓他感覺自己徘徊在心理健康的邊緣。 / 每當他回想起過去的失敗，心裡就會出現一種危險邊緣的恐懼。 / 他被消防隊員從火場救出，真是從死亡邊緣撿回一條命。,n,死亡邊緣 / 生存邊緣 / 崩潰邊緣 / 絕望邊緣 / 道德邊緣
127,一國貨幣的對外價值降低。[例]今日匯率市場，美元走俏，臺幣持續小幅貶值。,貶值,"To depreciate; to decrease in value or worth, particularly in relation to currency.",一國貨幣的對外價值降低。,貶值對經濟造成的沖擊，讓許多企業不得不重新評估他們的市場策略。 / 在貿易戰的影響下，該國的貨幣迅速貶值，使得外資流出加劇。 / 貨幣貶值雖然提高了該國產品的國際競爭力，但同時也引發了通貨膨脹的擔憂。 / 許多投資者對貶值的風險表示擔憂，因為這可能會影響到他們的資產回報。 / 近日，因為政策調整，該國的貨幣貶值幅度達到歷年來的新高，引起市場的廣泛關注。,vp-i/N,貶值的現象 / 貶值的風險 / 貶值的影響 / 持續貶值 / 大幅貶值
128,將線、柳條等細長的東西交錯穿結而形成面狀的東西。[例]老奶奶悠閒的躺在搖椅上編織毛衣。　◎,編織,To weave or knit by interlacing strands or materials.,將線、柳條等細長的東西交錯穿結，形成一個平面或立體的東西。,老師帶我們去參觀傳統工坊，看到工匠們如何用心編織出精美的作品。 / 編織藝術不僅需要技巧，還需要耐心和創造力。 / 每當她坐下來編織毛衣，就彷彿能把所有的煩惱都釋放出去。 / 在文化節上，學生們展示了自己編織的作品，受到大家的讚賞。 / 這個展覽讓我體會到編織不僅是一門手藝，更是一種文化的傳承。,va-t,編織毛衣 / 傳統的編織技藝 / 編織的藝術 / 手藝編織 / 古老的編織技術
128,比喻抽象的想像、規劃。[例]編織美夢、編織未來,編織,"To weave or create, often used metaphorically to describe the act of forming or planning something abstract, such as dreams or futures.",將抽象的想像或規劃相互結合，形成一個整體。,他花了很多時間編織未來的職業計劃，希望能實現自己的夢想。 / 每個孩子都應該有機會編織自己的夢想，不受任何限制。 / 媽媽總是善於編織幸福，她的每一個小動作都能讓家裡充滿溫暖和笑聲。 / 在這次社區活動中，居民們共同編織了環保的願景，讓每個人都能參與改善環境的行動。 / 在這部電影中，導演巧妙地編織了多個角色的命運，讓觀眾感受到深刻的情感共鳴。,va-t/N,編織夢想 / 編織未來 / 編織幸福 / 編織希望 / 編織願景
129,用線狀物或頭髮編成的長條。[例]她把頭髮紮成一條長辮子。,辮子,A braid; a long strip formed by weaving together hair or other linear materials.,用線狀物或頭髮編成的長條。,她的頭髮綁成兩條可愛的小辮子，看起來格外俏麗。 / 在夏天，很多小女孩都喜歡扎辮子，讓頭髮不會黏在臉上。 / 他看到路上有一位小女生綁著長辮子，忍不住多看了幾眼。 / 那位藝術家畫的少女正好綁著一條優雅的辮子，讓她看起來十分動人。 / 她把頭髮紮成一條長辮子，讓整個造型顯得清爽許多。,n,綁辮子 / 編辮子 / 留辮子 / 漂亮的辮子 / 長辮子
130,,鞭子,A whip; traditionally used for directing animals or as a tool for punishment.,用皮或綁的材料製成，通常用來驅動動物或用於某些運動。,在農村，農夫常用鞭子來驅趕牲畜。 / 在某些傳統文化中，鞭子被視為權威的象徵。 / 鞭子的聲音在空中回蕩，讓人感受到一種緊張的氣氛。 / 她在表演中巧妙地運用鞭子，展現了優雅與力量的結合。 / 鞭子的材質各有不同，有的甚至是用皮革精心製作而成。,n,一根鞭子 / 揮舞鞭子 / 拿著鞭子 / 鞭子抽打 / 用鞭子
131,編輯。[例]編纂成書,編纂,To edit and compile; to arrange and set in order.,編輯並整理材料，形成書籍或其他作品。,他們花了幾年時間，終於完成了編纂這部歷史文獻的工作。 / 在編纂這本字典時，他們考慮到不同方言的使用。 / 這本書的編纂過程十分繁瑣，但最終成果讓人滿意。 / 編纂資料時，她發現了許多珍貴的歷史照片。 / 他們每周都會進行編纂工作的進度檢查，以確保按時完成。,va-t,編纂成書 / 編纂資料 / 編纂文獻 / 編纂工作 / 編纂過程
132,標誌、符號。[例]正字標記,標記,A mark or symbol; a sign indicating something.,用來表示某種特定含義的標誌或符號。,老師在考卷上標記了錯誤的地方，以便學生能夠改正。 / 電子檔案的標記系統幫助我們快速找到需要的資料。 / 在地圖上，每個標記都代表著一個重要的景點或地點。 / 每一個標記都應該具有明確的含義，以避免混淆和誤解。 / 我們需要在實驗記錄中清楚地標記每一步，以便後續的分析。,標記's verb type: None/N,一個標記 / 明確的標記 / 使用標記 / 識別標記 / 資料標記
133,流露、顯示。[例]她的眼神表露出極度的恐慌。,表露,To reveal or display openly.,流露出內心的情感或思想，或明顯顯示出某種狀態。,她在聚會上談到自己的夢想時，神情中表露出強烈的決心和毅力。 / 在比賽前夕，選手們的緊張情緒在臉上表露無遺，顯示出他們對勝利的渴望。 / 這部電影的演員表露出深刻的情感，讓觀眾深切體會到角色的內心掙扎。 / 她在面對挫折時，堅強的外表下依然表露出對成功的渴望和不放棄的信念。 / 在志願活動中，志工們的笑容表露出對幫助他人的真誠喜悅與滿足。,va-t,表露情感 / 表露喜悅 / 表露不安 / 表露擔憂 / 表露恐懼
134,標明、揭示。[例]這塊牌子標示著「遊客止步」。,標示,To mark or indicate something clearly.,標明或揭示某種資訊或內容。,這個地圖標示了所有的景點和交通路線，非常實用。 / 在超市裡，各種商品都有詳細的標示，方便顧客選購。 / 這條路上的標示牌告訴駕駛人有施工，請減速慢行。 / 在藥品包裝上必須正確標示成分和使用方法，以保障用戶安全。 / 公園裡的步道兩旁都有標示，提醒遊客注意環境保護。,va-t,標示牌 / 清楚標示 / 標示出 / 正確標示 / 明確標示
135,表明態度，以說明自己的意見或想法等。[例]他頻頻表態，依然無法取得諒解。,表態,To express one's stance or opinion openly.,表明自己的態度，說明意見或想法。,在會議上，參與者都紛紛表態，以確保決策能夠得到大家的支持。 / 如果你對這個計畫有意見，請直接表態，不要害怕表達自己的想法。 / 社區居民對新建公園的計畫都表態支持，期待改善生活環境。 / 對於最近的環境問題，許多專家都表態呼籲政府採取更積極的行動。 / 在公益活動中，許多企業表態願意捐款，以幫助弱勢群體。,va-t/N,頻頻表態 / 明確表態 / 立場表態 / 向他人表態 / 直接表態
136,為宣傳而張貼的詞句。通常語句簡短、精鍊、意義明顯。如「流汗總比流血好」，可用來宣導騎士必須戴安全帽。,標語,"A slogan or tagline; a phrase posted for宣传 purposes, usually short, concise, and clear in meaning.",為宣傳而張貼的詞句，通常簡短、精鍊，意義明顯。,在社區活動中，志願者們張貼了許多宣傳標語，呼籲大家一起關心長者。 / 廣告標語「健康生活，從飲水開始」讓人們更注重日常飲水的重要性。 / 體育館門口貼著「運動讓生活更美好」的標語，鼓勵更多人參與運動。 / 旅遊景點以「探索美麗台灣，體驗不同風情」的標語吸引更多遊客前來。 / 每當國慶日來臨，街道上都會出現「團結就是力量」的標語，激勵市民共同慶祝。,n,一條標語 / 宣傳標語 / 廣告標語 / 引人注目的標語 / 政府的標語
137,表明特徵、識別的記號。[例]交通標誌,標誌,A sign or marker that indicates features or identifies something; [Example] Traffic sign.,表明特徵或識別的記號。,每一個國家都有自己獨特的國旗標誌，象徵著不同的歷史與文化。 / 此次環保活動中，志工們製作了醒目的標誌，提醒大家注意垃圾分類。 / 在城市裡，清晰的指示標誌幫助路人更快地找到目的地，減少迷路的困擾。 / 道路上的安全標誌十分重要，因為它們能有效地防止交通事故的發生。 / 在航海圖上，特定的標誌標示著危險水域，提醒船隻小心駛過。,n,標誌的設計 / 交通標誌 / 危險標誌 / 明確的標誌 / 道路標誌
