word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
決然,5710,果斷堅決的樣子。[例]他這種決然的態度，使得事情已無轉圜的餘地。,Decisive and resolute; displaying determination and firmness in attitude or action.,果斷而堅決的樣子。,她面對這個困難的選擇，決然選擇了追求自己的夢想。 / 儘管有人反對，他依然決然支持這項創新計畫。 / 面對朋友的惡劣行為，他做出了決然的決定，終止了這段友誼。 / 當得知真相後，他決然站出來揭發這一醜聞，保護了其他人的權益。 / 對於這個不道德的商業操作，他決然拒絕與該公司合作，維護自己的職業操守。 / 當面對家人的質疑時，他依然以決然的態度捍衛自己的選擇，表達了不妥協的信念。,vs-adj,決然的態度 / 決然的行動 / 決然的決定 / 決然的回應 / 決然的立場 / 決然的拒絕,,,"毫不, 行政院"
絕少,5711,,Very few; extremely rare.,極其少，幾乎沒有。,這個小鎮的居民絕少抱怨生活的不便，大家都很珍惜這種安靜的環境。 / 這種情況在我們的經驗中絕少發生，因此大家都感到驚訝。 / 絕少數人在這個行業中取得成功，因此年輕人在選擇職業時會特別謹慎。 / 這種特殊才能的專家絕少出現，因此公司對他們的招募極其重視。 / 這種古老的傳統在現代社會中絕少被人們重視，導致許多文化遺產面臨消失的危險。 / 在這麼競爭激烈的環境裡，絕少有企業能穩定地保持增長，這使得市場的競爭變得更加壓力巨大。,adv,絕少數人 / 絕少的影響 / 絕少的選擇 / 絕少的情況 / 絕少的困難 / 絕少的資訊,,,"感, 駭, 合作案, 來訪"
爵位,5712,封爵及職位。《禮記．禮運》：「合男女，頒爵位，必當年德。」《三國演義》第五回：「眾扶紹升帳而坐，兩行依爵位年齒分列坐定。」,Noble title and position conferred as a reward.,封爵和所擔任的職位。,他的家族世代擁有爵位，因此在社會上享有很高的地位和影響力。 / 這位王子的爵位雖然低，但他的智慧和勇氣使他贏得了人民的尊重。 / 在古代，得到皇帝授予的爵位會改變一個人的命運，使他能夠過上富裕的生活。 / 她因為出色的表現而獲得了爵位，這讓她在職場上更加如魚得水。 / 每當舉行封爵儀式時，大家都會聚集來見證新爵位的誕生。 / 這個小說中的主角，最終獲得了一個高貴的爵位，改寫了他平凡的生活。,n,高貴的爵位 / 擁有爵位 / 獲得爵位 / 享有爵位 / 拒絕爵位 / 貴族的爵位,,,爵
絕無僅有,5713,只有一個，絕對再沒別的了。形容極其少有。[例]這真是場絕無僅有的激烈比賽，參賽者莫不使出渾身解數。,Unique; the only one of its kind.,只有一個，絕對再也沒有別的了。形容極其少有。,這份資料提供了研究這個主題的絕無僅有的視角。 / 他對於音樂的熱愛，使得他的作品呈現出絕無僅有的獨特風格。 / 他的科學發現開創了絕無僅有的新領域，改變了人類對宇宙的認知。 / 這本書提供了對該歷史事件絕無僅有的深入分析，極具參考價值。 / 她的演講獲得了絕無僅有的讚譽，激勵了在場的每一個人。 / 這次的體驗是一個絕無僅有的經歷，讓參加者重新評估自己的目標與方向。,idiom,絕無僅有的比賽 / 絕無僅有的機會 / 絕無僅有的經歷 / 絕無僅有的作品 / 絕無僅有的演出 / 絕無僅有的發現,,,"全新, 協作, 遊客, 展, 評為"
決意,5714,決心、拿定主意。[例]只要是他決意要做的事，任何人都阻擋不了他。,To be determined; to have made up one's mind.,下定決心，要做某件事情，並且不會改變主意。,看到家鄉的變化，他決意投身於志願服務，幫助更多需要的人。 / 他決意放下過去的包袱，勇敢地迎接新的人生挑戰。 / 經過一番考慮，他決意學好英語，以便能夠出國留學。 / 面對競爭激烈的職場環境，她決意提升自己的專業技能，參加各種培訓課程。 / 在遭遇困難時，他決意不放棄，始終堅持自己的信念，最終取得了成功。 / 經過多次失敗，他決意反思自己的方法，並制定新的計畫來達成目標。,vp-i,堅定的決意 / 明確的決意 / 內心的決意 / 付諸行動的決意 / 實現決意的步驟 / 清楚的決意 / 充滿決意的目標 / 心中有決意的事情 / 下定決意的計畫 / 除去疑慮的決意,,,"裸, 定決, 呼, 馬拉松, 迷茫, 辭, 意"
絕招,5715,超群卓越，無人能及的方法、手段。[例]他使出最後的絕招，希望能有效的抵擋住對方的攻勢。,A unique and exceptional technique or method that is unmatched and unrivaled.,超群卓越，無人能及的方法或手段。,他在比賽中使出了絕招，希望能成功逆轉勝利。 / 說書人的絕招是用精彩的比喻讓故事生動有趣。 / 在最後的決戰中，武林高手們各自亮出了絕招，場面緊張刺激。 / 他運用他的絕招，成功說服了對方同意他的提議。 / 在學校的科學展覽中，學生們展示了各自的絕招，讓觀眾見識到了創意的無限可能。 / 那位音樂家總是施展絕招，將即興演奏融入所有表演中，讓每場表演都獨一無二。,n,最後的絕招 / 使出絕招 / 施展絕招 / 高明的絕招 / 亮出絕招 / 絕招對決,,,"捕, 漁獲, 排骨, 驚艷, 酸甜, 出人意料"
絕症,5716,醫學上無法治癒的病症。[例]他不幸患了絕症，卻仍然樂觀的走完人生最後的旅程。,A terminal illness; a disease that is incurable.,醫學上無法治癒的病症。,她得知自己罹患絕症，心情難以平復，但孩子的需要讓她振作起來。 / 在醫院的走廊裡，他遇到了一位同樣面對絕症的病友，彼此鼓勵著。 / 醫生告訴他，這種絕症的治療選擇非常有限，主要是緩解症狀。 / 她的朋友們發起了一個募款活動，希望能幫助她減輕因絕症帶來的經濟壓力。 / 儘管面臨絕症的挑戰，他仍然堅持每日寫日記，記錄下自己的心情和感悟。 / 醫療團隊努力探索新的治療方案，希望能給絕症患者帶來一線希望。,n,絕症患者 / 罹患絕症 / 絕症治療 / 面對絕症 / 絕症的影響 / 緩解絕症,,,"確, 診, 感悟, 病友, 早期"
軍備,5717,軍事措施和武力裝備。[例]當前全球亟需正視的重大議題，不外是：道德淪落、種族歧視、極端氣候、環境污染、貧富不均、軍備競爭等。,Military armament; military measures and armed forces' equipment.,軍事措施和武力裝備的總稱。,各國應該加強合作，以避免軍備競爭導致的緊張局勢。 / 雖然各國都在提升軍備，強調國防的重要性，但和平的提議從來沒有減弱。 / 軍備方面的透明度越高，各國之間的信任就越容易建立。 / 國際社會對於軍備擴張的警惕性提高，特別是在面對新興威脅時。 / 許多專家認為，持續的軍備改革是應對複雜安全挑戰的必要途徑。 / 在軍備研究方面的投資，將直接影響到國家的戰略布局與未來的安全環境。,n,軍備競爭 / 軍備擴張 / 軍備改革 / 軍備問題 / 軍備支出 / 軍備監控,,,"減弱, 呼, 機, 武, 旨, 從未"
軍閥,5718,以雄厚的武力割據地方、把持政權，與中央政府對抗的武裝派系或軍人。如民國初年的段祺瑞、吳佩孚、張作霖等。[例]民國初年，軍閥割據，隨意荼毒百姓，人民生活苦不堪言。,"A warlord; a military leader who exerts control over a region using armed force, often in opposition to a central government.",以強大的武力控制地方政權，與中央政府對抗的武裝勢力或軍人。,軍閥政治導致了民眾對政府的不滿，許多人開始尋求改革的希望。 / 軍閥之間的聯盟與背叛，使得局勢變化萬千，讓人民生活在恐懼之中。 / 軍閥的崛起，往往伴隨著戰爭的爆發，地區穩定變得更加脆弱。 / 軍閥之亂讓許多地方的經濟受到重創，商業活動幾乎陷入停滯。 / 隨著時間的推移，軍閥的勢力逐漸被其他勢力所取代，卻留下了深刻的歷史烙印。 / 為了結束軍閥割據的局面，新興的政治力量開始尋求團結與合作，以重建國家。,n,軍閥割據 / 軍閥勢力 / 軍閥之亂 / 軍閥政治 / 軍閥鬥爭 / 軍閥統治,,,"混戰, 測, 東北, 武, 加劇, 張作霖, 政權, 民國"
軍法,5719,專治軍人犯罪的法律。如遇戰時或戒嚴時期，可適用於平民。,Military law; a legal system specifically governing crimes committed by military personnel. It can also be applied to civilians during wartime or periods of martial law.,專門用來處理軍人犯罪的法律。在戰時或戒嚴時期，可以適用於平民。,軍隊必須嚴格執行軍法，以維護內部秩序和紀律。 / 在戰爭期間，違反軍法的行為將受到嚴厲的懲罰。 / 軍法條例明確規定，任何士兵不得私自離開部隊。 / 軍法規定，任何人如果有貪污行為皆必須接受軍法處罰。 / 軍隊的日常訓練也包含了對軍法規定的學習，以增強士兵的法律意識。 / 在不同國家的軍事體系中，軍法的具體條款和執行方式可能有所不同。,n,軍法條例 / 違反軍法 / 軍法處罰 / 軍法制度 / 依照軍法 / 嚴格的軍法,,,"審, 若, 戰時, 有助, 旨, 監管, 權"
軍艦,5720,海軍各種船艦的通稱。可區分為作戰艦隻與輔助艦隻。作戰船艦以其特殊構造及武器裝備專供與敵人作戰之用；輔助艦隻或為特種任務之軍用艦隻，或為曾經改裝的武裝商艦，以供艦隊補給、運輸、修理等用途。也稱為「兵艦」、「兵輪」。,"A naval vessel; a general term for various ships in the navy, which can be categorized into combat ships and auxiliary ships. Combat ships are specifically designed and equipped for warfare, while auxiliary ships serve special military functions or are former merchant ships repurposed for naval support tasks such as supply, transportation, and repair. Also referred to as ""兵艦"" or ""兵輪.""",海軍各種船的通稱，分成戰鬥船與輔助船。戰鬥船具有特殊構造與武器裝備，專門用來與敵人作戰；輔助艦隻則為特種任務或曾改裝的武裝商艦，用於艦隊補給、運輸、修理等。也稱為「兵艦」、「兵輪」。,昨天晚上的軍艦演習展示了海軍的實力與戰略規劃，令旁觀者印象深刻。 / 在和平時期，軍艦也會參與人道救援和國際合作任務。 / 軍艦的最新技術裝備，使其在現代戰爭中更加具有優勢。 / 一艘新的偵察軍艦剛剛下水，將強化我們的海上監控能力。 / 在國際海域，這艘軍艦與其他國家的軍艦一起進行聯合演習。 / 軍艦的武器系統經過升級，使其能夠有效應對各種戰鬥任務。,n,戰鬥軍艦 / 海軍軍艦 / 驅逐軍艦 / 軍艦演習 / 軍艦任務 / 敵軍軍艦,,,"海戰, 航空母艦, 出航, 新型, 昨晚, 商, 南海, 艦, 分為, 作戰艦, 改裝, 船艦"
駿馬,5721,良馬，好馬。[例]東市買駿馬，西市買鞍韉（ㄐㄧㄢ），南市買轡頭，北市買長鞭。（南朝梁．無名氏〈木蘭詩〉二首之一）　△駿驥、駿足,"A fine horse; refers to a good, exceptional steed.",良好的馬，速度快。,駿馬的速度如閃電般迅速，讓觀眾讚嘆不已。 / 在古代，駿馬是戰士們最寶貴的財產，因為它們能迅速帶領軍隊出征。 / 駿馬在星空下奔馳，彷彿在自由的野外找到自己的歸屬。 / 駿馬的訓練需要耐心與技巧，只有如此才能發揮它們的潛力。 / 駐足觀賞，駿馬的優雅動作讓所有人都心生敬畏，感受到自然的美麗。 / 駿馬的靈活性使它們能夠輕鬆跨越障礙，展現出驚人的運動能力。,n,駿馬的速度 / 駿馬的身形 / 駿馬的聲音 / 駿馬的訓練 / 駿馬的價值 / 駿馬的特徵,,,"牧民, 言, 藉著, 騎乘, 姿, 鬃"
俊美,5722,俊秀美麗。[例]左鄰右舍都稱讚王伯伯的兒子長得英挺俊美。,Handsome and beautiful; strikingly attractive.,英俊而美麗。,他俊美的外表讓人一眼看去就印象深刻。 / 在電影裡，俊美的男主角總是吸引著無數影迷的目光。 / 每當他微笑時，俊美的笑容瞬間點亮了整個房間。 / 她的俊美面容和優雅舉止，讓每一個見到她的人都不禁讚嘆。 / 無論走到哪裡，俊美的外表總是為他帶來眾多的關注和羨慕。 / 這位俊美的舞者不僅技巧精湛，更以優雅的姿態俘虜了每一個觀眾的心。,vs-adj,俊美的外表 / 俊美的面容 / 俊美的身材 / 俊美的氣質 / 俊美的少年 / 俊美的舞者,,,"男友, 掀起, 馳, 俊秀, 既"
俊俏,5723,容貌秀美俏麗。[例]這少年長得十分俊俏，常吸引不少女孩的目光。,Handsome and charming; attractive and well-featured.,容貌漂亮俏麗，通常用來形容年輕人或女性。,小鎮上那位俊俏的少年，總是吸引著女孩們的目光。 / 他雖然才華洋溢，但俊俏的外表也令他備受矚目。 / 這幅畫中的青年俊俏無比，彷彿從故事中走出來一般。 / 在運動場上，俊俏的男孩展現了不僅有型的外表，還有耀眼的運動才能。 / 這本小說的男主角俊俏得令人心動，讓讀者們都想成為他的朋友。 / 雖然身材高挑俊俏，但他卻十分謙虛，從不自誇。,vs-adj,俊俏的容貌 / 俊俏的少年 / 俊俏的外表 / 俊俏無比 / 俊俏的形象 / 俊俏的特質,,,"女孩子, 秀美, 伴郎, 型, 電影圈, 界"
軍士,5724,兵卒。《後漢書．卷七一．皇甫嵩傳》：「其夕遂大風，嵩乃約敕軍士皆束苣乘城，使銳士閒出圍外。」《三國演義》第六八回：「以酒五十瓶，羊肉五十斤，賞賜軍士。」,A soldier; a rank-and-file military personnel.,兵卒，指在軍隊工作，負責執行戰鬥或軍事任務的士兵。,每一名軍士都必須熟悉自己的武器裝備，以提高作戰效率。 / 忠實於國家，軍士們時刻準備為人犧牲自己，保衛家園。 / 軍士的任務不僅是打仗，還包括維護和平與穩定。 / 軍士們經常參加野外訓練，以提升在艱難環境下的生存能力。 / 為了增強團隊合作，軍士們定期進行團隊建設和心理輔導。 / 軍士的生活充滿挑戰，但他們獲得了無與倫比的榮譽感和成就感。,n,軍士的訓練 / 軍士的責任 / 軍士的生活 / 軍士的待遇 / 軍士的裝備 / 忠心的軍士,,,"敵陣, 命, 捨, 搏, 從中, 己, 圍坐, 鬥"
軍心,5725,全體軍人所具有的戰鬥、守紀律等意念。[例]整飭軍心、軍心渙散,"Military morale; the collective mindset and spirit of the military personnel, indicating their willingness to fight and maintain discipline.",全體軍人所具有的戰鬥意念和守紀律的精神狀態。,在軍事演習中，長官強調團隊合作，以提振軍心。 / 布置新計畫時，上級特別注意保持軍心穩定，避免不必要的恐慌。 / 每當面臨困難時，領導者的支持能有效穩定軍心，促進團隊的團結。 / 在前線作戰時，官兵們互相鼓勵，這種無形的力量大大增強了軍心。 / 透過舉辦活動，軍隊希望能改善軍心，增強士兵之間的信任與合作。 / 士兵們在艱苦環境下堅持不放棄，這種毅力成為維持軍心的重要因素。,n,軍心渙散 / 影響軍心 / 穩定軍心 / 增強軍心 / 激勵軍心 / 動搖軍心,,,"守, 士氣, 指揮官, 專, 有助, 旨, 建, 懈, 力, 飭"
軍營,5726,軍隊駐守的營地。[例]軍營是軍事重地，戒備森嚴，任何人都不准隨意進出。,A military camp; a fortified area where soldiers are stationed.,軍隊駐守的營地，通常設有各種設施，並且戒備森嚴。,參觀軍營的活動讓學生了解國防的重要性。 / 駐守軍營的士兵，時刻準備著保衛祖國的安全。 / 軍營裡的士兵在完成訓練後，常常會一起分享食物，增進彼此的感情。 / 軍營的設施雖然簡單，但卻能滿足軍人們基本的生活需求。 / 每年，軍營都會舉辦一次開放日，讓民眾更了解軍事生活。 / 軍營的安全措施非常嚴密，確保每位軍人和相關人員的安全。,n,軍營的生活 / 軍營的設施 / 駐守軍營 / 軍營裡的士兵 / 參觀軍營 / 軍營的管理,,,"設有, 體"
軍政,5727,軍界與政界。,Military and political circles; the military and government sectors.,軍界與政治界的總稱。,現在的軍政政策明確，強調國防與經濟的共同發展。 / 許多軍政界人士出席了這次國防會議，討論未來的戰略方向。 / 新上任的總統強調改善軍政關係，期待更有效率的資源分配。 / 在今天的會議上，專家們分析了軍政互動對國內外政策的影響。 / 軍政合作計畫促進了區域安全及經濟發展。 / 軍政力量的整合，使得國防資源得以更合理地配置。,n,軍政關係 / 軍政問題 / 軍政合作 / 軍政界 / 軍政政策 / 軍政力量,,,"政, 國內外, 研討, 協同, 尤, 籌碼, 有助"
據以,5728,,To base or rely on something as a point of reference.,「據以」是指根據某些依據或條件來進行某種行動或得出某種結論。,在撰寫報告時，研究者都會提供據以支持其論點的資料來源。 / 每當選擇新政策時，政府都會先分析街頭民眾的反應，據以做出合理的判斷。 / 我們據以評估這個項目的是否能成功的標準都已經明確制定。 / 據以往的經驗，良好的溝通是團隊合作成功的關鍵。 / 科學家們在發表新研究之前，必須據以驗證其結論的實驗數據。 / 在選擇旅行目的地時，許多人會查閱網上評論，據以決定最合適的地方。,ptc,據以決定 / 據以推論 / 據以判斷 / 據以評估 / 據以分析 / 據以預測,,,"與否, 反饋, 研討"
開採,5729,挖取採掘。[例]專家在近海處發現蘊藏豐富的油氣，近日將進行開採。,"To extract or extract minerals, resources, or other materials from the earth.",挖取或採自然資源，如礦石、油氣等。,由於環保法規的實施，企業必須找到合法開採資源的方法。 / 專家表示，大規模開採將對生態系統造成不可逆轉的影響。 / 這家公司計劃在未來五年內開採更多的稀有金屬，以滿足市場需求。 / 開採石油的過程中，工程師們必須謹慎操作，以防止漏油事故發生。 / 當地社區對開採行動表示擔憂，擔心資源耗盡會影響他們的生活。 / 國際間的合作使得開採海洋資源的技術得到了快速發展。,va-t,開採石油 / 開採天然資源 / 開採礦產 / 大規模開採 / 不當開採 / 持續開採,,,"氣, 期, 採掘, 礦藏, 礦石油, 煤礦"
開場白,5730,戲劇表演或文章、說話等引入正題的前導部分。[例]在簡單扼要的開場白之後，接著就是精闢的演講。,"The opening remarks or introductory statements made at the beginning of a performance, speech, or presentation, serving to set the stage for the main content.",戲劇表演或文章、說話等引入正題的前導部分。,在演講的時候，開場白能吸引聽眾的注意力。 / 即使是正式會議，一段輕鬆的開場白也能讓氣氛變得融洽。 / 這位講者的專業開場白讓聽眾對接下來的內容充滿期待。 / 在婚禮上，新郎的開場白感謝了每一位來賓，讓現場氣氛更加溫馨。 / 當主持人開始節目時，精彩的開場白總是能引起觀眾的熱烈反響。 / 在這次論壇上，主辦方的開場白強調了活動的重要性和期待的成果。,n,精彩的開場白 / 真誠的開場白 / 活潑的開場白 / 專業的開場白 / 感人的開場白 / 深入的開場白,,,"引入, 首映, 師, 導"
開導,5731,啟發、疏導，使明白道理。[例]經過師長的開導後，他已能坦然面對感情失敗的挫折。,To enlighten and guide someone to understand a concept or situation.,啟發並疏導，使人明白道理。,經過朋友的開導，他終於明白了自己的錯誤。 / 老師用實際的例子來開導學生，使他們更容易理解課程內容。 / 在職場上，主管的開導讓年輕員工學會如何應對壓力。 / 他因為經濟困難而感到沮喪，但經過社工的開導，他找到了解決問題的方法。 / 在面對感情困擾時，好友的開導讓她尋找到新的方向。 / 開導學生的過程中，教師不僅要傳授知識，也要培養他們的思考能力。,va-t,開導學生 / 開導情緒 / 開導心靈 / 開導他人 / 開導方法 / 開導問題,,,"重拾, 迷茫, 聆, 友, listen, 師"
開工,5732,開始進行工作。[例]我們預定年初五開工。,To start work; to begin a project or task.,開始進行工作。,工地的開工儀式非常隆重，大家期待著新項目的開始。 / 每年農曆新年後，公司都會舉行開工大會，講述一年的工作計畫。 / 預計下個月初我們就要正式開工，期待工程能順利進行。 / 在開工的第一天，團隊成員互相認識，建立良好的合作關係。 / 我們計畫在下週一正式開工，屆時會有一個簡短的開工典禮。 / 每當看到工人們忙碌的身影，我就知道這個項目又要開工了。,va-i,預定開工 / 正式開工 / 開工日 / 開工儀式 / 開工通知 / 延遲開工,,,"許可證, 迎, 市政府, 型"
開墾,5733,開闢荒地。[例]他在屋旁空地開墾菜園，親手栽植蔬菜。,To cultivate or reclaim wasteland for farming.,開闢荒地或未開發的土地，用來種植作物或讓人居住。,為了提高生產，我們需要學習如何有效地開墾土地，讓它更有價值。 / 在這個新開墾的地區，農民們使用傳統技術來種植作物，希望獲得豐收。 / 在這次開墾計畫中，環保專家也加入了，確保不破壞當地的生態環境。 / 我們的志願者團隊經常前來手把手教村民如何開墾和維護菜園。 / 透過科技的輔助，新開墾的農地能夠更快地適應氣候變化，提高作物的產量。 / 開墾的過程中，農民們相互合作，分享經驗，讓這些辛苦的勞動變得更加有趣。,va-t,開墾土地 / 開墾區域 / 開墾計畫 / 開墾面積 / 開墾新地 / 開墾技術,,,"合作社, 果園, 初期, 菜園, 開墾荒, 農, 祖父母, 耕, 農田"
