word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
禮讓,5910,尊重而退讓。[例]駕駛人如果彼此能夠禮讓，交通必定通暢不少。,To show respect and yield in a courteous manner.,尊重他人，願意退讓，讓出某些權利或優先權。,駕駛人如果彼此能夠禮讓，交通必定通暢不少。 / 在公園裡，遊客應該禮讓其他人，讓步行道保持通暢。 / 學校推廣禮讓和尊重的文化，以培養學生的良好品德。 / 如果每個人都能夠在生活中實踐禮讓，社會將會更加和諧。 / 在社交場合中，適當的禮讓行為能夠顯示出一個人的修養與氣度。 / 駕駛人禮讓行人，能夠有效降低交通事故的發生率。 / 當遇到年長者時，我們應該主動禮讓座位，表達對他們的尊敬。 / 在團隊合作中，成員之間的禮讓能夠增進彼此的信任和默契。 / 常常禮讓他人的人，往往能夠獲得更多朋友和支持。 / 透過志願服務，我們可以在社會中傳遞禮讓的精神，幫助更多需要幫助的人。 / 在市場上，顧客之間若能夠保持禮讓，將有助於營造良好的購物環境。,va-t/N,駕駛人禮讓 / 互相禮讓 / 禮讓行人 / 禮讓精神 / 禮讓交通 / 禮讓他人 / 社會禮讓 / 禮讓行為 / 禮讓的態度 / 禮讓文化,,,
利刃,5911,鋒利的刀。[例]歹徒雖然手持利刃，但最後還是被英勇的警察制伏。,A sharp blade; a knife with a keen edge.,鋒利的刀。,在美食節上，名廚用利刃輕鬆切割新鮮食材，吸引了眾多觀眾欣賞他的廚藝表演。 / 他總是喜歡在廚房裡用利刃切水果，這樣更能體驗到每種水果的味道。 / 學生們在烹飪課上，學習如何正確使用利刃，以提高自己的廚藝水平。 / 利刃在陽光下閃耀著光芒，似乎在等待著主人來使用。 / 即使是最堅硬的材料，只要用對了利刃，也能輕鬆切割成想要的形狀。 / 利刃出鞘，他心中湧現出勇氣，準備面對即將來臨的挑戰。 / 當他用利刃劈開那塊厚重的肉塊時，令人垂涎的香味立刻彌漫在空氣中。 / 在傳統的武術表演中，武士們巧妙地運用利刃，展現出優美而威猛的動作。 / 利刃的每一次揮動，都充滿了力量與精確，讓人驚嘆於其工藝之美。 / 這位雕刻家用利刃細心雕琢，每一個細節都展現出他的卓越技藝與心血。 / 利刃面對困境，他冷靜思考，找到了解決問題的最佳方法。,n,一把利刃 / 利刃劈開 / 利刃刺入 / 利刃出鞘 / 鋒利的利刃 / 利刃的威力 / 利刃面對困境 / 心中有利刃 / 利刃檢驗 / 利刃對敵,,,
理事,5912,代表公司團體等執行事務者的職稱。[例]榮譽理事、常務理事,"A director or executive in an organization, representing the company or group in the execution of duties.",代表公司或團體執行事務的職稱。,理事會舉行會議，討論下個季度的預算計畫。 / 新任理事負責制定組織的長期發展目標。 / 本次理事會決定增選兩名理事，以強化團隊的專業性。 / 理事們必須定期提交工作報告，確保項目的透明度和有效性。 / 理事的任期為三年，屆滿後需進行重新選舉。 / 理事會正在考慮將部分資金投入到新的社區項目中。 / 為了提高組織的運營效率，理事們決定引入新的管理系統。 / 理事會的定期會議提供了一個良好的平台，讓會員分享他們的意見和建議。 / 理事在會議上強調了合作的重要性，以實現共同的目標。 / 理事會計劃在下一次會議中討論會員的增長策略。 / 理事們一致認為，定期的培訓對於提升團隊的專業技能是必要的。,n,理事會 / 理事長 / 常務理事 / 理事成員 / 理事會議 / 理事任期 / 理事聘任 / 財務理事 / 監事理事 / 理事報告,,,
利他,5913,對他人有利。[例]他一向熱心助人，做了不少利他的事。,Beneficial to others; acting in the interest of others.,對他人有好處的行為或行動。,她總是鼓勵朋友參加志願服務，因為她相信利他的行動能改變社會。 / 在社區活動中，利他的助人精神讓每個人都感受到溫暖。 / 利他的舉動常常能激勵其他人一起參與幫助那些需要的人。 / 學校開設了課程，教導學生如何培養利他的心態，讓他們從小學會關心他人。 / 利他的思想不僅能促進人際關係，還能讓整個社會更加和諧。 / 他們組織了一場義賣活動，所募得的款項將全部捐給需要幫助的孤兒院，展現了利他的精神。 / 在工作中，他經常主動幫助同事解決問題，這種利他的行為讓團隊更加團結。 / 她寫了幾篇文章，分享利他主義的重要性，希望能喚醒更多人關注弱勢群體。 / 利他的舉動不僅能改善他人的生活，也讓施予者感受到深深的滿足和快樂。 / 每年，他們都會策劃一次環保志願行動，鼓勵更多人以利他的方式保護我們的地球。 / 藉著參加不同的社會慈善活動，他逐漸理解到利她所帶來的內心富足感。,n,利他的行為 / 利他的精神 / 利他的舉動 / 利他的心態 / 利他的人 / 利他的思想 / 利他的行動 / 有利他之心 / 培養利他的品質 / 樹立利他的榜樣,,,
離題,5914,偏離主題。[例]寫作文時要緊扣題旨發揮，最忌離題。,Off-topic; straying from the main subject.,偏離主題，不符合原本的論點或方向。,在會議上，如果有人講話離題，會浪費大家的時間。 / 寫作時如果太過離題，讀者可能無法理解你的觀點。 / 他在演講中常常離題，讓聽眾感到困惑和失望。 / 老師提醒學生，寫作文時不要離題，否則會扣分。 / 離題的討論使得整個聚會的氣氛變得尷尬。 / 討論的時候，某些參與者開始離題，導致會議效率大幅降低。 / 在寫論文時，若過於離題，評審可能會質疑你的研究價值。 / 她在面試中離題，使得面試官對她的專業能力產生了疑慮。 / 即使話題引人入勝，但如果總是離題，最終會讓人失去興趣。 / 這部電影的情節雖然精彩，但某些部分明顯離題，讓觀眾感到不適。 / 課堂上，學生們討論得熱烈，但有時會偏離主題，影響了學習進度。 / 如果我們在小組報告中離題，將無法有效傳達我們的主要觀點。,vp-t/N,寫作離題 / 課堂離題 / 主題離題 / 討論離題 / 演講離題 / 思路離題 / 說明離題 / 講話離題 / 評論離題 / 回答離題,,,
力圖,5915,竭力圖謀。[例]力圖振作,To exert oneself to plan or seek; to make every effort to achieve something.,竭力去謀求某個目標或結果。,她在會議上力圖表達自己的看法，希望能影響決策。 / 在這次競賽中，他力圖超越自己，創造個人最佳成績。 / 對於這個問題，他力圖尋找各種解決方案，以便早日解決。 / 每年學校都會舉辦科技展，鼓勵學生力圖展現自己的創意與實驗成果。 / 在面對困難時，她力圖保持冷靜，以理智處理每一個挑戰。 / 政府力圖改善民生，推出多項新政策以提升人民的生活品質。 / 為了推動環保計畫，社區居民力圖組織志願活動，清理河川與公園。 / 他在職場上力圖提升自己的專業技能，以便能夠晉升到更高的職位。 / 在這次翻譯比賽中，選手們力圖做到字斟句酌，確保每一段文字都能準確傳達。 / 球隊在訓練中力圖增強團隊合作，期望在比賽中取得更好的成績。 / 父母對孩子的教育力圖投資時間和精力，希望他們能夠有更美好的未來。,vp-t,力圖提升 / 力圖實現 / 力圖改變 / 力圖達成 / 力圖改善 / 力圖堅持 / 力圖突破 / 力圖珍惜 / 力圖促進 / 力圖平衡,,,
離鄉背井,5916,離開故鄉，在外地生活。[例]逢年過節，離鄉背井的遊子總是格外思念親人。,"To leave one's hometown and live in an unfamiliar place, signifying displacement and homesickness.",離開故鄉，在外地生活。,每年春節，離鄉背井的遊子總是格外思念故鄉。 / 離鄉背井的經歷讓他學會了珍惜與家人相處的時光。 / 縱使生活再艱辛，離鄉背井的日子也讓他變得更加堅強。 / 他在外地工作，每當聽到家鄉的消息，心中都感到離鄉背井的惆悵。 / 離鄉背井的年輕人在外拼搏，希望能夠改變自己的命運。 / 離鄉背井的思念隨著時間愈發強烈，讓她在每個孤獨的夜晚愈加感受到故鄉的牽絆。 / 離鄉背井的經歷使他懂得了友情的重要，因為身邊的朋友成了唯一的依靠。 / 每當看到其他人在家團聚，離鄉背井的她總忍不住感到一陣深深的失落。 / 他常常翻看舊照片，回憶起離鄉背井前的那些美好時光，心中不禁感慨萬千。 / 離鄉背井的他，心中默默祈願，希望未來能夠帶著家人一起回到故鄉。 / 不論走得多遠，離鄉背井的情感始終在心中扎根，讓他無法忘懷那片故土。,idiom,離鄉背井的遊子 / 離鄉背井的思念 / 離鄉背井的生活 / 離鄉背井的心情 / 離鄉背井的日子 / 離鄉背井的回憶 / 離鄉背井的經歷 / 離鄉背井的故事 / 離鄉背井的情緒 / 離鄉背井的年輕人,,,
力行,5917,竭力實踐，努力去做。[例]力行不懈、身體力行,To strive diligently to implement and practice.,竭力實踐某種行為或理念，並努力去做。,我們應該力行保護環境，減少使用一次性塑料產品。 / 教育應鼓勵孩子們力行友善，讓他們學會如何與人和睦相處。 / 領導者的身體力行能夠激勵團隊更加努力向前。 / 企業在推動社會責任時，必須力行透明化，讓消費者信任其業務。 / 身為一名公民，我們需力行遵守法律，以維護社會的和諧與安全。 / 這位作家的新書指出，力行真誠和誠實是建立良好人際關係的基石。 / 在學校裡，老師們力行實踐教育理念，讓學生們能夠更好地理解知識的應用。 / 為了達成健康目標，我們必須力行規律運動和均衡飲食。 / 科技公司力行創新，努力研發新產品以滿足不斷變化的市場需求。 / 社區舉辦活動，鼓勵居民力行志願服務，共同提升生活品質。 / 在挑戰面前，這位運動員力行不懈訓練，最終在比賽中取得了佳績。 / 力行直面困難，才能在逆境中尋找出路，實現自我成長。,va-t,力行不懈 / 力行到底 / 力行信念 / 力行標準 / 力行目標 / 力行任務 / 力行精神 / 力行原則 / 力行措施 / 力行計畫,,,
立意,5918,確立作品的思想、主題。[例]這篇文章立意新穎，堪稱佳作。,To establish the theme or intention of a work.,確立作品的思想和主題。,這篇小說的立意讓讀者反思人性和社會的關係。 / 老師強調文章的立意應該清晰明確，讓讀者容易理解。 / 這幅畫的立意深刻，揭示了生命的脆弱與美麗。 / 在演講比賽中，選手們都努力展示自己立意獨特的觀點，以贏得評委的青睞。 / 這部電影的立意不僅娛樂，還希望傳達家庭的重要性。 / 雖然這篇文章的立意頗具爭議，但仍引發了許多讀者的深思。 / 評委對這位選手的立意表示讚賞，認為他的觀點非常具有啟發性。 / 這首詩的立意雖然簡單，卻能觸動人心，讓人感受到真摯的情感。 / 在課堂上，老師鼓勵學生思考作品的立意，以提升他們的批判性思維能力。 / 這本書的立意宏大，探索了歷史與個人命運交織的複雜性。 / 這篇文章立意新穎，堪稱佳作。,n,立意深刻 / 立意清晰 / 立意明確 / 立意新穎 / 立意獨特 / 立意宏大 / 立意鮮明 / 立意巧妙 / 立意高遠 / 立意完整,,,
利誘,5919,以財物利益引誘他人。[例]威脅利誘,"To entice or lure someone with financial or material benefits, often in a coercive manner.",以財物或利益引誘他人。,他利用金錢的利誘，試圖讓對方改變原本的立場。 / 在一些電影中，黑幫經常使用利誘來招募新成員。 / 在求職面試時，有些人甚至會被狀態良好的職位調動利誘所影響，放棄原本的工作。 / 政治腐敗的根源之一，就是官員們常常受到不法利誘的誘惑。 / 朋友之間的互動，如果僅僅是基於利誘，那麼真誠的友誼將難以維持。 / 利誘的行為往往會導致道德倫理的滑坡，使社會信任感下降。 / 在商業競爭中，某些企業會用利誘的手法吸引客戶，從而獲得更大的市場份額。 / 學校教育應該強調道德價值，而不是讓學生習慣於利誘的方式來獲取成就。 / 社交媒體上，一些用戶常常受到廣告利誘的影響，導致不必要的消費行為。 / 政府在反貪腐的努力中，必須首先消除利誘帶來的負面影響，以建立更清廉的行政環境。 / 當面對利誘時，保持原則和自我約束尤為重要，這樣才能避免陷入道德困境。,va-t/N,利誘他人的方式 / 利誘的動機 / 利誘的行為 / 被利誘的人 / 利誘的後果 / 利誘與威脅 / 利誘的影響 / 利誘金錢 / 利誘的手法 / 利誘的結果,,,
立於,5920,,To stand or be situated in a specific position or state.,「立於」指的是在某個地方或狀態上立足，通常用來表示某個位置或狀況的存在。,在這個充滿競爭的市場中，唯有堅守原則，才能立於不敗之地。 / 在選擇職業的時候，我們需要立於自己的興趣與專長之上，才能找到真正適合的位置。 / 這家公司在行業內立於領先地位，持續創新以維持競爭優勢。 / 他在辭職後，隨即倒立於失業的風險之上，勇敢追求自己的夢想。 / 學校希望學生能夠立於诚信之上，讓彼此之間的關係更加信任。 / 在這個瞬息萬變的科技時代，企業若想持續發展，就必須立於創新與變革之上。 / 面對生活中的困難，我們要學會立於堅強的信念之下，勇敢面對挑戰。 / 為了能在學術界立於一席之地，他不斷努力發表研究論文，提升自己的專業形象。 / 在追求幸福的旅程中，人們應該立於自身的價值觀之內，才能找到真正的快樂。 / 當社會環境不斷變化，政策制定者必須立於公平與正義的基礎上，以維護社會的和諧。 / 藝術家創作時，常常立於情感的深處，將內心的感受真實地傳達給觀眾。,prep,立於不敗之地 / 立於中心 / 立於歷史 / 立於真理 / 立於原則 / 立於道德 / 立於選擇 / 立於現實 / 立於風口浪尖 / 立於時代,,,
鯉魚,5921,動物名。鯉目鯉科。體長，側扁而肥，被銀鱗，體表呈網狀紋。口內無齒，前端有二對鬚。雜食性，產在淡水水域中，肉質鮮美。　△鯉魚,"A type of freshwater fish belonging to the carp family, characterized by a long, laterally flattened, and plump body covered in silver scales, with a network-like pattern on its surface. It has a toothless mouth with two pairs of whiskers at the front. It is omnivorous and known for its delicious meat.",動物名。屬於鯉目鯉科。體長，側扁而肥，表面有銀色魚鱗，呈網狀紋。口內無齒，前端有兩對鬚。雜食性，生活在淡水水域中，肉質鮮美。,淡水河裡有很多活潑的鯉魚，讓孩子們樂在其中。 / 在傳統的中秋節，很多家庭會準備鯉魚，象徵著年年有餘。 / 鯉魚的肉質鮮美，深受許多人的喜愛，是餐桌上的一道佳餚。 / 有人說，鯉魚跳龍門的故事是勉勵人們努力奮鬥的佳話。 / 鯉魚在水中游來游去，展現出優雅的姿態。 / 鯉魚通常在春季開始產卵，這是一個重要的繁殖季節。 / 每當夏天來臨時，街頭小販總會賣一些鯉魚，多數人喜歡用來煮湯。 / 餐廳的招牌菜是紅燒鯉魚，顧客們經常為這道菜讚不絕口。 / 這個湖泊裡的鯉魚，因為環境優越而長得格外肥美。 / 在古代，鯉魚被視為吉祥的象徵，常常出現在詩詞中。 / 一條鯉魚在池塘裡悠閒地游動，給這個安靜的午後增添了一絲生氣。,n,一條鯉魚 / 鯉魚池 / 鯉魚湯 / 鯉魚養殖 / 鯉魚跳龍門 / 鯉魚釣魚 / 鯉魚市場 / 鯉魚餵食 / 鯉魚習性 / 鯉魚鮮美,,,
禮遇,5922,以優厚的禮節相待。[例]我國元首出訪邦交國時，備受禮遇。,"To treat someone with respect and courtesy, often in a preferential manner.",以優厚的禮節相待，通常用於對重要人物或特定情況。,外交官在出任務時，通常會受到禮遇以展示國家的尊重。 / 在國慶典禮上，獲得的嘉賓受到特別的禮遇令人感到自豪。 / 這位著名藝術家在城市展覽中，受到當地居民的禮遇，大家都熱情地表達對他的敬意。 / 在費城的香格里拉飯店，我們受到了特殊的禮遇，工作人員給我們安排了最好的房間，還提供了精緻的水果和飲品。 / 學校對於優秀的職業發展顧問給予特別的禮遇，以鼓勵學生追求卓越的社會榮譽。 / 在和國際友人交流時，我們應該以禮遇相待，彰顯文化的友好與尊重。 / 無論是哪位貴客到訪，酒店都會準備周到的禮遇，以讓他們感受到賓至如歸的氛圍。 / 在年度頒獎典禮上，獲得獎項的優秀員工受到公司高層的禮遇，充分肯定了他們的努力與貢獻。 / 對於參加慈善活動的志願者，組織方特別準備了感謝禮遇，以表達對他們無私奉獻的敬意。 / 在國際會議上，代表團受到的禮遇顯示了主辦國對於合作夥伴的重視與尊重。 / 為了提升文化交流，博物館對於海外學者的研究訪問給予了充分的禮遇，期望能夠促進更加深入的合作。,n,受到禮遇 / 給予禮遇 / 獲得禮遇 / 特殊禮遇 / 禮遇的對象 / 以禮遇相待 / 公正的禮遇 / 充分的禮遇 / 嚴格的禮遇 / 禮遇及尊重,,,"費城, 嘉賓, 相待, 飲, 賓至如, 香格里拉, 交官, 國慶"
