number,old_definition,word,definition,translation,example_sentences,part_of_speech,collocations,problematic_words
2709,可當食物使用或可以吃的。[例]食用油、食用色素,食用,可當作食物使用或可以吃的。,Edible; Suitable for consumption as food.,市面上有許多不同種類的食用油，每種油的用途和健康效果都不相同。 / 食用鹽的基本功用是調味，但過量攝取可能對健康造成影響。 / 這種食用色素是天然的，可以安全地用來裝飾蛋糕。 / 這些食用菌不但好吃，還有很多營養，對身體非常有幫助。 / 我們在烹飪時，常常使用食用醋來增添菜肴的酸味和層次感。 / 這道菜的食材中包含了各種食用香料，讓整體風味更加立體。,vs-t,食用油 / 食用鹽 / 食用色素 / 食用魚 / 食用醋 / 食用香料,"菜肴, 香料, 酸味, 菌, 色素, 感"
2709,吃或飲。[例]這些蔬菜都是通過安全檢驗的，大家可以安心食用。,食用,吃或喝的行為，通常指將食物或飲料攝取進入身體。,To be safe for consumption; to eat or drink.,這些農產品都經過檢驗，確保每個人都可以安全食用。 / 魚如果沒有正確處理，可能會對人體健康造成危害，不建議食用。 / 當地市場販賣的泡菜都是按照傳統方法製作，適合直接食用。 / 食用過量的鹽分可能會對身體造成負擔，因此在調味時要適量。 / 該餐廳的食材來源透明，顧客可以放心食用，不必擔心食物安全問題。 / 餐廳每天都會更新菜單，以確保提供的新鮮食材可以立即食用。,va-t/N,安全食用 / 食用安全 / 食用期限 / 食用習慣 / 食用食品 / 食用成分,"適量, 鹽分"
2710,飲食的慾望。[例]適當的運動可以促進食慾。,食慾/食欲,飲食的慾望。,Desire or appetite for food.,他今天食慾不振，可能是因為昨晚熬夜影響了他的身體狀況。 / 昨晚看了一部美食紀錄片後，我的食慾變得特別旺盛，差點吃了兩份晚餐。 / 朋友邀請我共進晚餐，這讓我原本不太想吃的食慾也瞬間回升了。,n,食慾不振 / 食慾旺盛 / 控制食慾,"振, 昨晚, 回升, 隨"
2711,實際作戰。如：「他有實戰經驗。」、「為提升業務人員商業談判的實戰能力，公司特別設計了許多訓練課程。」,實戰,實際參與戰鬥或重大活動的經驗，通常用於描述某人在特定領域中的真實經歷。,Actual combat; real combat experience.,為了提升團隊的實戰能力，公司安排了員工參加模擬演練。 / 專家建議，實戰訓練與理論知識並重，才能培養出優秀的專業人才。 / 在程式設計賽中，實戰技巧能夠幫助選手快速解決問題，提升比賽的競爭力。 / 軍隊的實戰演練讓士兵們面對各種突發狀況，以提升他們的適應能力和戰鬥意志。 / 為了讓學生更好地理解理論，教師設計了與實戰相符合的課程，提升學習的趣味性和實用性。 / 行銷專家強調，實戰經驗比任何書本知識都來得更有效，因為它能直接反映市場的動態。,n,實戰經驗 / 實戰訓練 / 實戰能力 / 實戰技巧 / 實戰演練 / 實戰模擬,"賽, 得, 實, 相"
2712,發揮、展露。[例]他甫自學校畢業，滿懷熱忱的希望在工作崗位上施展抱負與才能。,施展,發揮自己的才能或本領，讓他人看見。,To display or exert one's abilities or ambitions.,在科技展上，年輕的發明家們積極施展創意，展示他們的創新產品。 / 她利用舞台表演施展魅力，成功吸引了眾多觀眾的目光。 / 這位學生希望在比賽中施展實力，為自己的學校爭光。 / 在音樂會上，樂手們施展技藝，讓聽眾感受到音樂的魅力與力量。 / 青年運動員在比賽中施展潛能，挑戰自我，爭取更好的成績。 / 這名作家希望在文學界施展才華，創作出讓人感動的故事。,va-t,施展才華 / 施展潛能 / 施展實力 / 施展魅力 / 施展抱負 / 施展技藝,"爭光, 樂, 展"
2713,奉命出使的人。[例]漢武帝派張騫為使者，前往西域諸國促進邦誼。,使者,奉命前往他處，代表某個人或團體進行特定任務的人。,A messenger or envoy; a person sent on a mission.,國王派遣使者去另一個國家，討論和平條約的細節。 / 這位使者的到來，讓雙方的緊張關係得以緩和。 / 國王派出了一位重要的使者，前往尋求與其他國家的合作。 / 使者在路途中遇到壯麗的自然景色，卻始終未忘使命在身。 / 這次使者之行將成為歷史上的一個轉折點，影響深遠。 / 擔任使者的他，背負著兩國人民的期望，努力促進友好交流。,n,重要的使者 / 使者的使命 / 任命使者 / 使者的工作 / 使者的任務 / 擔任使者,壯麗
2714,實際證明。[例]近代對於宇宙的種種現象都以實證的方式來解釋。,實證,實際的證據，用來證明某種情況或現象。,"Empirical evidence; referring to evidence or proof derived from observation, experimentation, or real-world experience.",實證分析讓我們看到了經濟政策對民生的直接影響。 / 實證方法在心理學研究中扮演著關鍵角色，幫助我們探索人類行為的真實動機。 / 決策者應該重視實證數據，這樣才能制定出更合理的政策。,n,實證研究 / 實證數據 / 實證方法 / 實證分析 / 實證支持 / 基於實證,療法
2715,本質，實在的內容。[例]這兩件事表面上雖然不一樣，實質上卻是相同的。,實質,本質是真正的性質，實,Essential; highlighting the core or inherent nature of something.,看起來這兩個計畫差別很大，實質內容卻幾乎是一樣的。 / 一個人的外表和言談舉止雖然可能會影響他人的印象，但實質上更重要的是他的內在品質。 / 在評估這項政策時，我們需要仔細分析其實質影響，以確保它能有效解決問題。 / 要真正理解這部作品，必須探討其背後的實質意義，而不僅僅是表面的故事情節。,n,實質內容 / 實質問題 / 實質影響 / 實質合作 / 實質差異 / 實質進展,言談
2716,第二個手指頭。[例]她的食指上戴了一枚藍寶石戒指。　△二拇指、二指,食指,第二個手指頭，位於拇指和中指之間。,The second finger of the hand; also known as the index finger.,她用食指輕觸著那件美麗的藝術品，不敢用力碰撞。 / 食指在書寫時扮演著重要的角色，幫助我們更精確地控制筆的位置。 / 她的食指上戴著一枚華麗的食指戒指，引人注目。 / 在學校，老師常常提醒學生要用食指做出正確的手勢，表達自己的想法。 / 食指在書寫時扮演著重要的角色，幫助我們更精確地控制筆的位置。 / 在比賽中，運動員們用食指輕輕撥動球，展現出他們的高超技術。,n,食指的動作 / 用食指指向 / 食指的靈活度 / 食指的肌肉 / 食指的功能 / 食指輕觸,"指向, 觸, 撥動"
2717,正好，沒有太過或不及。[例]這裡地點適中，他考慮在附近購置房屋。,適中,正好，沒有過多或不足。,Moderate; just right; not excessive or insufficient.,這道菜的鹽分適中，不會太鹹也不會淡。 / 我覺得這部電影的節奏適中，不會讓人感到無聊或焦急。 / 在這次聚會中，食物的份量適中，讓每個人都能吃得很開心。 / 這篇文章的內容適中，既有深度又不會讓讀者感到困難。 / 他的運動量適中，每天都能保持健康而不過於疲憊。 / 場地的大小適中，既能容納足夠的客人，又不會讓人感到擁擠。,vs-i,距離適中 / 份量適中 / 氣候適中 / 體重適中 / 環境適中 / 位置適中,"份量, 鹽分, 既, 足, 運動量"
2718,羅馬帝國時代的一種刑具。為十字形木架，把人的雙手雙腳釘在上面，使其慢慢死去。據《新約全書》記載，耶穌基督被釘在十字架上受難至死以救贖世人，因此，基督徒就以十字架代表基督本身或對基督教的信仰，亦是光明希望的象徵。[例]她指著胸前的十字架，表明自己是個虔誠的基督徒。,十字架,一種形狀為十字的物件，通常用來宗教儀式或作為信仰的象徵，起初是用來處死罪犯。,"A Roman Empire-era instrument of torture, consisting of a wooden frame in the shape of a cross, where a person's hands and feet are nailed, leading to a slow death. According to the New Testament, Jesus Christ was crucified on the cross, suffering to redeem humanity. Therefore, Christians use the cross to represent Christ himself or their faith in Christianity, making it a symbol of light and hope.",在復活節的慶祝活動中，大家會一起唱讚美十字架的歌曲。 / 在藝術展覽中，有一幅畫描繪了耶穌被釘在十字架上的情景，讓人深思。 / 這位神父在講道時提到十字架的意義，提醒信徒要珍惜救贖的恩典。 / 她在書店裡找到一本關於十字架歷史的書，決定深入了解基督教文化。 / 在紀念日的儀式上，參加者們共同祈禱，默默思念那些為信仰犧牲的人們，心中懷抱著十字架的象徵。 / 在社區活動中，志工們製作了手工十字架，來傳遞愛與希望的訊息。,n,被釘在十字架上 / 崇拜十字架 / 神聖的十字架 / 在十字架上 / 十字架的象徵 / 以十字架為信仰,"恩典, 耶穌, 紀念日, 講道"
2719,農作物的收穫。[例]強烈颱風登陸將嚴重影響稻穀、蔬果的收成。,收成,農作物的收穫結果。,Harvest; The yield or crop collected from agriculture.,雖然天氣多變，果樹的收成還是有不錯的表現。 / 去年因為乾旱，許多農田的收成受到嚴重影響。 / 好的農業技術能有效提高農作物的收成。 / 農會計劃舉辦一個展覽，展示今年的收成成果。 / 政府推出了一些新政策，旨在幫助農民改善收成。 / 隨著科技的進步，農作物的收成預測變得越來越準確。,n,一年的收成 / 農作物的收成 / 收成的季節 / 收成不佳 / 影響收成 / 改善收成,"農, 農田, 果樹, 旨"
2720,遭受挫折。[例]雖然在這次聯考受挫，他卻毫不氣餒，準備明年再來。,受挫,遭遇到困難或挫折。,To suffer a setback or disappointment.,在籃球賽中，他因為受挫而感到非常沮喪。 / 雖然這次的計畫受挫，但團隊並沒有放棄，還是繼續努力。 / 學生在考試中受挫，讓他們開始思考更有效的學習方法。 / 在與朋友的關係中，受挫的經歷讓他變得更加珍惜真誠的友誼。 / 雖然事業一度受挫，但他的堅持最終讓他獲得了更多的機會。 / 在學習外語的過程中，遇到困難而受挫是常有的事，但這也促使她更加努力。,vp-i,持續受挫 / 一度受挫 / 受挫的經驗 / 受挫的情緒 / 在受挫中成長 / 受挫的原因,籃球賽
2721,遵守法律或規章。[例]奉公守法,守法,遵守法律，行為符合規定。,To abide by the law.,社會各界應該共同努力，提高公眾的守法意識。 / 忽視交通規則會導致事故，大家應該自覺守法，保護自己和他人的安全。 / 堅持守法是每位公民應有的責任，這樣才能共同維護社會的和諧。 / 為了營造良好的商業環境，企業必須遵循相關的法律規範，守法經營。 / 法律教育在青少年成長過程中扮演著重要角色，有助於他們從小建立守法的觀念。 / 提倡守法行為，不僅能提升個人形象，也能增進家庭和社會的信任感。,va-i/N,嚴格守法 / 提倡守法 / 守法的重要性 / 守法精神 / 守法自律 / 堅持守法,"有助, 感"
2722,技巧、方法。[例]她彈琴的手法與眾不同，獨樹一格。,手法,技巧和方法的總稱，通常指做某事的方式和能力。,A technique or method.,這位藝術家運用獨特的手法，讓他的作品充滿了生命力。 / 在這部電影裡，導演的敘事手法讓觀眾感受到了一種全新的體驗。 / 這本書介紹了許多提高寫作技巧的有效手法，對於想成為作家的讀者來說非常實用。 / 這位演講者運用了高明的手法，成功地吸引了全場觀眾的注意力。 / 這位教師採用多樣的手法來教學，使得學生對課程產生濃厚的興趣。 / 音樂家在演出時運用獨特的手法，讓每一個音符都充滿了情感。,n,獨特的手法 / 高明的手法 / 出色的手法 / 熟練的手法 / 專業的手法 / 多樣的手法,"全新, 音符, 敘事, 稱"
2723,把已失去的收回來，多指奪回土地。[例]收復失地、收復國土,收復,把已經失去的東西重新拿回來，通常指奪回土地。,"To reclaim or retrieve something that was lost, particularly referring to regaining territory.",這位外交官的出色表現使國家在談判中順利收復了一部分財產權。 / 老一輩的革命先烈為了收復國土，付出了昂貴的代價，國民應該記住他們的奉獻。 / 在接連數月的和平談判之後，雙方終於達成協議，讓這個國家收復了部分資源。 / 這場運動不僅是體育競賽，更是年輕一代收復榮譽的象徵，激勵著無數人努力拼搏。 / 該公司透過創新和提升品質，成功收復了在市場上流失的顧客群。 / 在社區的共同努力下，居民們收復了昔日繁榮的商業區，顯示了團結的力量。,va-t,收復國土 / 收復失地 / 收復榮譽 / 收復資源 / 收復主權 / 收復信心,"奪回, 記住, 主權, 交官, 拿回, 財產權, 搏, 失"
2724,親手所寫的文稿。[例]這篇詩作經專家鑑定確是張大師的手稿。,手稿,親手寫的文章或書籍的原本。,A manuscript; a document written by hand.,這位作家的手稿經過多次修訂，終於完成。 / 編輯在審核手稿時，發現了幾處錯誤需要修正。 / 我在圖書館發現了一份珍貴的手稿，記錄著古代的歷史。 / 他將一份手稿交給出版社，希望能夠早日發行。 / 這位詩人的手稿中隱藏著許多深刻的情感和思考。 / 這位歷史學家的手稿提供了對於那段時期的新見解。,n,一份手稿 / 完整手稿 / 保存手稿 / 獲得手稿 / 作品手稿 / 修訂手稿,
2725,收買購置。[例]他到處收購土地，準備興建住宅，出售圖利。,收購,購買及合併某物，通常是大宗交易。,"To buy or acquire, often in a manner that suggests control or manipulation.",這家公司決定收購當地的一家小型企業，以擴大市場份額。 / 鑒於市場的不景氣，投資者開始尋找低於市價的資產來進行收購。 / 收購的談判過程中，雙方針對價格和條件展開了激烈的討論。 / 由於收購計畫的推進，股東們對公司的未來發展充滿期待。 / 收購協議的簽署儀式在豪華的酒店舉行，吸引了眾多媒體的關注。 / 當地政府對這筆大額收購表示歡迎，認為這將促進區域經濟的發展。,va-t/N,收購土地 / 收購公司 / 收購價格 / 收購交易 / 收購條件 / 收購協議,"額, 型, 鑒"
2726,手和腳。即四肢。[例]今天天氣冷得我的手腳都凍僵了。,手腳,手和腳，指的是四肢。,Hands and feet; referring to the limbs.,這個冬天太冷了，讓我的手腳都覺得冰冷無法動彈。 / 晚上的時候，我的手腳常常感到麻木，不知道是不是血液循環不良。 / 他學習游泳時，手腳的協調動作需要多加練習，才會游得更加輕鬆。 / 他的手腳非常靈活，彷彿能夠隨心所欲地操控每個動作。 / 她常常在鍛鍊後感到手腳酸痛，但這讓她覺得很有成就感。 / 他在學習舞蹈時，發現手腳的協調性對於動作的流暢性非常重要。,n,手腳不靈活 / 疼痛的手腳 / 受傷的手腳 / 手腳並用 / 手腳的協調 / 手腳發麻,"良, 肢, 酸痛"
2726,詭計，暗中耍弄的手段。[例]這筆帳恐怕是有人動了手腳，才會發生問題。,手腳,詭計或暗中耍弄的手段。,A scheme or deceitful trick; refers to underhanded methods used to manipulate or gain an advantage.,這家公司最近被指控在財報中做了手腳，引發投資者的關注。 / 在這次投標中，有公司被懷疑動手腳，導致評選結果受到質疑。 / 居民發現社區監控中出現了可疑人物，懷疑他們在某些地方做了手腳。 / 近期，有報導指出某些網紅為了提高流量，竟然在數據上做了手腳。 / 他們在調查中發現，文件裡面有改動的痕跡，顯然有人動了手腳。 / 隨著調查的深入，專家們發現市場上有些產品的成分標示存在做手腳的情況。,n,動手腳的手法 / 做手腳的行為 / 背後做手腳 / 動了手腳 / 做了手腳 / 暗中手腳,"改動, 近期, 投標, 流量, 財報, 評選"
2727,因襲舊法而不變通。[例]活在現代的社會裡，我們不能一味守舊而不知創新。,守舊,因襲舊有的事物而不做改變，不願意接受新事物。,Old-fashioned; sticking to traditional methods and unwilling to change.,學校的課程改革受到守舊派教師的阻礙，讓學生難以接觸到新知識。 / 在這個快速變化的時代，仍然堅持守舊的商業模式，使得公司面臨巨大的競爭壓力。 / 這部電影批評了守舊的家庭觀念，提倡更開放和包容的關係。 / 守舊的觀念常常使人難以接受新興的科技，影響了生活的便利性。 / 在當前資訊爆炸的年代，守舊的教育方法已難以滿足學生的需求。 / 這個政黨因堅持守舊的政策，導致年輕選民對其失去信心。,n,守舊的觀念 / 守舊的思想 / 守舊的做法 / 守舊的態度 / 守舊的人 / 一味守舊,"因, 襲"
2728,講授課業。[例]他授課十分認真，內容精闢，贏得許多學生的愛戴。,授課,傳授知識和技能給學生。,To teach or lecture in a formal educational setting.,他的授課方式非常有趣，讓學生們都很投入學習。 / 授課過程中，老師會不時檢查學生的理解情況，確保每個人都跟上進度。 / 在線授課的方式讓更多學生能夠方便地接受到優質的教育資源。 / 他的授課內容涵蓋了許多實用的技能，對學生將來的職業發展非常有幫助。 / 雖然今天的授課主題比較難，但老師用心的講解讓學生感到不再畏懼。 / 每週的授課後，學生們會收到一份回顧資料，幫助他們複習所學的知識。,va-t,在線授課 / 定期授課 / 認真授課 / 課堂上授課 / 授課內容 / 授課計畫,優質
2729,領袖、領導人。[例]張角是東漢黃巾之亂的首領。,首領,領袖或領導人，通常指在某個組織或群體中，擔任最高或主要位子的人。,A leader or chief; a person in charge or at the forefront of a group or organization.,在這場危機中，團隊的首領冷靜地指揮著大家應對困難。 / 古代的部落首領通常擁有巨大的權力和影響力。 / 在選舉期間，候選人們展現了他們作為未來首領的願景與抱負。 / 軍隊的首領在戰鬥中展現了非凡的勇氣與智慧，鼓舞士氣。 / 在企業中，首領的決策將直接影響公司的發展方向與員工士氣。 / 社會運動的首領致力於推動公平正義，為弱勢發聲。,n,政治首領 / 軍隊的首領 / 組織的首領 / 地方首領 / 叛軍的首領 / 強大的首領,"叛軍, 士氣"
2730,收容留置。[例]這所孤兒院收留了許多無家可歸的幼童，使他們免於流落街頭。,收留,收容並留住某人或某物，通常是出於同情或需要。,To provide shelter or care for someone in need; to receive or take in.,這對夫婦非常有愛心，他們每年都會收留幾個需要關懷的孤兒。 / 在災難發生後，許多志願者都主動提出要收留那些失去家園的人。 / 收留流浪犬的庇護所，給它們提供了一個安全舒適的生活環境。 / 他們的農場收留了一些被遺棄的動物，讓每一個生命都有機會重新開始。 / 這個社區成立了專門的協會，專門為需要幫助的無家可歸者提供收留服務。 / 收留受虐兒童的安置中心，努力為他們創造一個安全的成長環境。,va-t,收留孤兒 / 收留流浪犬 / 收留無家可歸者 / 收留身心障礙者 / 收留難民 / 收留受傷動物,"受虐, 庇護, 物, 留住"
2731,將文字或聲音等加以收集記錄。[例]這本小說選輯共收錄了十位作家的作品。,收錄,將文字或聲音等加以收集並記錄下來。,"To compile or include selected works, texts, or recordings.",這本書收錄了許多珍貴的歷史照片，讓讀者更能理解當時的情況。 / 這個唱片集收錄的歌曲都非常經典，每首歌都有它獨特的故事。 / 這部紀錄片中收錄的訪談，讓觀眾更加深入地了解這位藝術家的創作過程。 / 展覽中收錄的作品，都是來自當代最有影響力的藝術家。 / 這本食譜收錄了來自世界各地的美味料理，讓人們在家也能享受異國風味。 / 這部電影的特別版收錄了許多未公開的片段，讓影迷們大飽眼福。,va-t,收錄的作品 / 收錄的文章 / 收錄的歌曲 / 收錄的內容 / 收錄的影像 / 收錄的詩詞,"詩詞, 眼福, 食譜"
2732,用錢財或利益買通人，使受利用。[例]你要看清他的真面目，別被他收買了。,收買,用金錢或利益買通某人，讓其為自己服務。,To buy off or bribe someone with money or benefits.,他試圖用金錢收買那些反對他的聲音。 / 收買選票是一種不道德的手段，應受到譴責。 / 他用巨額資金收買媒體，隱瞞自己的醜聞。 / 有人懷疑這位商人在政治上收買官員，以獲得更大利益。 / 收買人心的方式往往會影響社會的公正與公平。 / 在商業競爭中，某些公司不惜收買對手的高管，以削弱競爭壓力。,va-t,收買人心 / 收買選票 / 收買官員 / 收買媒體 / 收買支持 / 收買公眾的信任,巨額
2733,手絹、手巾。[例]奶奶被電視劇情感動得頻頻以手帕拭淚。,手帕,用來擦手或擦臉的小巾。,A handkerchief; a piece of cloth used for wiping hands or face.,「我在朋友的婚禮上看到一位老奶奶用手帕擦拭淚水，十分感動。」 / 「今天外面天氣很熱，我的額頭冒了許多汗，只好用手帕擦一擦。」 / 「她常常隨身攜帶一條手帕，以備不時之需。」 / 「他在圖書館裡看到一位同學專心讀書，旁邊放著一條手帕，顯得格外專注。」 / 「這個手帕的顏色很特別，我一眼就看中了，準備買下來。」 / 「我喜歡收藏手帕，每一條都有不同的故事和回憶。」,n,一條手帕 / 乾淨的手帕 / 拿出手帕 / 用手帕擦拭 / 隨身的手帕 / 有花紋的手帕,"巾, 備"
2734,指槍管短，槍型較為袖珍的槍。可用單手持拿，便於射擊及攜帶。種類甚多，著名的有左輪、白朗寧等。[例]警方根據密報，從他身上搜出一把來路不明的手槍。,手槍,指槍管短、槍型較為袖珍的槍。通常可以單手持拿，方便射擊及攜帶。,A handgun; A firearm with a short barrel and designed to be held and fired with one hand.,警方在現場發現了一把可疑的手槍，讓人擔心是否有犯罪事件發生。 / 隨身手槍的使用在某些國家是受到法律限制的，民眾必須遵循相關規定。 / 這款新型手槍具備高精度和輕量化的設計，適合長時間攜帶。 / 在黑市上，買賣手槍的交易十分頻繁，讓執法機關非常頭痛。 / 最近的報告指出，非法持有手槍的人數逐年上升，社會治安面臨挑戰。 / 在電影中，主角經常使用手槍來解決危機，這引起了觀眾的緊張感。,n,一把手槍 / 新型手槍 / 手槍射擊 / 手槍的使用 / 手槍的保養 / 攜帶手槍,"警, 較為, 袖珍, 持有, 輕量, 黑市, 新型, 槍管, 型"
