word,number,old_definition,translation,definition,example_sentences,part_of_speech,collocations,pinyin,zhuyin,problematic_words
奧祕 / 奧秘,20,,A deep and profound mystery or secret.,難以理解的事情或現象，通常需要特別的知識才能懂,這本書的奧秘隱藏在每一章的結尾。 / 科學家一直在破解宇宙的奧秘，現代物理學的體系就是這樣形成的。 / 這個表演中隱藏的奧秘讓到場欣賞的觀眾震撼不已。 / 大自然的奧秘常常讓人感到敬畏。 / 每次旅行所看到的風景都讓我體會到生活的奧秘。 / 探索世界的奧祕是每個人都應該追求的目標。,N,一個奧祕 / 世界的奧祕 / 神奇的奧祕 / 探索奧祕 / 生活的奧祕 / 心靈奧秘,àomì,ㄠˋ ㄇㄧˋ,
懊惱,21,,To feel remorseful and melancholic due to regret or guilt.,心中感到後悔和不快，因為做了錯誤的事情或是遭遇不如意的情況。,他因為忘記今天要考試而感到懊惱。 / 對於自己做出的錯誤選擇，她總是懊惱不已。 / 這次國際談判失敗讓身為外交人員的他懊惱了一整天。 / 在回家的路上，他對自己的說錯話感到非常懊惱。 / 我常常懊惱自己為什麼當初沒有學好英語。 / 她因為失敗而感到懊惱，心裡不停責備自己。,Vs-adj,懊惱不已 / 感到懊惱 / 令人懊惱 / 懊惱後悔 / 懊惱自己 / 懊惱情緒,àonǎo,ㄠˋㄋㄠˇ,
霸道,22,,Arrogant and unreasonable.,性格粗暴，行為不講道理，喜歡強迫別人，缺乏尊重。,如果一個人對待他人總是太霸道，朋友會漸漸疏遠他。 / 她在家裡非常霸道，總是想控制兄弟姐妹的行為。 / 我家鄰居非常霸道，常常佔據公共停車位，如果有人不小心停了那個位子，還會被他恐嚇。 / 許多人對於政府徵收土地的霸道行為提出抗議，要求回歸民主法治。 / 在電影中，壞人經常使用霸道的手段來達成自己的目的，好人總是拿他們一點辦法也沒有，這種情節讓人看了很無力。 / 他的霸道行為使同事們感到十分不安。,Vs-adj,霸道行為 / 表現霸道 / 過於霸道 / 十分霸道 / 霸道手段 / 霸道態度,bàdào,ㄅㄚˋ ㄉㄠˋ,
八卦,23,,"To gossip, gossip or nosy.",（新詞）討論別人的秘密或私事。,聽說他們最近分手了，在公司裡已經傳開了這個八卦。 / 我真的不喜歡聽別人八卦，覺得很浪費時間。 / 八卦報紙的頭條常常是名人的感情生活。 / 他每天中午都要說一些同事的八卦，好像沒有更重要的事情可以做。 / 他們倆的感情狀況一直是大家八卦的話題，總有人在討論。 / 他今天在咖啡廳聽八卦，聽說了很多有趣的故事。,N / Va-i / Vs-adj,八卦報紙 / 喜歡八卦 / 聽八卦 / 說八卦 / 八卦話題 / 非常八卦,bāguà,ㄅㄚ ㄍㄨㄚˋ,
八卦,23,,"The eight symbols in the ""I Ching.""",一種由八個基本符號組成的系統，這些符號代表八種自然現象，通常用來解釋事物變化和人際關係。,這本書介紹了八卦的基本概念和歷史。 / 他用八卦圖來解釋自然的變化。 / 在中國傳統文化中，八卦被用來預測事件的發展。 / 許多風水大師會根據八卦的理論來選擇好的建築位置。 / 透過學習八卦，我們可以理解古代人如何建構宇宙的法則。 / 根據八卦的理論，我們可以分析這個事件的背後原因。,N,研究八卦 / 傳統八卦 / 八卦原理 / 根據八卦 / 八卦圖 / 學習八卦,bāguà,ㄅㄚ ㄍㄨㄚ,
疤痕,24,,A scar.,傷口癒合後留下的痕跡。,他在運動時不小心跌倒，膝蓋上留下了一道疤痕。 / 醫生告訴她，這疤痕會隨著時間變淡。 / 她的臉上有一道明顯的疤痕，是一次意外造成的。 / 即使身上有疤痕，這也是我生命中不可或缺的一部分。 / 有些人會選擇做手術來改善面積過大的疤痕。 / 他的手腕上留下了一道疤痕，提醒著他那次意外的經歷。,N,一道疤痕 / 身上的疤痕 / 疤痕顏色 / 疤痕變淡 / 留下疤痕 / 疤痕治療,bāhén,ㄅㄚ ㄏㄣ,
罷休,25,,To stop or cease; to give up or call it off.,停止或中止某種行為或狀態。,他對這件事情不會罷休，一定要找到真相。 / 如果你希望成功，就不能在遇到困難時便罷休。 / 記者們堵在公關公司門口，他們宣稱直到醜聞主角出面說明，他們才會罷休。 / 他發誓要為朋友報仇，絕不罷休。 / 這件事牽涉到太多人的利益，他們絕對不會輕易罷休。 / 他對於這件事情絕不罷休，直到找到真相為止。,Va-i,絕對不罷休 / 永不罷休 / 不輕易罷休 / 不肯罷休 / 難以罷休 / 便罷休,bàxiū,ㄅㄚˋ ㄒㄧㄡ,
巴掌,26,,"The palm of the hand, usually referring to a slap or slapping.",手的掌部，通常指的是「打耳光」。,他不小心說錯話，結果被他的對象狠狠甩了一個巴掌。 / 老闆的臉色突然變得很難看，好像被人打了一個巴掌似的。 / 她的臉只有巴掌大，看起來非常年輕。 / 他的謊言被大家知道以後，他的臉頰紅得像被打了一個巴掌一樣。 / 他對她冷淡的態度，讓她突然感覺到像一個冰冷的巴掌打在臉上，讓她瞬間清醒過來。 / 他用力打了自己一個巴掌，對自己的粗心大意十分惱怒。,N,打巴掌 / 甩巴掌 / 拍巴掌 / 巴掌大 / 一個巴掌 / 捏巴掌,bāzhǎng,ㄅㄚ ㄓㄤˇ,
白白,27,,In vain; for no reason or without justification.,沒有得到任何收穫，表示浪費了時間或努力。,父母讓她去補習，但她卻不斷翹課，白白浪費了龐大的補習費用。 / 我們努力工作就是希望能有所收穫，不能只是白白付出。 / 我白白等了他兩個小時，他最後竟然告訴我他不能來。 / 那個計畫白白浪費了大家三個月的時間，最後卻沒有通過。 / 他不聽前輩的勸告，最終白白遭受了損失。 / 如果不努力學習，我們就會白白失去機會。,Adv,白白浪費 / 白白付出 / 白白犧牲 / 白白失去機會 / 白白等待 / 白白努力,báibái,ㄅㄞˊㄅㄞˊ,
白癡 / 白痴,28,,A fool; an idiot; a person lacking intelligence or common sense.,指智力低下或缺乏常識的人,我真是個白癡，居然把手機放在冰箱裡。 / 別叫他去參加比賽，他的表現讓人覺得像個白癡。 / 叫別人「白癡」是非常沒有禮貌的行為，千萬不要這麼做。 / 她看我已經生氣了，卻還笑著說我像個白癡。 / 有些人對自己太自信，做出的決定反而讓自己看起來像白癡。 / 叫別人「白癡」是非常沒有禮貌的行為，千萬不要這麼做。,N,一個白癡 / 被當成白癡 / 變成白癡 / 像個白癡 / 叫人白癡 / 太陽白癡,báichī,ㄅㄞˊㄔ,
白癡 / 白痴,28,,Foolish or lacking intelligence.,行為愚蠢或缺乏思考。,他總是做出一些很白癡事情，讓人不知如何反應。 / 你這樣問實在有點白癡大家都已經知道答案了。 / 這麼簡單的問題都答錯，真是太白癡吧！ / 我今天真白癡，竟然用學生證去提錢。 / 他講了一個白癡笑話，但大家還是忍不住笑了。 / 他講了一個白癡笑話，但大家還是忍不住笑了。,Vs-adj,很白癡 / 太白癡了 / 真白癡 / 白癡笑話 / 有點白癡 / 白癡行為,báichī,ㄅㄞˊㄔ,
擺放,29,,To arrange or set an item in a specific position or location.,將物品安排、放置在某個地方的行為。,她把昂貴的雕塑小心翼翼地擺放在桌子的中央。 / 這幅畫應該擺放在沙發上方的牆壁上。 / 他喜歡在家裡擺放一些綠色植物，讓空間感覺更舒適。 / 她在櫃子上擺放了幾本她最愛的小說。 / 擺放藝術品時要考慮到光線和空間的搭配。 / 我把書擺放在書架上，讓房間看起來整齊一些。,Va-t,擺放在 / 隨意擺放 / 擺放整齊 / 正確擺放 / 擺放位置 / 擺放箱子,bǎifàng,ㄅㄞˇ ㄈㄤˋ,
白費,30,,To expend effort without obtaining results.,付出了努力或心力卻沒有見到任何效果或成果。,他一定不會接受你的好意，你就不要再白費力氣了。 / 開會時我提出了很多好點子，希望這些心血不會白費。 / 為了這個項目我努力了好幾個星期，但最終公司卻沒有採納我的建議，我的苦心都白費了。 / 她的支持讓我倍感溫暖，我希望我的付出沒有白費，能夠回報她的關心。 / 他學中文花了很長的時間，朋友總是鼓勵他，努力不會白費，最終一定會說得很好。 / 你為他花了那麼多心血，結果卻白費了。,Vp-t,白費心思 / 白費時間 / 白費力氣 / 白費心血 / 白費苦心 / 白費感情,báifèi,ㄅㄞˊㄈㄟˋ,
擺設,31,,To furnish or decorate.,將物品按一定的順序或方式放置，通常用於裝飾或展示,他在婚禮的入口擺設了很多花，讓整個場地看起來浪漫又溫馨。 / 他們的家裡擺設著一些精美的藝術品，好像一個美術館似的。 / 這部電影擺設的場景都非常真實，讓觀眾彷彿進入十九世紀。 / 我的書桌上擺設著幾本我的最愛的書籍，加上簡單的佈置，讓空間更有趣。 / 在博物館裡，擺設了許多珍貴的文物，讓我對歷史更加了解。 / 客廳裡擺設著各種精美的藝術品，讓空間顯得格外高雅。,Va-t,擺設著 / 擺設了 / 擺設藝術品 / 擺設文物 / 擺設書籍 / 擺設花瓶,bǎishè,ㄅㄞˇㄕㄜˋ,
擺設,31,,Display items.,陳列、擺放的物品。,這間咖啡廳的擺設讓人感到很放鬆，適合聊天和聚會。 / 這個房間的擺設不錯，如果再加一點綠色植物會更好。 / 她在新家裡的擺設上花了很多心思，處處都很用心。 / 這家咖啡店的藝術擺設很高雅，讓客人有一種在美術館喝咖啡的感覺。 / 這棟商場裡的裝置擺設，影響了逃生動線，難怪消防檢查一直無法通過。 / 這間房間的擺設都非常有藝術感，讓空間看起來更加溫馨。,N,裝置擺設 / 房間擺設 / 擺設佈置 / 風格擺設 / 改變擺設 / 藝術擺設,bǎishè,ㄅㄞˇㄕㄜˋ,
板,32,,A plank or a board.,「板」通常是由木頭、竹子、金屬或塑膠製成，用來拍、敲、打的工具。,在古代，犯錯的人常常會被打好幾大板。 / 你聽過「竹板快書」嗎？這是一項中國傳統技藝。表演者一邊打著竹板，一邊說有趣的話。 / 拍電影換場景時都需要有人打板。 / 這件事已經討論了很久，終於拍板決定。 / 他總是想靠別人升官，但沒有人想成為他的跳板。 / 她在課堂上用木板教孩子們畫畫。 / 小朋友們用彩色的紙板做出了漂亮的手工。,N,打板 / 紙板 / 打竹板 / 拍板 / 跳板 / 畫板,bǎn,ㄅㄢˇ,
板,32,,Musical beat or rhythm.,在音樂中，指音符或樂曲的速度與節奏特徵。,我喜歡在運動時聽慢板音樂，這樣可以讓我放鬆心情。 / 老師教我們如何用節拍器來計算歌曲的板數。 / 這首歌的快板部分讓所有人都想跟著跳舞。 / 這位作曲家的作品常常使用變化的快板，讓音樂風格更有趣。 / 聽到那段慢板曲調，我感覺像是回到了童年。 / 我喜歡在運動時聽慢板音樂，這樣可以讓我放鬆心情。,N,快板 / 慢板 / 中板 / 速板 / 板數 / 急板,bǎn,ㄅㄢˇ,
板,32,,To stretch tightly or to have a stiff and rigid appearance.,表情或面容不變化，顯得嚴肅、冷漠或不高興的樣子。,他聽到那個不好的消息後，臉色馬上板了起來。 / 在會議上，她一直板著臉，非常嚴肅。 / 孩子們在課堂上大吵大鬧，老師板起臉告訴他們要安靜。 / 在嚴肅的場合，大家都板著面孔，沒有人說話。 / 他成天板著臉，不知道誰得罪他了？ / 他的父母對他的成績板起臉色，顯得很失望。,Va-t,板著臉 / 板起臉 / 板著臉色 / 板著嚴肅的神情 / 板著面孔 / 板著嘴巴,bǎn,ㄅㄢˇ,
斑,33,,A mark or pattern of differing colors or spots.,雜色的點或花紋。,在陽光下，這隻魚的身上閃耀著金色的斑紋。 / 那隻貓身上有特別的黑色斑點，讓人一眼就能認出來。 / 他的身上出現了一些紅斑，不知道是不是過敏？ / 不到三十歲，他的頭髮已經有點斑白，可能是工作壓力太大。 / 皮膚上出現白斑的話一定要去給醫生檢查，不要亂擦藥。 / 她的臉上有一些可愛的雀斑。,N,黑斑 / 雀斑 / 白斑 / 斑點 / 斑白 / 彩斑,bān,ㄅㄢ,
般,34,,A category or type; various kinds.,某種樣子或種類,我們的友誼就像兄弟般，不會輕易改變。 / 生活中有許多煩惱，萬般無奈，我們只好努力面對。 / 他的才華這般優秀，難怪大家都對他另眼相看。 / 這裡的風景像夢境般美麗，讓人不禁感嘆大自然的奧秘。 / 即使遇到萬般困難，我們也應該保持樂觀的心態。 / 她的心情在這般壓力下變得格外沈重。,N,這般 / 如此這般 / 那般 / 百般 / 萬般 / 像（名詞）般,bān,ㄅㄢ,
頒布 / 頒佈,35,,"To issue or proclaim officially, usually referring to laws, regulations, or policies.",頒布 / 頒佈是指官方或權威機構正式公布法律、命令或規定，讓民眾遵守。,該國頒布的新貿易政策引起了國際間的廣泛關注。 / 會議上，總統頒布了新的經濟計畫，期望促進該國的經濟發展。 / 新的交通法規已經頒布，開車不遵守規定的人將會罰得更多。 / 由於傳染病的擴散，政府緊急頒布了社交限制措施。 / 政府頒布了一項新環境保護政策，未來在山坡上興建飯店的規定會更加嚴格。 / 學校頒布了新的考試規則，要求學生必須提前報名參加考試。,Va-t,頒布法律 / 頒布政策 / 頒布命令 / 正式頒布 / 政府頒布 / 頒布計畫,bānbù,ㄅㄢ ㄅㄨˋ,
頒發 / 頒,36,,"To grant or distribute formally, especially in the context of giving out awards.",把某種獎勵或物品給予某人，通常是因為他們的成就或表現。,學校每年都會頒發獎學金給表現優秀的學生。 / 老師決定頒發給努力學習的學生一本書作為獎勵。 / 在畢業典禮上，校長會親自頒發畢業證書給每位學生。 / 希望明年的創新大會能夠頒發更多的獎項來鼓勵年輕人創業。 / 這次頒發的藝術獎項受到眾人矚目，因為得主竟然是一個不到十八歲的少女。 / 校長在畢業典禮上正式頒發獎學金給優秀的學生。,Va-t,頒發獎項 / 頒發證書 / 頒發獎學金 / 正式頒發 / 頒發榮譽 / 頒發獎品,bānfā,ㄅㄢ ㄈㄚ,
