number,word,translation,definition,example_sentences,part_of_speech,collocations
4000,不僅,Not only; Used to indicate that something applies in addition to what has been previously mentioned.,表示不只一個，還有其他的情況或事物。,"這部電影不僅有精彩的劇情，還有超棒的音樂。

他不僅會說英語，還會說日語和法語。

這道菜不僅好吃，還非常健康。

我的朋友不僅擅長畫畫，還會彈鋼琴。

這件衣服不僅舒服，還非常適合我。

學習中文不僅可以提升語言能力，還能了解文化。

這家餐廳不僅環境優雅，菜色也非常多樣化。

她不僅是優秀的學生，還經常幫助同學。

我們的旅行不僅充滿了樂趣，還讓我們增進了友誼。

這本書不僅有趣，還提供了很多實用的知識。",conj,不僅是朋友，還是家人 / 不僅有文化，還有歷史 / 不僅學習語言，還學習文化 / 不僅對學生有益，對老師也有益 / 不僅是美麗的地方，還是安靜的地方 / 不僅需要時間，還需要耐心 / 不僅學校的課程，還有活動 / 不僅工作努力，還要生活愉快 / 不僅堅持每天運動，還定期檢查健康 / 不僅追求成就，也享受過程
4000,因此,Therefore; A conjunction used to indicate a conclusion or result based on previously stated information.,表示因果關係的連接詞，用來引出結果或結論。,"他今天的考試沒有準備好，因此他感到非常緊張。

這個行程很長，因此我們必須提前出發。

因為今天下雨，因此我們的戶外活動被取消了。

他努力學習，因此考試得了高分。

這個問題很難解決，因此我們需要更多的時間來討論。

她每天運動，因此身體變得更加健康。

今天的會議很重要，因此請大家準時到達。

他的表現不佳，因此公司決定給他一些訓練。

她經常閱讀書籍，因此她的知識非常豐富。

這部電影很受歡迎，因此票房收入很高。",conj,因此，我們 / 因此，這個 / 因此，結果 / 因此，應該 / 因此，導致 / 因此，考慮 / 因此，可以說 / 因此，面對 / 因此，達成 / 因此，值得注意
4000,支持,"To support or assist someone or something; to provide help, encouragement, or endorsement.",幫助或援助他人，讓其能夠更好地完成某事或克服困難。,"我一直支持我的朋友追求他的夢想。

這個計畫需要大家的支持才能成功。

政府決定支持這個環保項目，保護我們的地球。

她非常感謝家人對她的支持，讓她能夠完成學業。

如果你有困難，我會永遠支持你，幫助你渡過難關。

學校舉辦募款活動，目的是支持弱勢群體。

我們需要更多的民眾支持這項公益活動。

他的演講獲得了觀眾的熱烈支持，所有人都很感動。

朋友們一起來支持我，讓我在比賽中更加有信心。

我相信愛可以支持彼此，讓關係更加牢固。",va-t,社會支持 / 政府支持 / 朋友支持 / 需要支持 / 得到支持 / 積極支持 / 重要支持 / 大力支持 / 充分支持 / 互相支持
4000,發展,"Development; The process of growth, progress, or improvement in a particular area.",指事物在規模、質量、能力等方面的增長或改善過程。,"這個城市的經濟發展非常迅速，每年吸引很多投資。

教育是國家發展的重要因素，我們應該加大對教育的投入。

科技的發展改變了人們的生活方式，讓溝通變得更方便。

政府推出新政策，以促進農業的可持續發展。

小孩的身心發展需要良好的環境和適當的教育。

隨著公司的發展，員工的福利也得到了改善。

這個區域的旅遊發展潛力巨大，可以吸引很多遊客。

文化的發展與社會的進步息息相關，大家應該共同努力。

參加這個比賽有助於提升學生的能力發展，培養他們的創造力。

我們需要評估這個項目的發展情況，以確保未來的成功。",n,國家的發展 / 經濟的發展 / 社會的發展 / 科技的發展 / 文化的發展 / 持續的發展 / 促進發展 / 支持發展 / 評估發展 / 加速發展
4000,提高,"To improve; to enhance or raise the quality, level, or efficiency of something.",使事物的質量、能力、水平等變得更好或更高。,"我們需要提高工作效率，以便在限期內完成項目。

學校舉辦了多種活動，旨在提高學生的學習興趣。

作為一名運動員，他每天都努力訓練，以提高自己的比賽成績。

這個計畫希望能提高社區的環境品質，讓大家更享受生活。

我們可以通過閱讀和寫作來提高自己的語言能力。

提高農作物的產量可以幫助農民增收，改善他們的生活。

許多企業正在努力提高產品的品質，以吸引更多的顧客。

參加培訓課程不僅可以提高專業技能，還能擴展人際關係。

改善健身設施將有助於提高居民的健康水平。

政府除了一些政策外，還需要提高民眾的環保意識。",va-t,提高效率 / 提高品質 / 提高水平 / 提高能力 / 提高競爭力 / 提高自信 / 提高收入 / 提高注意力 / 提高安全性 / 提高知識
4000,善用,To make good use of; to utilize effectively.,有效利用資源或工具，達到最佳效果。,"在學校裡，老師教我們如何善用資源，讓學習變得更有效率。

如果你善用閒暇時間，每天閱讀一些書籍，可以增進你的知識。

我們應該善用科技，讓生活更便利，也能提高工作效率。

這個計畫的成功，完全依賴於團隊如何善用每個成員的專長。

善用清晨的時間運動，能保持身心健康，也可以提升一天的精神。

他總是善用自己的想像力，創造出許多有趣的故事。

在這個競爭激烈的市場中，企業必須善用營銷策略，才能吸引更多顧客。

善用地圖和導航工具，可以幫助你更快找到目的地。

她善用自己的聲音，成為了一位受歡迎的歌手。

要善用每一次的機會，才能在工作中取得更大的成就。",va-t,善用時間 / 善用資源 / 善用技能 / 善用機會 / 善用經驗 / 善用智慧 / 善用知識 / 善用金錢 / 善用科技與知識 / 善用社交能力
4000,感到,To feel or perceive an emotion or physical sensation;,表達內心或身體的狀態、情感或感受。,"今天的天氣很好，我感到心情特別愉快。

當我看到朋友的照片時，我感到一種懷念。

他在考試前感到緊張，但考完後放鬆了不少。

每當我聽到這首歌，我就感到心中的感動。

這個故事讓我感到非常溫暖和感同身受。

我每天運動後，身體都感到很輕鬆。

她感到孤單，所以決定約朋友一起吃飯。

看著孩子們玩耍，我感到無比幸福。

收到這個消息時，我感到非常驚訝。

我在學校學到的新知識讓我感到興奮不已。",vs-i,我感到幸福 / 我感到難過 / 他感到驚訝 / 她感到害怕 / 我感到疲倦 / 我感到緊張 / 我感到興奮 / 我感到失望 / 我感到安心 / 我感到沮喪
4000,建立,"To build or establish something, especially an organization, system, or relationship;",指設立、組成或創造某種事物，使其形成或運作。,"我們應該建立一個更加友善的社區環境。

學校決定建立一個新的圖書館，以便學生可以更好地學習。

這家公司計畫在明年建立一個新的分部，以擴大業務。

他希望能夠建立良好的合作關係，以促進雙方的發展。

我們需要建立一套有效的管理系統，來提升工作效率。

他們要在村莊裡建立一個健康中心，讓居民能隨時就醫。

這項計畫旨在建立可持續的農業模式，保護環境。

建立這個平台的目的是方便人們分享知識和經驗。

政府將建立一個專門機構，來協助孤兒和弱勢群體。

我們希望能透過這次活動來建立國際間的文化交流。",va-t,建立關係 / 建立信任 / 建立制度 / 建立聯繫 / 建立平台 / 建立經濟的基礎 / 建立品牌形象 / 建立安全機制 / 共同建立 / 積極建立
4000,滿足,Satisfied; To be in a state of contentment or fulfillment regarding one's needs or desires.,對於某種需求或期望的情況感到高興的狀態。,"我在生日派對上收到了我最喜歡的玩具，感到非常滿足。  

這碗熱騰騰的湯讓我在寒冷的天氣中感到十分滿足。  

看到孩子們開心地玩耍，我心裡感到非常滿足。  

完成這個項目後，我對自己的表現感到滿足。  

她的祝福讓我感到滿足，因為她真的了解我的心情。  

每次吃到媽媽做的菜，我都會感到滿足和幸福。  

這本書的結局讓我十分滿足，不禁微笑。  

他努力工作，終於得到了晉升，感到相當滿足。  

我有一個可以默契交流的朋友，讓我非常滿足。  

在旅行中看到壯麗的風景，讓我的心靈感到滿足。",vs-t,我感到滿足 / 他對結果滿足 / 需求滿足 / 感到非常滿足 / 工作滿足感 / 成就感滿足 / 渴望滿足 / 自己的需求滿足 / 期待得以滿足 / 完全滿足
4000,幫手,Helper; assistant; a person who assists or helps someone in a task or activity.,協助他人完成工作或任務的人。,"請問你需要什麼幫手嗎？

這個活動需要更多的幫手來準備食物。

我請我的朋友當我的幫手，因為我有很多工作要做。

她是我們的志工幫手，每週都來幫忙。

如果你有任何問題，可以找我這個幫手來協助你。

昨天，我的同事當了我的幫手，讓我能夠更快完成任務。

我們需要一位幫手來幫忙整理這些文件。

這位老闆很喜歡請幫手來提供建議和意見。

在這個計畫中，兩位幫手的貢獻非常重要。

他找了一個學生當他的幫手，讓任務變得容易多了。",n,幫手不夠 / 專業的幫手 / 可靠的幫手 / 需要幫手 / 找到幫手 / 忙碌的幫手 / 招募幫手 / 聘請幫手 / 自願的幫手 / 重要的幫手
4000,自信,Confidence; A feeling of self-assurance arising from one's appreciation of one's own abilities or qualities.,對自己有信心，能相信自己的能力和價值。,"他在演講時展現了很大的自信，讓觀眾都很受感動。  

學會新技能能增加一個人的自信心。  

小明希望能在比賽中取得好成績，以提升他的自信。  

有時候，面對挑戰時，保持自信是克服困難的關鍵。  

為了增強自信，小華每週都參加演講訓練班。  

自信的人通常能更好地表達自己的想法。  

即使失敗了，她仍然保持自信，因為她知道自己有潛力。  

老師經常鼓勵學生，相信自己，培養他們的自信。  

自信並不是自滿，它是一種正確看待自己的能力。  

在舞台上表演前，他深吸一口氣，告訴自己要自信。",vs-adj/N,增加自信 / 培養自信 / 對自己有自信 / 自信心 / 充滿自信 / 自信的態度 / 自信地面對 / 獲得自信 / 失去自信 / 重拾自信
4000,輔導,To tutor; to coach; to provide guidance.,指對某人提供學習、技能或情感上的支持和指導，以幫助其成長或解決問題。,"這位老師輔導學生們準備期末考，讓他們能更有信心。

在健身房，教練輔導我正確的運動姿勢，避免受傷。

我參加了一個輔導班，學習如何提升自己的溝通技巧。

父母總是輔導我追求自己的夢想，不要放棄。

每週，我會輔導一位學妹，幫助她適應大學生活。

輔導員提供心理支持，讓學生們面對壓力時不再孤單。

公司的培訓計畫包括輔導新員工，幫助他們迅速上手。

在社區中，志工們輔導小朋友們學習英文，增強他們的語言能力。

這本書是專門針對自我輔導而寫的，幫助讀者克服困難。

輔導討論會中，大家分享了各自的學習經驗，互相幫助成長。",va-t,學業輔導 / 心理輔導 / 專業輔導 / 提供輔導 / 參加輔導 / 課外輔導 / 輔導中心 / 個別輔導 / 同儕輔導 / 網上輔導
4000,挫折,A setback; frustration; an obstacle or challenge that hinders progress or achievement.,遭遇困難或失敗，導致情況不如預期，或使人感到失望和無力。,"在考試中遇到挫折，讓我更加努力去學習。

他的一次挫折使他意識到，成功需要持續的努力和耐心。

即使面對許多挫折，她從未放棄自己的夢想。

挫折是人生的一部分，我們必須學會如何克服它們。

在職場上遇到挫折時，與同事分享心情會讓我感覺好一些。

這本書講述了主角如何從挫折中找到再起的勇氣。

挫折讓我學會了反思自己的不足，並且進一步成長。

面對挫折時，保持積極的態度非常重要。

他在運動比賽中遭遇挫折，但仍然堅持訓練，每天都在進步。

每次挫折都讓我更加堅定，朝著成功的方向前進。",n,面對挫折 / 克服挫折 / 經歷挫折 / 不怕挫折 / 接受挫折 / 挫折的原因 / 對挫折的反應 / 度過挫折 / 擺脫挫折 / 挫折感強烈
4000,強大,Powerful; Having great strength or power.,具有很大力量或影響力的狀態。,"這位科學家的發明非常強大，可以解決許多環境問題。

在這場比賽中，對手的實力非常強大，我們需要努力才能贏得勝利。

這部電影的特效非常強大，讓觀眾感到驚艷不已。

經過多年的努力，這個團隊終於建立了一個強大的品牌。

在困難的時刻，我們必須發揮團隊的強大凝聚力。

這項新技術的推出，標誌著我們公司在市場上擁有了強大的競爭優勢。

他的演講中包含了強大的情感，讓大家都受到鼓舞。

政府應該發展強大的公共交通系統，以提升城市的運輸效率。

這本書提供了強大的知識，幫助學生更好地理解這門課程。

我們需要建立一個強大的社會支持網絡，幫助有需要的人。",vs-adj,強大的力量 / 強大的影響力 / 強大的經濟體 / 強大的對手 / 增強強大的實力 / 擁有強大的支持 / 強大的能力 / 強大的技術 / 非常強大 / 明顯強大
4000,資源,"Resources; Materials, assets, or means available for use or support.",指可以利用來達成某種目的或滿足需求的物品、能源或能力。,"這個城市的自然資源非常豊富，適合發展農業。

政府應該加強對環境資源的保護，避免污染。

學生們需要學習如何有效利用時間這種寶貴的資源。

新創公司必須合理規劃資源，以確保業務的持續發展。

在這次考試中，各種學習資源幫助我很大。

圖書館提供的電子資源，讓我們能隨時獲取最新的資訊。

重新利用廢棄物是最大化資源的一種方式。

我們應當珍惜水資源，因為水是生命之源。

企業在運營中需要對資源進行有效管理，以降低成本。

這場會議的目的是分享不同團隊的資源，以促進合作。",n,自然資源 / 人力資源 / 資源管理 / 資源利用 / 有限的資源 / 開發資源 / 分配資源 / 豐富的資源 / 實際的資源 / 可再生的資源
4000,各式各樣,Various; Referring to a wide variety or different kinds of things or types.,形容多種多樣的事物或情況，表示種類繁多且不同。,"這個市場裡有各式各樣的水果，讓人眼花撩亂。

她收集了各式各樣的郵票，從各個國家寄來的都有。

我們的餐廳提供各式各樣的菜色，能滿足不同客人的需求。

書店裡有各式各樣的書籍，從小說到科學都有。

在這次展覽中，我們可以看到各式各樣的藝術作品，非常精彩。

他的興趣非常廣泛，涵蓋了各式各樣的活動，如游泳、閱讀和旅行。

這場音樂會吸引了各式各樣的觀眾，有年輕人也有老年人。

商店中展示了各式各樣的玩具，讓小朋友們都樂不可支。

我們的班級裡有各式各樣的學生，來自不同的背景。

她介紹了各式各樣的健康食譜，鼓勵大家注重飲食。",idiom,各式各樣的食物 / 各式各樣的活動 / 各式各樣的商品 / 各式各樣的顏色 / 各式各樣的文化 / 各式各樣的挑戰 / 各式各樣的問題 / 各式各樣的方式 / 各式各樣的經歷 / 各式各樣的音樂
4000,方式,A method; a way of doing something or a means of accomplishing a task.,一種做事情的辦法或途徑。,"每個人都有自己的學習方式，找到適合自己的方法很重要。

這種運動方式能夠幫助我們強身健體。

他用了一種簡單的方式來解釋這個問題。

在工作中，我們應該找到更有效的方式來提高效率。

你認為最好的溝通方式是什麼？

為了解決這個問題，我們需要換一種思考方式。

這種方式讓我在短時間內學會了很多新知識。

她的寫作方式非常獨特，讓人印象深刻。

他們討論了多種方式來吸引客戶的注意。

學習外語的方式有很多，可以選擇適合自己的方法。",n,生活方式 / 工作方式 / 學習方式 / 醫療方式 / 交流方式 / 教學方式 / 高效方式 / 創新方式 / 傳統方式 / 處理方式
