number,word,collocations,sentences
10,按鈕,一個按鈕 / 一顆按鈕 / 緊急按鈕 / 按下按鈕 / 觸碰按鈕,"我只需要按下按鈕，電視就會開始播放我的喜愛節目。

如果您按下這個緊急按鈕，救護車會在五分鐘內到達。

這台咖啡機有一顆按鈕專門用來調整咖啡的濃度。

她輕輕觸碰按鈕，燈光立刻亮起，讓房間變得明亮。

在這部手機上，有一個按鈕可以快速啟動相機。

按下這顆按鈕後，冷氣會自動調整到最佳溫度。

安全門上有一個緊急按鈕，讓人能迅速逃離危險。

只要輕輕觸碰這個按鈕，音響就會開始播放音樂。

每次使用這台複印機，都需要先按下按鈕選擇影印的份數。

這款遊戲控制器的設計很人性化，所有按鈕都在容易觸碰的位置。

防火警報器的按鈕設計很特別，可以在緊急情況下立即使用。"
11,暗殺,企圖暗殺 / 謀劃暗殺 / 暗殺事件 / 暗殺行動 / 暗殺目標,"他們的暗殺目標是一位熱門的政壇新星，計劃引發民意的巨大變化。  

他企圖暗殺國家的領導人，卻被警方及時逮捕。  

這起暗殺事件震驚了全國，民眾紛紛要求加強安全措施。  

他們正在謀劃暗殺敵方首領，以達到政治目的。  

這次暗殺行動的策劃者全被捕，無法繼續執行他們的計劃。  

專家認為，這次暗殺事件的背後可能是利益集團的操縱。  

暗殺計劃被揭露後，許多與之相關的人開始接受調查。  

某國的情報單位發現了一個針對外國官員的暗殺行動，並迅速介入。  

分析師指出，這一連串的暗殺事件可能會改變該地區的政治格局。  

目擊者表示，他們當時聽到幾聲槍響，隨後看到多人企圖實施暗殺。  

在暗殺行動失敗後，嫌疑人迅速逃離現場，無法被捕。"
12,安危,不顧安危 / 生命安危 / 自身安危 / 個人安危 / 擔心安危,"他不顧安危，仍然選擇趕往災區救援災民。  

在這次山災中，很多人都在擔心自己的生命安危。  

面對疫情的挑戰，我們應該提高警覺，保護自身安危。  

出門前，她特別叮囑孩子要注意個人安危，別與陌生人接觸。  

我們經常擔心家人的安危，特別是他們在外工作時。  

這位醫生在疫區工作時，不顧自身安危，依然堅持救治病人。  

在陌生的城市裡，年輕人應該特別注意自己的安危，避免獨自前往偏僻的地區。  

每次颱風來襲，市民們都會為附近的老人擔心安危，希望他們能夠平安渡過。  

消防員在撲滅火災的過程中，無時無刻不在考慮自身的安危。  

隨著夜幕降臨，鄰居們對於彼此的安危開始產生了更多的關心與討論。  

政府強調，必須制定有效措施來保障居民的生命安危，防止事件重演。"
13,安穩,睡得（ / 不）安穩 / 平靜安穩 / 生活安穩 / 日子安穩 / 感到安穩,"我晚上總是睡得安穩，因為我有一個舒適的床和安靜的環境。

雖然外面風雨交加，家裡的環境讓我感到安穩。

她希望能夠過上平靜安穩的生活，不再有經濟上的煩惱。

在這個小鎮，大家的日子安穩，彼此相互照顧，感覺很幸福。

對我來說，生活安穩意味着有充足的時間陪伴家人和朋友。

不管遇到什麼困難，他們始終能夠保持心情平靜安穩，這讓人佩服。"
14,安置,安置於 / 安置在 / 安置妥當 / 安置物品 / 妥善安置 / 人道安置,"我們將所有的物品安置在這個安全的倉庫裡，以避免損壞。

在搬家之前，他仔細計畫了如何妥善安置每一個家具。

她負責安置於新學校的留學生，幫助他們適應新環境。

政府應該加快人道安置的步伐，讓更多流浪者能夠得到幫助。

這些設備必須妥善安置，以確保操作的安全與效率。

在這次地震後，當局需要迅速安置受災民眾，以免影響他們的基本生活。 

他們檢查了安置物品的清單，確保每件必需品都已列入。 

志願者們迅速幫助安置妥當所有救援物資，讓受災者能夠及時取用。

我建議把這些易碎的物品安置在高一點的架子上，以避免碰撞。

在打包過程中，他們尤其注意安置那些貴重的物品。 

每次出國旅行，他都會提前計畫好如何安置行李在酒店裡。"
15,安裝,安裝設備 / 安裝軟體 / 進行安裝 / 完成安裝 / 在安裝過程中,"我們需要在實驗室裡安裝設備，以確保實驗的準確性。

在我家裡進行安裝新電視的時候，發現了許多線纜的問題。

明天我們將完成安裝這個新的智慧家居系統，期待能更方便地控制家裡的裝置。

我需要請專業人士來安裝軟體，因為我對這些程序不太熟悉。

在安裝過程中，請不要隨意按壓任何按鈕，以免影響設定。

他花了整整一天時間來安裝新的音響設備，希望能提升音質。

每當我們安裝軟體時，都要仔細閱讀使用者協議，確保了解所有條款。

如果你在安裝過程中遇到困難，請隨時撥打客服熱線獲取幫助。

他們計畫進行安裝新的網路系統，這樣可以提高公司的網路速度。

安裝設備時，我們必須確認所有的接線正確無誤，才能正常運作。"
16,暗自,暗自慶幸 / 暗自懷疑 / 暗自檢討 / 暗自感慨 / 暗自得意,"在與朋友的聚會結束後，他心中暗自慶幸自己提前準備了幾道菜。  

他在會議上聽到了不同意見，暗自懷疑這個計畫的可行性。  

當成績公佈時，她暗自檢討自己是否該早點開始複習。  

經過一段艱難的時光後，他暗自感慨生活的變遷是多麼無常。  

每當同事得到讚美時，她都會暗自得意，因為她的支持讓他們獲得了成功。  

最近的努力讓他在工作上獲得進步，他暗自慶幸自己的堅持終於有了成果。  

她發現每次批評同事的時候，心裡其實暗自懷疑自己的能力是否不足。  

在這次比賽後，他暗自檢討自己在訓練中是否付出不夠。  

回想起過去的挑戰，他暗自感慨自己的成長真是不可思議。  

在成功發布新產品後，她暗自得意，因為這正是她夢想的實現。"
17,骯髒,骯髒不堪 / 骯髒的街道 / 骯髒的衣服 / 骯髒的環境 / 骯髒的手,"這條街道骯髒不堪，讓人無法忍受。  

我看到小孩子在玩，身上沾滿了骯髒的衣服。  

經過那個住宅區，我不禁皺眉，因為裡面的環境實在太骯髒。  

在公園裡，很多人隨手丟垃圾，結果讓綠地變得骯髒的手。  

這片公園的骯髒的草地上，隨處可見被遺棄的食物包裝。  

這個鎮的骯髒的河流需要立即清理，否則漁民的生計會受到影響。  

我每次走進廁所，都能感受到骯髒的環境給人帶來的不愉快。  

看到那位街友手上的骯髒的衣服，我不禁感到心疼。  

小狗在泥巴裡翻滾，結果牠的爪子變得骯髒不堪，真是讓人哭笑不得。  

每當大雨過後，這個城市的骯髒的街道上的垃圾就會被沖得四處都是。  

每次回到家，我都會仔細洗手，以避免帶進來骯髒的手。"
18,熬,熬湯 / 熬粥 / 熬藥 / 熬煮 / 熬製,"我今天熬粥，想要讓自己有個暖和的早餐。

熬夜學習會讓你的精神變得疲憊不堪。

這道菜需要熬煮四個小時，才能讓湯頭更加濃郁。

每當我生病時，媽媽都會熬藥給我喝，讓我快點好起來。

她熬粥的時候，總是喜歡加一點果仁，讓味道更香。

我學會了如何熬製醬料，使得每道菜都味道更上一層樓。

為了湯的味道更加特殊，這位廚師特別熬製了幾種香料。

在秋冬季節，很多人喜歡熬藥來增強免疫力和抵抗寒冷。

她習慣在早晨熬粥，讓全家都能吃到健康的早餐。

這個食譜要求將食材慢慢熬煮，才能達到最佳的風味。

如果你想要讓湯更加濃稠，可以在熬湯的過程中加入一些米或小麥。"
18,熬,熬夜 / 熬過去 / 熬成 / 熬下去 / 熬出頭,"我昨晚熬夜到三點，今天上班根本無法集中精神。  

這段最艱難的時光，我們一定要熬過去，才能迎來美好的明天。  

經過多年的努力，他終於熬成了頂尖的醫生。  

雖然生活艱辛，但我們必須熬下去，未來會有所改變。  

只要不放棄，我們總會熬出頭，看到希望的光芒。  

我需熬著這段孤獨的日子，才能找到真正屬於自己的方向。  

在這些品味平淡的時光裡，我們必須熬過去，耐心等待機會的來臨。  

他為了實現夢想，選擇熬夜工作，哪怕身體再疲憊也不在乎。  

艱苦的訓練過後，運動員們終於熬成了世界冠軍，心中充滿自豪感。  

面對挑戰，我們必須堅持熬下去，才能見證自己的成長。  

在重新出發的道路上，我相信只要努力，就能熬出頭，創造美好未來。"
19,傲慢,傲慢的態度 / 傲慢的行為 / 表現傲慢 / 過於傲慢 / 對（人）傲慢,"他的傲慢的態度讓同事們都對他敬而遠之。

她在會議上的表現傲慢，使得其他人無法發表意見。

這樣的過於傲慢會阻礙你事業的發展，應該謙虛一些。

他們對新來的員工傲慢，讓人覺得他們不尊重別人。

這位明星的傲慢的行為讓粉絲們感到失望，紛紛取消了對她的支持。

即使是成功的人，也不能對周圍的人表現傲慢，這是基本的禮貌。

她對主管的傲慢態度讓團隊氣氛變得緊張，大家都感到不自在。

他的過於傲慢讓他失去了一些忠實的朋友，這讓他非常後悔。

對待顧客，公司絕不能有傲慢的行為，否則會影響口碑。

在學校裡，老師希望學生們能夠互相尊重，而不是表現傲慢。"
20,奧祕 / 奧秘,一個奧祕 / 世界的奧祕 / 神奇的奧祕 / 探索奧祕 / 生活的奧祕,"每個人心中都有一個奧祕，這讓我們顯得更加神秘。

世界的奧祕在於我們對自然的理解與探索。

探索奧祕的過程中，我們往往會發現意想不到的驚喜。

生活的奧祕有時就藏在不起眼的小事中。

那本書揭示了神奇的奧祕，讓我重新思考了自己的價值觀。

這幅畫作中隱藏著一個奧祕，只有細心的人才能體會到。

在這部電影中，角色之間的奧祕讓整個故事更加引人入勝。

每一種文化都有它獨特的奧祕，值得我們深入研究和欣賞。

這個地方充滿了歷史的奧祕，吸引著無數的遊客前來探索。

科學家們努力破解宇宙的奧祕，希望能揭示更多未知的真相。

這座古老的寺廟藏著一個神奇的奧秘，讓人不禁想一探究竟。

有些神話故事中包含著深邃的奧秘，值得我們去細細品味。

許多成功人士都認為，生活的奧秘在於持之以恆的努力和信念。  

我們常常在旅行中發現自然界的奧秘，感受到生命的奇妙。 

在古老的文獻中，隱藏著許多未解的奧秘，等著學者們去揭示。"
21,懊惱,懊惱不已 / 感到懊惱 / 令（人）懊惱 / 懊惱後悔 / 懊惱自己,"小李因為考試失利，心裡懊惱不已。  

她在會議上說錯了話，回家後感到懊惱，夜裡都睡不著。  

這件事真令我懊惱，明明可以提前做準備卻一再拖延。  

每當我想起當初的決定，就會懊惱後悔，為何不選擇另外一條路。  

我總是懊惱自己沒有好好把握機會，錯過了很多精彩的人生片段。  

這次失誤讓我懊惱，真希望能夠回到過去重新來過。  

她今天的表現讓所有觀眾都感到懊惱，明明可以更好。  

無論我怎麼努力，總會懊惱自己在某些事情上不夠果斷。  

看著他們的合影，我不禁懊惱，為什麼當時沒有參加那次聚會。  

他錯過了面試的機會，心中懊惱不已，懷疑自己的能力。  

回顧曾經的選擇，他深感懊惱，心中不斷追問自己為何那麼輕率。"
22,霸道,霸道行為 / 表現霸道 / 過於霸道 / 十分霸道 / 霸道的手段,"他的霸道行為讓同事們都感到不舒服，大家都不想和他合作。

在這次會議上，她的表現霸道，讓其他人無法發表意見。

他的性格過於霸道，總是試圖控制每個人的決定。

這位領導十分霸道，總是堅持自己的意見而不聽取別人的建議。

我們必須制止這種霸道的手段，以確保每個人都有平等的發言權。

那個團隊的氣氛因為他的霸道行為變得緊張，每個人都小心翼翼地發言。

她的霸道行為讓新成員感到無所適從，導致團隊合作陷入困境。

每次討論時，他總是以霸道的方式打斷別人，使得意見無法正常交流。

即使面對不同的觀點，他依然顯得十分霸道，讓人無法忍受。

如果繼續用這種霸道的手段來處理問題，最終只會讓大家更加疏遠。"
23,八卦,研究八卦 / 傳統八卦 / 八卦原理 / 根據八卦 / 八卦圖,"我最近開始研究八卦，對於其中的哲學非常感興趣。

許多古老的文化中都提到了傳統八卦，象徵著宇宙的陰陽變化。

在學習中醫時，我了解到八卦原理能幫助我們更好地理解人體的運行。

根據八卦的理論，人的命運與出生的時間有著密切的關係。

八卦圖被廣泛用於各種風水布局，幫助人們改善運勢。

在深入了解易經的過程中，我發現八卦的象徵意義非常深遠。

這位老師專注於研究八卦，尤其是它如何影響個人的性格特徵。

朋友告訴我，學習傳統八卦可以讓我們更了解生活中的種種變化。

各種導引術中也經常提到八卦的應用，強調其對於身心健康的重要性。

在討論命理時，許多學者會引用八卦的例子，來說明運勢的變化規律。"
23,八卦,八卦報紙 / 喜歡八卦 / 聽八卦 / 說八卦 / 很八卦,"那本八卦報紙上寫了很多明星的私生活。

我朋友特別喜歡八卦，常常和我分享那些流行的八卦訊息。

昨天我在咖啡廳聽到一些人談論八卦，真是讓我感到驚訝。

她經常在公司裡說八卦，讓大家都很想知道有關同事的趣事。

他實在是個很八卦的人，總是想知道別人的秘密。

在這次聚會上，大家圍在一起聊八卦，笑聲不斷，氣氛非常輕鬆。

我的鄰居經常喜歡講八卦，讓我對他們的小道消息充滿好奇。

每當網路上出現新八卦時，我總是忍不住去查證其真偽，想知道背後的故事。

這部影視作品裡描繪了不少關於八卦的趣實，讓觀眾忍俊不禁。

不管走到哪裡，我的朋友總是喜歡聽八卦，讓他總能掌握周圍人的動態。"
24,疤痕,一道疤痕 / 身上的疤痕 / 疤痕顏色 / 疤痕變淡 / 留下疤痕,"他的手臂上有一道疤痕，提醒著他曾經的意外。

小明在運動時不小心跌倒了，身上的疤痕讓大家對他的勇敢感到佩服。

那條疤痕顏色比之前深了很多，似乎在提醒他要更加小心。

隨著時間的推移，那道疤痕變淡了，幾乎快看不見了。

雖然意外很痛苦，但我不在乎，因為它留下疤痕，讓我對生活更加珍惜。

她小時候曾經的受傷讓她在腰間留下了一道疤痕，成為她獨特的印記。

每當他看到手上的疤痕，就會想起那段艱苦的日子，心中生成感慨。

這次手術後，他的胸口留下了幾道疤痕，彷彿訴說著他戰鬥的故事。

那道疤痕對她而言，既是痛苦的記憶，也是成長的印記。

經過治療，醫生告訴她，疤痕顏色會逐漸淡化，讓她對未來感到期待。 

他在工作中受了傷，留下疤痕，卻讓他更加勇敢面對挑戰。"
25,罷休,絕不罷休 / 永不罷休 / 不輕易罷休 / 不輕言罷休 / 難以罷休,"他發誓要完成這個任務，絕不罷休，無論過程多麼艱辛。

他在追求夢想的路上，絕不罷休，無論遇到什麼困難。

她對於這件事情永不罷休，總是想要找到真相。

即使再怎麼艱難，他也不輕易罷休，始終堅持自己的信念。

她對這本書的喜愛不輕言罷休，反覆閱讀了多次。

這個爭論已經持續了很久，雙方都難以罷休。

他無論如何也不會輕易罷休，直到找到最佳解決方案為止。

在面對朋友的誤解時，她永不罷休，努力解釋自己的立場。

這位作家的創作靈感似乎從未停止，總是難以罷休，寫下新的故事。

為了改善社區環境，他積極參與各種活動，絕不罷休，致力於提升大家的意識。

即使旅途再艱辛，他對於探索未知的渴望永不罷休，始終駐足在每一個新地點上。"
26,巴掌,打巴掌 / 甩巴掌 / 拍巴掌 / 巴掌大 / 一個巴掌,"我看到他打巴掌時，臉上的表情我永遠也無法忘記。

小孩子們在玩遊戲時，總是喜歡甩巴掌，讓對方感到驚訝。

當他獲得最高獎項時，大家都拍巴掌為他祝賀，氣氛非常熱烈。

這本書的封面巴掌大，很適合隨身攜帶。

在這場比賽中，他只用一個巴掌就能擊倒對手，令人印象深刻。

她一不小心摔倒了，手掌在地上拍得很響。

我們上一堂課時，老師告訴我們用巴掌輕拍來聚焦注意力。

他用力甩巴掌，想要驅走腦海中的煩惱。

小貓的爪子巴掌大小，讓它看起來格外可愛。

這道菜的份量剛好是一個巴掌，適合做為小吃。"
27,白白,白白浪費 / 白白付出 / 白白犧牲 / 白白失去機會 / 白白等待,"這次錯過了面試機會，我真的是白白失去機會。

她努力準備演講，但最後因為生病而白白浪費了時間。

他幫助了別人卻沒有得到任何回報，讓他感到白白付出。

許多人因為追逐名利而白白犧牲了健康。

等了這麼久，結果就是一場空，我覺得自己白白等待。

如果不好好利用這段時間，她可能會白白失去這個獎學金的機會。

為了那個不值得的人，他竟然白白浪費了自己的青春。

你每天加班，其實只是白白付出，最後什麼也得不到。

我們不能再這樣白白犧牲彼此的感情，應該好好溝通。

白白等待並不能解決問題，我們應該主動去尋找答案。"
28,白癡 / 白痴,一個白癡 / 被當成白癡 / 變成白癡 / 像個白癡 / 叫（人）白癡,"他真是一個白癡，竟然不記得今天的會議。

你不要被當成白癡，別相信那些顯而易見的謊言。

有時候，他總是覺得自己變成白癡，對於簡單的問題也想不出答案。

考試時，他像個白癡一樣，竟然把所有的選擇都填錯了。

她指著我說我是白癡，讓我覺得很受傷。

我不想在朋友面前表現得像個白癡，所以我努力學習新知識。

即使被叫做白癡，他仍然保持開心的心情，毫不在意。

今天在商店裡，我把錢放在桌子上，結果被人笑我是個白癡。

當她發現錯誤時，感覺自己變成白癡，因為這麼簡單的事都做錯了。

有一天，我聽到同學們聊天，竟然有人叫他白癡，讓我覺得不太妥當。"
28,白癡 / 白痴,很白癡 / 太白癡了 / 真白癡 / 白癡笑話 / 有點白癡,"她為了找那本書，居然在錯的書櫃裡翻了半天，真的是太白癡了。

他今天在會議上說了一些完全不相關的話，真的是很白癡。

這個問題居然要用這麼簡單的方式來解答，真的是很白癡。

我朋友總是喜歡說一些白癡笑話，讓我們都哭笑不得。

他剛剛的行為真白癡，居然忘了帶他的護照。

這部電影有點白癡，但我還是覺得很好笑。

那個節目裡的主持人有時候真的太白癡了，常常做出搞笑的事情。

她的提議聽起來有點白癡，難道就沒有更好的方案了嗎？

我昨天看了一部白癡笑話集，笑得肚子都痛了。

雖然他常常會說一些白癡的話，但我還是覺得他很有趣。

她總是對別人說一些有點白癡的事情，這使得我們的聚會增添了許多歡笑。"
29,擺放,把（東西）擺放在 / 隨意擺放 / 擺放整齊 / 正確擺放 / 擺放位置,"我把食材擺放在冰箱裡，這樣能保持新鮮。

我把花瓶擺放在窗台上，讓陽光可以照射到裡面的花。

我把玩具擺放在房間的一角，讓孩子們容易找到。

我把書擺放在書架上，確保每一類型的書籍都能容易找到。

那個學生隨意擺放他的書包，結果找不到需要的課本。

我喜歡把所有的文具擺放整齊，這樣工作時更方便。

請你正確擺放這些文件，以免造成混亂。

他特別注意擺放位置，確保每件家具都能充分利用空間。

在老師的指導下，學生們仔細擺放實驗器材，避免混淆。

為了節省空間，我將所有的廚具擺放得井井有條。

今日的活動開始前，我們需要把椅子擺放在正確的位置，確保每個人都有好視野。 

辦公桌上的文具常常雜亂無章，我決定將它們擺放整齊以提高工作效率。 

這位藝術家隨意擺放他的畫作，給人一種隨性卻又不失美感的氛圍。 

在派對開始之前，服務員被要求正確擺放食物，這樣看起來更有吸引力。 

為了讓我的衣櫃看起來整潔，我每次都會仔細擺放衣服和配件。"
